
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 21, 'alpha': 1.27152056055983, 'normalize_similarity': True} - results: ROC_AUC: 0.0744158, PRECISION: 0.0136831, PRECISION_RECALL_MIN_DEN: 0.0561330, RECALL: 0.0551520, MAP: 0.0241549, MRR: 0.0496672, NDCG: 0.0374644, F1: 0.0219200, HIT_RATE: 0.1368307, ARHR: 0.0526474, NOVELTY: 0.0053188, AVERAGE_POPULARITY: 0.0329757, DIVERSITY_MEAN_INTER_LIST: 0.9947446, DIVERSITY_HERFINDAHL: 0.9994556, COVERAGE_ITEM: 0.4969856, COVERAGE_ITEM_CORRECT: 0.0232839, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0805587, DIVERSITY_GINI: 0.2408942, SHANNON_ENTROPY: 12.7622622, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'topK': 149, 'alpha': 1.0656162346012412, 'normalize_similarity': False} - results: ROC_AUC: 0.0862487, PRECISION: 0.0175002, PRECISION_RECALL_MIN_DEN: 0.0686570, RECALL: 0.0671526, MAP: 0.0287884, MRR: 0.0594208, NDCG: 0.0450255, F1: 0.0277622, HIT_RATE: 0.1750017, ARHR: 0.0647848, NOVELTY: 0.0052346, AVERAGE_POPULARITY: 0.0419207, DIVERSITY_MEAN_INTER_LIST: 0.9955148, DIVERSITY_HERFINDAHL: 0.9995326, COVERAGE_ITEM: 0.5022984, COVERAGE_ITEM_CORRECT: 0.0284581, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0973449, DIVERSITY_GINI: 0.2407291, SHANNON_ENTROPY: 12.7549869, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 144, 'alpha': 1.5306099344674846, 'normalize_similarity': False} - results: ROC_AUC: 0.0671606, PRECISION: 0.0133613, PRECISION_RECALL_MIN_DEN: 0.0570996, RECALL: 0.0562987, MAP: 0.0226770, MRR: 0.0445198, NDCG: 0.0360550, F1: 0.0215935, HIT_RATE: 0.1336129, ARHR: 0.0474689, NOVELTY: 0.0052813, AVERAGE_POPULARITY: 0.0379414, DIVERSITY_MEAN_INTER_LIST: 0.9958657, DIVERSITY_HERFINDAHL: 0.9995677, COVERAGE_ITEM: 0.5070491, COVERAGE_ITEM_CORRECT: 0.0233686, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0778910, DIVERSITY_GINI: 0.2531540, SHANNON_ENTROPY: 12.8566897, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 199, 'alpha': 0.722490898304683, 'normalize_similarity': False} - results: ROC_AUC: 0.1256196, PRECISION: 0.0254221, PRECISION_RECALL_MIN_DEN: 0.0918624, RECALL: 0.0890731, MAP: 0.0412328, MRR: 0.0895635, NDCG: 0.0633722, F1: 0.0395524, HIT_RATE: 0.2542206, ARHR: 0.1000154, NOVELTY: 0.0050620, AVERAGE_POPULARITY: 0.0639107, DIVERSITY_MEAN_INTER_LIST: 0.9927843, DIVERSITY_HERFINDAHL: 0.9992596, COVERAGE_ITEM: 0.4763734, COVERAGE_ITEM_CORRECT: 0.0332474, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1336102, DIVERSITY_GINI: 0.1957827, SHANNON_ENTROPY: 12.2768981, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 520, 'alpha': 1.5987103904825344, 'normalize_similarity': True} - results: ROC_AUC: 0.0881259, PRECISION: 0.0178789, PRECISION_RECALL_MIN_DEN: 0.0713919, RECALL: 0.0698516, MAP: 0.0286121, MRR: 0.0583995, NDCG: 0.0455396, F1: 0.0284663, HIT_RATE: 0.1787890, ARHR: 0.0632202, NOVELTY: 0.0051476, AVERAGE_POPULARITY: 0.0594143, DIVERSITY_MEAN_INTER_LIST: 0.9937968, DIVERSITY_HERFINDAHL: 0.9993608, COVERAGE_ITEM: 0.4564312, COVERAGE_ITEM_CORRECT: 0.0248162, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1013968, DIVERSITY_GINI: 0.2044049, SHANNON_ENTROPY: 12.4379043, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 464, 'alpha': 1.9587244501148366, 'normalize_similarity': False} - results: ROC_AUC: 0.0643400, PRECISION: 0.0127773, PRECISION_RECALL_MIN_DEN: 0.0567808, RECALL: 0.0561152, MAP: 0.0222910, MRR: 0.0428389, NDCG: 0.0353984, F1: 0.0208121, HIT_RATE: 0.1277726, ARHR: 0.0453689, NOVELTY: 0.0052470, AVERAGE_POPULARITY: 0.0448674, DIVERSITY_MEAN_INTER_LIST: 0.9954666, DIVERSITY_HERFINDAHL: 0.9995278, COVERAGE_ITEM: 0.4957459, COVERAGE_ITEM_CORRECT: 0.0218056, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0755757, DIVERSITY_GINI: 0.2433774, SHANNON_ENTROPY: 12.7690411, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 634, 'alpha': 0.3133783563804911, 'normalize_similarity': False} - results: ROC_AUC: 0.1355954, PRECISION: 0.0271560, PRECISION_RECALL_MIN_DEN: 0.0995079, RECALL: 0.0970016, MAP: 0.0447905, MRR: 0.0967618, NDCG: 0.0689767, F1: 0.0424298, HIT_RATE: 0.2715604, ARHR: 0.1082787, NOVELTY: 0.0046804, AVERAGE_POPULARITY: 0.1246652, DIVERSITY_MEAN_INTER_LIST: 0.9768873, DIVERSITY_HERFINDAHL: 0.9976702, COVERAGE_ITEM: 0.3622406, COVERAGE_ITEM_CORRECT: 0.0273956, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1428464, DIVERSITY_GINI: 0.0992389, SHANNON_ENTROPY: 10.8206585, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 722, 'alpha': 1.8514479386747795, 'normalize_similarity': True} - results: ROC_AUC: 0.0836472, PRECISION: 0.0167716, PRECISION_RECALL_MIN_DEN: 0.0683435, RECALL: 0.0669211, MAP: 0.0272759, MRR: 0.0553782, NDCG: 0.0433712, F1: 0.0268175, HIT_RATE: 0.1677156, ARHR: 0.0595274, NOVELTY: 0.0051544, AVERAGE_POPULARITY: 0.0597573, DIVERSITY_MEAN_INTER_LIST: 0.9937374, DIVERSITY_HERFINDAHL: 0.9993549, COVERAGE_ITEM: 0.4495322, COVERAGE_ITEM_CORRECT: 0.0236920, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0963634, DIVERSITY_GINI: 0.2008154, SHANNON_ENTROPY: 12.4263417, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 103, 'alpha': 0.32986851641525844, 'normalize_similarity': False} - results: ROC_AUC: 0.1356999, PRECISION: 0.0274037, PRECISION_RECALL_MIN_DEN: 0.0988639, RECALL: 0.0962121, MAP: 0.0448016, MRR: 0.0966662, NDCG: 0.0688625, F1: 0.0426549, HIT_RATE: 0.2740370, ARHR: 0.1084747, NOVELTY: 0.0047971, AVERAGE_POPULARITY: 0.1057455, DIVERSITY_MEAN_INTER_LIST: 0.9831465, DIVERSITY_HERFINDAHL: 0.9982960, COVERAGE_ITEM: 0.4086468, COVERAGE_ITEM_CORRECT: 0.0299981, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1431987, DIVERSITY_GINI: 0.1286963, SHANNON_ENTROPY: 11.3166314, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 391, 'alpha': 1.1096360944673076, 'normalize_similarity': True} - results: ROC_AUC: 0.1026964, PRECISION: 0.0211204, PRECISION_RECALL_MIN_DEN: 0.0801305, RECALL: 0.0780559, MAP: 0.0333341, MRR: 0.0699432, NDCG: 0.0524762, F1: 0.0332403, HIT_RATE: 0.2112044, ARHR: 0.0770656, NOVELTY: 0.0051149, AVERAGE_POPULARITY: 0.0616196, DIVERSITY_MEAN_INTER_LIST: 0.9934705, DIVERSITY_HERFINDAHL: 0.9993282, COVERAGE_ITEM: 0.4734475, COVERAGE_ITEM_CORRECT: 0.0280500, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1148106, DIVERSITY_GINI: 0.2074362, SHANNON_ENTROPY: 12.4063241, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 326, 'alpha': 0.30309564248934345, 'normalize_similarity': False} - results: ROC_AUC: 0.1359046, PRECISION: 0.0273803, PRECISION_RECALL_MIN_DEN: 0.0994810, RECALL: 0.0968420, MAP: 0.0449218, MRR: 0.0971007, NDCG: 0.0690909, F1: 0.0426886, HIT_RATE: 0.2738033, ARHR: 0.1087660, NOVELTY: 0.0047127, AVERAGE_POPULARITY: 0.1186046, DIVERSITY_MEAN_INTER_LIST: 0.9790945, DIVERSITY_HERFINDAHL: 0.9978909, COVERAGE_ITEM: 0.3724504, COVERAGE_ITEM_CORRECT: 0.0285505, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1435510, DIVERSITY_GINI: 0.1060343, SHANNON_ENTROPY: 10.9680276, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 365, 'alpha': 0.5742630491461923, 'normalize_similarity': True} - results: ROC_AUC: 0.1200061, PRECISION: 0.0251375, PRECISION_RECALL_MIN_DEN: 0.0894331, RECALL: 0.0865735, MAP: 0.0387451, MRR: 0.0843340, NDCG: 0.0603863, F1: 0.0389570, HIT_RATE: 0.2513751, ARHR: 0.0944899, NOVELTY: 0.0050483, AVERAGE_POPULARITY: 0.0671236, DIVERSITY_MEAN_INTER_LIST: 0.9925514, DIVERSITY_HERFINDAHL: 0.9992363, COVERAGE_ITEM: 0.4808316, COVERAGE_ITEM_CORRECT: 0.0325467, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1313955, DIVERSITY_GINI: 0.1959071, SHANNON_ENTROPY: 12.2496766, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 566, 'alpha': 1.5704624700226533, 'normalize_similarity': False} - results: ROC_AUC: 0.0724647, PRECISION: 0.0145738, PRECISION_RECALL_MIN_DEN: 0.0629579, RECALL: 0.0620851, MAP: 0.0245786, MRR: 0.0477530, NDCG: 0.0392570, F1: 0.0236016, HIT_RATE: 0.1457381, ARHR: 0.0510551, NOVELTY: 0.0052210, AVERAGE_POPULARITY: 0.0484316, DIVERSITY_MEAN_INTER_LIST: 0.9951480, DIVERSITY_HERFINDAHL: 0.9994959, COVERAGE_ITEM: 0.4935053, COVERAGE_ITEM_CORRECT: 0.0235072, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0848119, DIVERSITY_GINI: 0.2375098, SHANNON_ENTROPY: 12.7094274, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 777, 'alpha': 1.9161394615406568, 'normalize_similarity': False} - results: ROC_AUC: 0.0663325, PRECISION: 0.0132323, PRECISION_RECALL_MIN_DEN: 0.0586429, RECALL: 0.0579500, MAP: 0.0230179, MRR: 0.0441756, NDCG: 0.0365703, F1: 0.0215418, HIT_RATE: 0.1323227, ARHR: 0.0468014, NOVELTY: 0.0052324, AVERAGE_POPULARITY: 0.0476547, DIVERSITY_MEAN_INTER_LIST: 0.9952377, DIVERSITY_HERFINDAHL: 0.9995049, COVERAGE_ITEM: 0.4925582, COVERAGE_ITEM_CORRECT: 0.0220905, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0780924, DIVERSITY_GINI: 0.2395858, SHANNON_ENTROPY: 12.7318856, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 936, 'alpha': 0.002623641807723898, 'normalize_similarity': True} - results: ROC_AUC: 0.1139743, PRECISION: 0.0233972, PRECISION_RECALL_MIN_DEN: 0.0818098, RECALL: 0.0792644, MAP: 0.0360841, MRR: 0.0810915, NDCG: 0.0562646, F1: 0.0361233, HIT_RATE: 0.2339716, ARHR: 0.0907600, NOVELTY: 0.0049559, AVERAGE_POPULARITY: 0.0770346, DIVERSITY_MEAN_INTER_LIST: 0.9906387, DIVERSITY_HERFINDAHL: 0.9990451, COVERAGE_ITEM: 0.4535438, COVERAGE_ITEM_CORRECT: 0.0298826, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1227633, DIVERSITY_GINI: 0.1684987, SHANNON_ENTROPY: 11.9519681, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 448, 'alpha': 0.7336424920128787, 'normalize_similarity': False} - results: ROC_AUC: 0.1305857, PRECISION: 0.0266530, PRECISION_RECALL_MIN_DEN: 0.0952660, RECALL: 0.0923901, MAP: 0.0421194, MRR: 0.0926626, NDCG: 0.0653622, F1: 0.0413661, HIT_RATE: 0.2665301, ARHR: 0.1040738, NOVELTY: 0.0049785, AVERAGE_POPULARITY: 0.0784019, DIVERSITY_MEAN_INTER_LIST: 0.9904530, DIVERSITY_HERFINDAHL: 0.9990265, COVERAGE_ITEM: 0.4580327, COVERAGE_ITEM_CORRECT: 0.0319615, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1387945, DIVERSITY_GINI: 0.1757300, SHANNON_ENTROPY: 11.9977550, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 412, 'alpha': 0.008578327237579233, 'normalize_similarity': True} - results: ROC_AUC: 0.1140395, PRECISION: 0.0235147, PRECISION_RECALL_MIN_DEN: 0.0823020, RECALL: 0.0797665, MAP: 0.0361725, MRR: 0.0811375, NDCG: 0.0565049, F1: 0.0363199, HIT_RATE: 0.2351468, ARHR: 0.0907429, NOVELTY: 0.0050131, AVERAGE_POPULARITY: 0.0659768, DIVERSITY_MEAN_INTER_LIST: 0.9925599, DIVERSITY_HERFINDAHL: 0.9992372, COVERAGE_ITEM: 0.4700135, COVERAGE_ITEM_CORRECT: 0.0317613, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1235435, DIVERSITY_GINI: 0.1824898, SHANNON_ENTROPY: 12.1605782, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 21, 'alpha': 1.2831071614471894, 'normalize_similarity': True} - results: ROC_AUC: 0.0740146, PRECISION: 0.0136338, PRECISION_RECALL_MIN_DEN: 0.0559626, RECALL: 0.0549904, MAP: 0.0240768, MRR: 0.0493604, NDCG: 0.0373290, F1: 0.0218438, HIT_RATE: 0.1363383, ARHR: 0.0523569, NOVELTY: 0.0053193, AVERAGE_POPULARITY: 0.0328992, DIVERSITY_MEAN_INTER_LIST: 0.9947444, DIVERSITY_HERFINDAHL: 0.9994556, COVERAGE_ITEM: 0.4968162, COVERAGE_ITEM_CORRECT: 0.0232223, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0801057, DIVERSITY_GINI: 0.2408593, SHANNON_ENTROPY: 12.7622883, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 812, 'alpha': 1.3583074395715964, 'normalize_similarity': True} - results: ROC_AUC: 0.0958964, PRECISION: 0.0197140, PRECISION_RECALL_MIN_DEN: 0.0761246, RECALL: 0.0742569, MAP: 0.0309201, MRR: 0.0643863, NDCG: 0.0491123, F1: 0.0311527, HIT_RATE: 0.1971403, ARHR: 0.0704706, NOVELTY: 0.0051162, AVERAGE_POPULARITY: 0.0651077, DIVERSITY_MEAN_INTER_LIST: 0.9930392, DIVERSITY_HERFINDAHL: 0.9992851, COVERAGE_ITEM: 0.4614360, COVERAGE_ITEM_CORRECT: 0.0260019, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1088964, DIVERSITY_GINI: 0.2037528, SHANNON_ENTROPY: 12.3789090, 

SearchBayesianSkopt-CV: New best config found. Config 25: {'topK': 517, 'alpha': 0.5011086810189048, 'normalize_similarity': False} - results: ROC_AUC: 0.1407356, PRECISION: 0.0284383, PRECISION_RECALL_MIN_DEN: 0.1026014, RECALL: 0.0998596, MAP: 0.0462632, MRR: 0.1002490, NDCG: 0.0712930, F1: 0.0442659, HIT_RATE: 0.2843834, ARHR: 0.1126001, NOVELTY: 0.0048066, AVERAGE_POPULARITY: 0.1037939, DIVERSITY_MEAN_INTER_LIST: 0.9840668, DIVERSITY_HERFINDAHL: 0.9983880, COVERAGE_ITEM: 0.4097016, COVERAGE_ITEM_CORRECT: 0.0307911, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1480810, DIVERSITY_GINI: 0.1306111, SHANNON_ENTROPY: 11.3521247, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 310, 'alpha': 1.3998561774320462, 'normalize_similarity': True} - results: ROC_AUC: 0.0918251, PRECISION: 0.0186524, PRECISION_RECALL_MIN_DEN: 0.0740040, RECALL: 0.0723924, MAP: 0.0298776, MRR: 0.0611872, NDCG: 0.0474500, F1: 0.0296594, HIT_RATE: 0.1865245, ARHR: 0.0665743, NOVELTY: 0.0051504, AVERAGE_POPULARITY: 0.0573470, DIVERSITY_MEAN_INTER_LIST: 0.9940403, DIVERSITY_HERFINDAHL: 0.9993852, COVERAGE_ITEM: 0.4650318, COVERAGE_ITEM_CORRECT: 0.0260404, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1043916, DIVERSITY_GINI: 0.2091529, SHANNON_ENTROPY: 12.4709013, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 81, 'alpha': 1.798642012243439, 'normalize_similarity': True} - results: ROC_AUC: 0.0760653, PRECISION: 0.0147523, PRECISION_RECALL_MIN_DEN: 0.0611909, RECALL: 0.0600744, MAP: 0.0246043, MRR: 0.0497811, NDCG: 0.0390643, F1: 0.0236846, HIT_RATE: 0.1475227, ARHR: 0.0529850, NOVELTY: 0.0052304, AVERAGE_POPULARITY: 0.0440456, DIVERSITY_MEAN_INTER_LIST: 0.9952003, DIVERSITY_HERFINDAHL: 0.9995012, COVERAGE_ITEM: 0.4644697, COVERAGE_ITEM_CORRECT: 0.0234918, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0861960, DIVERSITY_GINI: 0.2145940, SHANNON_ENTROPY: 12.6071236, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 871, 'alpha': 0.8840039094107779, 'normalize_similarity': False} - results: ROC_AUC: 0.1200395, PRECISION: 0.0248456, PRECISION_RECALL_MIN_DEN: 0.0891724, RECALL: 0.0864488, MAP: 0.0385790, MRR: 0.0845800, NDCG: 0.0602489, F1: 0.0385888, HIT_RATE: 0.2484561, ARHR: 0.0947583, NOVELTY: 0.0050194, AVERAGE_POPULARITY: 0.0763437, DIVERSITY_MEAN_INTER_LIST: 0.9909841, DIVERSITY_HERFINDAHL: 0.9990796, COVERAGE_ITEM: 0.4667257, COVERAGE_ITEM_CORRECT: 0.0300289, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1305147, DIVERSITY_GINI: 0.1883663, SHANNON_ENTROPY: 12.1256136, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 542, 'alpha': 0.9368181424145814, 'normalize_similarity': False} - results: ROC_AUC: 0.1122847, PRECISION: 0.0232805, PRECISION_RECALL_MIN_DEN: 0.0853322, RECALL: 0.0827784, MAP: 0.0363964, MRR: 0.0781966, NDCG: 0.0568366, F1: 0.0363343, HIT_RATE: 0.2328049, ARHR: 0.0873642, NOVELTY: 0.0050785, AVERAGE_POPULARITY: 0.0653035, DIVERSITY_MEAN_INTER_LIST: 0.9928146, DIVERSITY_HERFINDAHL: 0.9992626, COVERAGE_ITEM: 0.4776131, COVERAGE_ITEM_CORRECT: 0.0298595, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1231660, DIVERSITY_GINI: 0.2021995, SHANNON_ENTROPY: 12.3208253, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 959, 'alpha': 0.009968954387309827, 'normalize_similarity': False} - results: ROC_AUC: 0.1223450, PRECISION: 0.0240260, PRECISION_RECALL_MIN_DEN: 0.0895559, RECALL: 0.0874134, MAP: 0.0406999, MRR: 0.0872073, NDCG: 0.0623221, F1: 0.0376892, HIT_RATE: 0.2402599, ARHR: 0.0966408, NOVELTY: 0.0045852, AVERAGE_POPULARITY: 0.1442347, DIVERSITY_MEAN_INTER_LIST: 0.9674524, DIVERSITY_HERFINDAHL: 0.9967269, COVERAGE_ITEM: 0.3250202, COVERAGE_ITEM_CORRECT: 0.0225833, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1288033, DIVERSITY_GINI: 0.0792946, SHANNON_ENTROPY: 10.3680080, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 997, 'alpha': 0.43345350923476145, 'normalize_similarity': True} - results: ROC_AUC: 0.1193998, PRECISION: 0.0250845, PRECISION_RECALL_MIN_DEN: 0.0888952, RECALL: 0.0861638, MAP: 0.0384483, MRR: 0.0846463, NDCG: 0.0601370, F1: 0.0388499, HIT_RATE: 0.2508446, ARHR: 0.0951130, NOVELTY: 0.0049825, AVERAGE_POPULARITY: 0.0785632, DIVERSITY_MEAN_INTER_LIST: 0.9904424, DIVERSITY_HERFINDAHL: 0.9990255, COVERAGE_ITEM: 0.4670953, COVERAGE_ITEM_CORRECT: 0.0306526, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1308418, DIVERSITY_GINI: 0.1802188, SHANNON_ENTROPY: 12.0248575, 
