SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 504, 'shrink': 287, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0215962, PRECISION: 0.0043893, PRECISION_RECALL_MIN_DEN: 0.0159441, RECALL: 0.0153773, MAP: 0.0064696, MRR: 0.0146184, NDCG: 0.0103180, F1: 0.0068266, HIT_RATE: 0.0438934, ARHR: 0.0157846, NOVELTY: 0.0055510, AVERAGE_POPULARITY: 0.0121024, DIVERSITY_MEAN_INTER_LIST: 0.9570905, DIVERSITY_HERFINDAHL: 0.9956895, COVERAGE_ITEM: 0.4572936, COVERAGE_ITEM_CORRECT: 0.0079384, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0231282, DIVERSITY_GINI: 0.1831301, SHANNON_ENTROPY: 11.5647489, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 20, 'shrink': 107, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 665, 'shrink': 661, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 101, 'shrink': 576, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0203117, PRECISION: 0.0039974, PRECISION_RECALL_MIN_DEN: 0.0154348, RECALL: 0.0149408, MAP: 0.0062215, MRR: 0.0135802, NDCG: 0.0098684, F1: 0.0063059, HIT_RATE: 0.0399743, ARHR: 0.0145352, NOVELTY: 0.0055517, AVERAGE_POPULARITY: 0.0115395, DIVERSITY_MEAN_INTER_LIST: 0.9509028, DIVERSITY_HERFINDAHL: 0.9950708, COVERAGE_ITEM: 0.4514033, COVERAGE_ITEM_CORRECT: 0.0073455, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0214672, DIVERSITY_GINI: 0.1810404, SHANNON_ENTROPY: 11.4851887, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 759, 'shrink': 875, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0216635, PRECISION: 0.0043202, PRECISION_RECALL_MIN_DEN: 0.0159704, RECALL: 0.0154401, MAP: 0.0064065, MRR: 0.0143910, NDCG: 0.0102803, F1: 0.0067491, HIT_RATE: 0.0432016, ARHR: 0.0154508, NOVELTY: 0.0055449, AVERAGE_POPULARITY: 0.0121957, DIVERSITY_MEAN_INTER_LIST: 0.9575503, DIVERSITY_HERFINDAHL: 0.9957355, COVERAGE_ITEM: 0.4616593, COVERAGE_ITEM_CORRECT: 0.0078691, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0231282, DIVERSITY_GINI: 0.1857285, SHANNON_ENTROPY: 11.5926290, 
SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 894, 'shrink': 660, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0500431, PRECISION: 0.0097145, PRECISION_RECALL_MIN_DEN: 0.0278100, RECALL: 0.0265294, MAP: 0.0116088, MRR: 0.0338963, NDCG: 0.0197914, F1: 0.0142196, HIT_RATE: 0.0971454, ARHR: 0.0368472, NOVELTY: 0.0046099, AVERAGE_POPULARITY: 0.0820153, DIVERSITY_MEAN_INTER_LIST: 0.7886294, DIVERSITY_HERFINDAHL: 0.9788468, COVERAGE_ITEM: 0.1982676, COVERAGE_ITEM_CORRECT: 0.0093782, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0503083, DIVERSITY_GINI: 0.0318339, SHANNON_ENTROPY: 8.0625640, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 83, 'shrink': 925, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0198417, PRECISION: 0.0038709, PRECISION_RECALL_MIN_DEN: 0.0154072, RECALL: 0.0149819, MAP: 0.0062395, MRR: 0.0134418, NDCG: 0.0098817, F1: 0.0061512, HIT_RATE: 0.0387092, ARHR: 0.0143003, NOVELTY: 0.0055436, AVERAGE_POPULARITY: 0.0115600, DIVERSITY_MEAN_INTER_LIST: 0.9485488, DIVERSITY_HERFINDAHL: 0.9948355, COVERAGE_ITEM: 0.4595034, COVERAGE_ITEM_CORRECT: 0.0071684, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0208381, DIVERSITY_GINI: 0.1864005, SHANNON_ENTROPY: 11.4930286, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 276, 'shrink': 376, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0204583, PRECISION: 0.0041078, PRECISION_RECALL_MIN_DEN: 0.0156526, RECALL: 0.0151923, MAP: 0.0061810, MRR: 0.0136932, NDCG: 0.0099696, F1: 0.0064642, HIT_RATE: 0.0410782, ARHR: 0.0146407, NOVELTY: 0.0055534, AVERAGE_POPULARITY: 0.0118158, DIVERSITY_MEAN_INTER_LIST: 0.9562683, DIVERSITY_HERFINDAHL: 0.9956073, COVERAGE_ITEM: 0.4558768, COVERAGE_ITEM_CORRECT: 0.0075380, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0219706, DIVERSITY_GINI: 0.1850368, SHANNON_ENTROPY: 11.5809240, 
SearchBayesianSkopt-CV: New best config found. Config 18: {'topK': 632, 'shrink': 833, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0500254, PRECISION: 0.0097105, PRECISION_RECALL_MIN_DEN: 0.0278060, RECALL: 0.0265260, MAP: 0.0116112, MRR: 0.0339062, NDCG: 0.0197932, F1: 0.0142147, HIT_RATE: 0.0971046, ARHR: 0.0368588, NOVELTY: 0.0046101, AVERAGE_POPULARITY: 0.0819730, DIVERSITY_MEAN_INTER_LIST: 0.7886417, DIVERSITY_HERFINDAHL: 0.9788481, COVERAGE_ITEM: 0.1983215, COVERAGE_ITEM_CORRECT: 0.0093705, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0502831, DIVERSITY_GINI: 0.0318505, SHANNON_ENTROPY: 8.0632400, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 524, 'shrink': 401, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 391, 'shrink': 340, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0498527, PRECISION: 0.0096942, PRECISION_RECALL_MIN_DEN: 0.0276766, RECALL: 0.0263928, MAP: 0.0114734, MRR: 0.0337351, NDCG: 0.0196515, F1: 0.0141784, HIT_RATE: 0.0969417, ARHR: 0.0366992, NOVELTY: 0.0046117, AVERAGE_POPULARITY: 0.0815460, DIVERSITY_MEAN_INTER_LIST: 0.7883723, DIVERSITY_HERFINDAHL: 0.9788211, COVERAGE_ITEM: 0.1991607, COVERAGE_ITEM_CORRECT: 0.0093628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0502076, DIVERSITY_GINI: 0.0320750, SHANNON_ENTROPY: 8.0679751, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 218, 'shrink': 373, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0492731, PRECISION: 0.0096819, PRECISION_RECALL_MIN_DEN: 0.0273741, RECALL: 0.0260974, MAP: 0.0113811, MRR: 0.0334420, NDCG: 0.0194909, F1: 0.0141217, HIT_RATE: 0.0968188, ARHR: 0.0364390, NOVELTY: 0.0046254, AVERAGE_POPULARITY: 0.0785473, DIVERSITY_MEAN_INTER_LIST: 0.7884924, DIVERSITY_HERFINDAHL: 0.9788331, COVERAGE_ITEM: 0.2032570, COVERAGE_ITEM_CORRECT: 0.0095476, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0499056, DIVERSITY_GINI: 0.0336223, SHANNON_ENTROPY: 8.1221358, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 852, 'shrink': 497, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0211163, PRECISION: 0.0041445, PRECISION_RECALL_MIN_DEN: 0.0157159, RECALL: 0.0152595, MAP: 0.0062880, MRR: 0.0139476, NDCG: 0.0101050, F1: 0.0065156, HIT_RATE: 0.0414452, ARHR: 0.0148585, NOVELTY: 0.0055416, AVERAGE_POPULARITY: 0.0122070, DIVERSITY_MEAN_INTER_LIST: 0.9577398, DIVERSITY_HERFINDAHL: 0.9957544, COVERAGE_ITEM: 0.4612666, COVERAGE_ITEM_CORRECT: 0.0075765, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0224487, DIVERSITY_GINI: 0.1856891, SHANNON_ENTROPY: 11.6003483, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 925, 'shrink': 774, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0500431, PRECISION: 0.0097145, PRECISION_RECALL_MIN_DEN: 0.0278100, RECALL: 0.0265294, MAP: 0.0116088, MRR: 0.0338963, NDCG: 0.0197914, F1: 0.0142196, HIT_RATE: 0.0971454, ARHR: 0.0368472, NOVELTY: 0.0046099, AVERAGE_POPULARITY: 0.0820161, DIVERSITY_MEAN_INTER_LIST: 0.7886292, DIVERSITY_HERFINDAHL: 0.9788468, COVERAGE_ITEM: 0.1982599, COVERAGE_ITEM_CORRECT: 0.0093782, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0503083, DIVERSITY_GINI: 0.0318324, SHANNON_ENTROPY: 8.0625367, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 243, 'shrink': 953, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0204323, PRECISION: 0.0040303, PRECISION_RECALL_MIN_DEN: 0.0154241, RECALL: 0.0149738, MAP: 0.0061332, MRR: 0.0136374, NDCG: 0.0098690, F1: 0.0063484, HIT_RATE: 0.0403031, ARHR: 0.0145786, NOVELTY: 0.0055546, AVERAGE_POPULARITY: 0.0117485, DIVERSITY_MEAN_INTER_LIST: 0.9557489, DIVERSITY_HERFINDAHL: 0.9955554, COVERAGE_ITEM: 0.4550375, COVERAGE_ITEM_CORRECT: 0.0073994, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0215427, DIVERSITY_GINI: 0.1846248, SHANNON_ENTROPY: 11.5723970, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 15, 'shrink': 258, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 992, 'shrink': 368, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 377, 'shrink': 780, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 25, 'shrink': 496, 'similarity': 'pearson', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0341833, PRECISION: 0.0068005, PRECISION_RECALL_MIN_DEN: 0.0178258, RECALL: 0.0167076, MAP: 0.0072620, MRR: 0.0235942, NDCG: 0.0127315, F1: 0.0096607, HIT_RATE: 0.0680053, ARHR: 0.0258196, NOVELTY: 0.0048588, AVERAGE_POPULARITY: 0.0356767, DIVERSITY_MEAN_INTER_LIST: 0.7651001, DIVERSITY_HERFINDAHL: 0.9764944, COVERAGE_ITEM: 0.2957690, COVERAGE_ITEM_CORRECT: 0.0102714, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0347553, DIVERSITY_GINI: 0.0736601, SHANNON_ENTROPY: 8.7209687, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 75, 'shrink': 209, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0459117, PRECISION: 0.0089375, PRECISION_RECALL_MIN_DEN: 0.0253828, RECALL: 0.0241117, MAP: 0.0104179, MRR: 0.0315318, NDCG: 0.0178890, F1: 0.0130401, HIT_RATE: 0.0893752, ARHR: 0.0342637, NOVELTY: 0.0047260, AVERAGE_POPULARITY: 0.0584081, DIVERSITY_MEAN_INTER_LIST: 0.7872539, DIVERSITY_HERFINDAHL: 0.9787093, COVERAGE_ITEM: 0.2369894, COVERAGE_ITEM_CORRECT: 0.0103407, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0461558, DIVERSITY_GINI: 0.0472756, SHANNON_ENTROPY: 8.4817997, 
SearchBayesianSkopt-CV: New best config found. Config 30: {'topK': 1000, 'shrink': 0, 'similarity': 'pearson', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0500477, PRECISION: 0.0097145, PRECISION_RECALL_MIN_DEN: 0.0278100, RECALL: 0.0265294, MAP: 0.0116129, MRR: 0.0339167, NDCG: 0.0197965, F1: 0.0142196, HIT_RATE: 0.0971454, ARHR: 0.0368676, NOVELTY: 0.0046099, AVERAGE_POPULARITY: 0.0820154, DIVERSITY_MEAN_INTER_LIST: 0.7886294, DIVERSITY_HERFINDAHL: 0.9788468, COVERAGE_ITEM: 0.1982599, COVERAGE_ITEM_CORRECT: 0.0093782, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0503083, DIVERSITY_GINI: 0.0318324, SHANNON_ENTROPY: 8.0625462, 
