SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 265, 'shrink': 88, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0484079, PRECISION: 0.0094517, PRECISION_RECALL_MIN_DEN: 0.0367313, RECALL: 0.0358425, MAP: 0.0153475, MRR: 0.0320265, NDCG: 0.0240865, F1: 0.0149579, HIT_RATE: 0.0945174, ARHR: 0.0344531, NOVELTY: 0.0057038, AVERAGE_POPULARITY: 0.0114997, DIVERSITY_MEAN_INTER_LIST: 0.9932967, DIVERSITY_HERFINDAHL: 0.9993094, COVERAGE_ITEM: 0.6352878, COVERAGE_ITEM_CORRECT: 0.0173628, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0504845, DIVERSITY_GINI: 0.3824278, SHANNON_ENTROPY: 13.2977522, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 637, 'shrink': 683, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0929164, PRECISION: 0.0176158, PRECISION_RECALL_MIN_DEN: 0.0684832, RECALL: 0.0670065, MAP: 0.0292959, MRR: 0.0639671, NDCG: 0.0461257, F1: 0.0278944, HIT_RATE: 0.1761583, ARHR: 0.0691432, NOVELTY: 0.0045772, AVERAGE_POPULARITY: 0.1481535, DIVERSITY_MEAN_INTER_LIST: 0.9644683, DIVERSITY_HERFINDAHL: 0.9964271, COVERAGE_ITEM: 0.3108681, COVERAGE_ITEM_CORRECT: 0.0154456, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0919341, DIVERSITY_GINI: 0.0773415, SHANNON_ENTROPY: 10.2825268, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 640, 'shrink': 944, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0980455, PRECISION: 0.0187569, PRECISION_RECALL_MIN_DEN: 0.0742736, RECALL: 0.0727612, MAP: 0.0316886, MRR: 0.0680787, NDCG: 0.0497213, F1: 0.0298218, HIT_RATE: 0.1875688, ARHR: 0.0735598, NOVELTY: 0.0045626, AVERAGE_POPULARITY: 0.1514919, DIVERSITY_MEAN_INTER_LIST: 0.9636102, DIVERSITY_HERFINDAHL: 0.9963413, COVERAGE_ITEM: 0.3116766, COVERAGE_ITEM_CORRECT: 0.0169240, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0975966, DIVERSITY_GINI: 0.0769431, SHANNON_ENTROPY: 10.2509347, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 893, 'shrink': 597, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0972248, PRECISION: 0.0187364, PRECISION_RECALL_MIN_DEN: 0.0740087, RECALL: 0.0724911, MAP: 0.0315542, MRR: 0.0676368, NDCG: 0.0495019, F1: 0.0297738, HIT_RATE: 0.1873645, ARHR: 0.0730590, NOVELTY: 0.0045489, AVERAGE_POPULARITY: 0.1555204, DIVERSITY_MEAN_INTER_LIST: 0.9611786, DIVERSITY_HERFINDAHL: 0.9960982, COVERAGE_ITEM: 0.3085505, COVERAGE_ITEM_CORRECT: 0.0167700, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0977476, DIVERSITY_GINI: 0.0750941, SHANNON_ENTROPY: 10.1818186, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 803, 'shrink': 440, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1044860, PRECISION: 0.0202461, PRECISION_RECALL_MIN_DEN: 0.0807616, RECALL: 0.0792316, MAP: 0.0340169, MRR: 0.0721323, NDCG: 0.0535480, F1: 0.0322479, HIT_RATE: 0.2024607, ARHR: 0.0781319, NOVELTY: 0.0046054, AVERAGE_POPULARITY: 0.1471884, DIVERSITY_MEAN_INTER_LIST: 0.9665080, DIVERSITY_HERFINDAHL: 0.9966311, COVERAGE_ITEM: 0.3326121, COVERAGE_ITEM_CORRECT: 0.0183715, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1050459, DIVERSITY_GINI: 0.0877797, SHANNON_ENTROPY: 10.4482140, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 315, 'shrink': 853, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0945412, PRECISION: 0.0180285, PRECISION_RECALL_MIN_DEN: 0.0696204, RECALL: 0.0681164, MAP: 0.0294542, MRR: 0.0646488, NDCG: 0.0466564, F1: 0.0285091, HIT_RATE: 0.1802854, ARHR: 0.0700409, NOVELTY: 0.0046534, AVERAGE_POPULARITY: 0.1278317, DIVERSITY_MEAN_INTER_LIST: 0.9733294, DIVERSITY_HERFINDAHL: 0.9973131, COVERAGE_ITEM: 0.3333282, COVERAGE_ITEM_CORRECT: 0.0166622, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0937461, DIVERSITY_GINI: 0.0903640, SHANNON_ENTROPY: 10.6390876, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 123, 'shrink': 304, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1048715, PRECISION: 0.0206363, PRECISION_RECALL_MIN_DEN: 0.0799772, RECALL: 0.0781995, MAP: 0.0339605, MRR: 0.0725807, NDCG: 0.0532966, F1: 0.0326530, HIT_RATE: 0.2063625, ARHR: 0.0792459, NOVELTY: 0.0047612, AVERAGE_POPULARITY: 0.1030857, DIVERSITY_MEAN_INTER_LIST: 0.9823000, DIVERSITY_HERFINDAHL: 0.9982099, COVERAGE_ITEM: 0.3604389, COVERAGE_ITEM_CORRECT: 0.0225602, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1054989, DIVERSITY_GINI: 0.1093988, SHANNON_ENTROPY: 11.1261952, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 492, 'shrink': 389, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0487610, PRECISION: 0.0094761, PRECISION_RECALL_MIN_DEN: 0.0366491, RECALL: 0.0357561, MAP: 0.0153116, MRR: 0.0322756, NDCG: 0.0240704, F1: 0.0149810, HIT_RATE: 0.0947613, ARHR: 0.0347125, NOVELTY: 0.0056989, AVERAGE_POPULARITY: 0.0116311, DIVERSITY_MEAN_INTER_LIST: 0.9933038, DIVERSITY_HERFINDAHL: 0.9993101, COVERAGE_ITEM: 0.6360731, COVERAGE_ITEM_CORRECT: 0.0174013, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0505600, DIVERSITY_GINI: 0.3831337, SHANNON_ENTROPY: 13.3001139, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 602, 'shrink': 294, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1045922, PRECISION: 0.0203038, PRECISION_RECALL_MIN_DEN: 0.0809045, RECALL: 0.0793586, MAP: 0.0341777, MRR: 0.0723732, NDCG: 0.0537138, F1: 0.0323316, HIT_RATE: 0.2030376, ARHR: 0.0784438, NOVELTY: 0.0046195, AVERAGE_POPULARITY: 0.1441604, DIVERSITY_MEAN_INTER_LIST: 0.9678480, DIVERSITY_HERFINDAHL: 0.9967650, COVERAGE_ITEM: 0.3369163, COVERAGE_ITEM_CORRECT: 0.0185409, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1052473, DIVERSITY_GINI: 0.0903872, SHANNON_ENTROPY: 10.5073622, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 956, 'shrink': 463, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0971338, PRECISION: 0.0187529, PRECISION_RECALL_MIN_DEN: 0.0740569, RECALL: 0.0725317, MAP: 0.0315424, MRR: 0.0676573, NDCG: 0.0495088, F1: 0.0297974, HIT_RATE: 0.1875290, ARHR: 0.0730890, NOVELTY: 0.0045467, AVERAGE_POPULARITY: 0.1561317, DIVERSITY_MEAN_INTER_LIST: 0.9608308, DIVERSITY_HERFINDAHL: 0.9960634, COVERAGE_ITEM: 0.3079346, COVERAGE_ITEM_CORRECT: 0.0167777, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0978482, DIVERSITY_GINI: 0.0747794, SHANNON_ENTROPY: 10.1712625, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 110, 'shrink': 343, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1040453, PRECISION: 0.0205265, PRECISION_RECALL_MIN_DEN: 0.0796129, RECALL: 0.0778429, MAP: 0.0336773, MRR: 0.0718957, NDCG: 0.0529321, F1: 0.0324846, HIT_RATE: 0.2052652, ARHR: 0.0784804, NOVELTY: 0.0047775, AVERAGE_POPULARITY: 0.0993021, DIVERSITY_MEAN_INTER_LIST: 0.9832389, DIVERSITY_HERFINDAHL: 0.9983038, COVERAGE_ITEM: 0.3638653, COVERAGE_ITEM_CORRECT: 0.0229143, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1050963, DIVERSITY_GINI: 0.1122329, SHANNON_ENTROPY: 11.1964082, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 48, 'shrink': 317, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912612, PRECISION: 0.0174801, PRECISION_RECALL_MIN_DEN: 0.0686270, RECALL: 0.0670739, MAP: 0.0291876, MRR: 0.0627231, NDCG: 0.0457297, F1: 0.0277293, HIT_RATE: 0.1748009, ARHR: 0.0680277, NOVELTY: 0.0049399, AVERAGE_POPULARITY: 0.0711935, DIVERSITY_MEAN_INTER_LIST: 0.9862617, DIVERSITY_HERFINDAHL: 0.9986060, COVERAGE_ITEM: 0.4244928, COVERAGE_ITEM_CORRECT: 0.0220597, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0910029, DIVERSITY_GINI: 0.1570540, SHANNON_ENTROPY: 11.8173670, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 641, 'shrink': 113, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0989227, PRECISION: 0.0190475, PRECISION_RECALL_MIN_DEN: 0.0750079, RECALL: 0.0734833, MAP: 0.0319142, MRR: 0.0687372, NDCG: 0.0501583, F1: 0.0302509, HIT_RATE: 0.1904752, ARHR: 0.0743893, NOVELTY: 0.0045594, AVERAGE_POPULARITY: 0.1525810, DIVERSITY_MEAN_INTER_LIST: 0.9633388, DIVERSITY_HERFINDAHL: 0.9963142, COVERAGE_ITEM: 0.3116073, COVERAGE_ITEM_CORRECT: 0.0169625, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0988549, DIVERSITY_GINI: 0.0767576, SHANNON_ENTROPY: 10.2407571, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 871, 'shrink': 585, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0923760, PRECISION: 0.0174808, PRECISION_RECALL_MIN_DEN: 0.0681801, RECALL: 0.0666975, MAP: 0.0291640, MRR: 0.0636134, NDCG: 0.0458633, F1: 0.0276985, HIT_RATE: 0.1748080, ARHR: 0.0687410, NOVELTY: 0.0045566, AVERAGE_POPULARITY: 0.1537136, DIVERSITY_MEAN_INTER_LIST: 0.9613755, DIVERSITY_HERFINDAHL: 0.9961179, COVERAGE_ITEM: 0.3044774, COVERAGE_ITEM_CORRECT: 0.0151299, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0914811, DIVERSITY_GINI: 0.0739425, SHANNON_ENTROPY: 10.1790211, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 682, 'shrink': 884, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0511386, PRECISION: 0.0101354, PRECISION_RECALL_MIN_DEN: 0.0382315, RECALL: 0.0370833, MAP: 0.0160215, MRR: 0.0345273, NDCG: 0.0250855, F1: 0.0159190, HIT_RATE: 0.1013536, ARHR: 0.0373563, NOVELTY: 0.0056738, AVERAGE_POPULARITY: 0.0122944, DIVERSITY_MEAN_INTER_LIST: 0.9933083, DIVERSITY_HERFINDAHL: 0.9993105, COVERAGE_ITEM: 0.6350876, COVERAGE_ITEM_CORRECT: 0.0186025, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0530766, DIVERSITY_GINI: 0.3865081, SHANNON_ENTROPY: 13.3089026, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 150, 'shrink': 828, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0479842, PRECISION: 0.0092596, PRECISION_RECALL_MIN_DEN: 0.0361395, RECALL: 0.0352720, MAP: 0.0152292, MRR: 0.0318966, NDCG: 0.0238085, F1: 0.0146671, HIT_RATE: 0.0925961, ARHR: 0.0342891, NOVELTY: 0.0057114, AVERAGE_POPULARITY: 0.0112998, DIVERSITY_MEAN_INTER_LIST: 0.9931901, DIVERSITY_HERFINDAHL: 0.9992987, COVERAGE_ITEM: 0.6325082, COVERAGE_ITEM_CORRECT: 0.0170087, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0495030, DIVERSITY_GINI: 0.3804325, SHANNON_ENTROPY: 13.2877176, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 878, 'shrink': 142, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1024074, PRECISION: 0.0197214, PRECISION_RECALL_MIN_DEN: 0.0785184, RECALL: 0.0769876, MAP: 0.0333732, MRR: 0.0709797, NDCG: 0.0523525, F1: 0.0313977, HIT_RATE: 0.1972145, ARHR: 0.0767535, NOVELTY: 0.0045615, AVERAGE_POPULARITY: 0.1540947, DIVERSITY_MEAN_INTER_LIST: 0.9630619, DIVERSITY_HERFINDAHL: 0.9962865, COVERAGE_ITEM: 0.3150645, COVERAGE_ITEM_CORRECT: 0.0175014, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1025041, DIVERSITY_GINI: 0.0783131, SHANNON_ENTROPY: 10.2577458, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 439, 'shrink': 963, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0936341, PRECISION: 0.0178490, PRECISION_RECALL_MIN_DEN: 0.0694480, RECALL: 0.0679756, MAP: 0.0296971, MRR: 0.0647576, NDCG: 0.0467370, F1: 0.0282727, HIT_RATE: 0.1784903, ARHR: 0.0700964, NOVELTY: 0.0046054, AVERAGE_POPULARITY: 0.1403108, DIVERSITY_MEAN_INTER_LIST: 0.9684275, DIVERSITY_HERFINDAHL: 0.9968230, COVERAGE_ITEM: 0.3188604, COVERAGE_ITEM_CORRECT: 0.0158383, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0928652, DIVERSITY_GINI: 0.0819559, SHANNON_ENTROPY: 10.4197536, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 400, 'shrink': 111, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1036536, PRECISION: 0.0200115, PRECISION_RECALL_MIN_DEN: 0.0791686, RECALL: 0.0776208, MAP: 0.0335312, MRR: 0.0717758, NDCG: 0.0527525, F1: 0.0318170, HIT_RATE: 0.2001146, ARHR: 0.0777635, NOVELTY: 0.0045942, AVERAGE_POPULARITY: 0.1437429, DIVERSITY_MEAN_INTER_LIST: 0.9682027, DIVERSITY_HERFINDAHL: 0.9968005, COVERAGE_ITEM: 0.3215245, COVERAGE_ITEM_CORRECT: 0.0182252, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1036869, DIVERSITY_GINI: 0.0824375, SHANNON_ENTROPY: 10.4101402, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 157, 'shrink': 795, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0997366, PRECISION: 0.0191658, PRECISION_RECALL_MIN_DEN: 0.0760600, RECALL: 0.0745479, MAP: 0.0321437, MRR: 0.0688169, NDCG: 0.0505878, F1: 0.0304901, HIT_RATE: 0.1916577, ARHR: 0.0745501, NOVELTY: 0.0047189, AVERAGE_POPULARITY: 0.1108469, DIVERSITY_MEAN_INTER_LIST: 0.9799791, DIVERSITY_HERFINDAHL: 0.9979779, COVERAGE_ITEM: 0.3520616, COVERAGE_ITEM_CORRECT: 0.0201886, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0995596, DIVERSITY_GINI: 0.1027158, SHANNON_ENTROPY: 10.9820256, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 6, 'shrink': 993, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0598352, PRECISION: 0.0117720, PRECISION_RECALL_MIN_DEN: 0.0412916, RECALL: 0.0398093, MAP: 0.0179031, MRR: 0.0408671, NDCG: 0.0280068, F1: 0.0181690, HIT_RATE: 0.1177204, ARHR: 0.0448581, NOVELTY: 0.0050962, AVERAGE_POPULARITY: 0.0339513, DIVERSITY_MEAN_INTER_LIST: 0.9395331, DIVERSITY_HERFINDAHL: 0.9939341, COVERAGE_ITEM: 0.4866449, COVERAGE_ITEM_CORRECT: 0.0196266, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0600478, DIVERSITY_GINI: 0.2085342, SHANNON_ENTROPY: 11.4625463, 
