
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 40, 'shrink': 498, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4856707434737678, 'asymmetric_alpha': 1.5329654602917668, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1329217, PRECISION: 0.0266706, PRECISION_RECALL_MIN_DEN: 0.0988732, RECALL: 0.0964453, MAP: 0.0451051, MRR: 0.0958795, NDCG: 0.0689447, F1: 0.0417803, HIT_RATE: 0.2667063, ARHR: 0.1068837, NOVELTY: 0.0053782, AVERAGE_POPULARITY: 0.1200789, DIVERSITY_MEAN_INTER_LIST: 0.9872293, DIVERSITY_HERFINDAHL: 0.9987042, COVERAGE_ITEM: 0.4787218, COVERAGE_ITEM_CORRECT: 0.0319846, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1397760, DIVERSITY_GINI: 0.1671757, SHANNON_ENTROPY: 11.7349445, 

SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 258, 'shrink': 210, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.3375000744653989, 'asymmetric_alpha': 0.34896413348768013, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1561209, PRECISION: 0.0322670, PRECISION_RECALL_MIN_DEN: 0.1212337, RECALL: 0.1183963, MAP: 0.0537155, MRR: 0.1116200, NDCG: 0.0825596, F1: 0.0507123, HIT_RATE: 0.3226695, ARHR: 0.1258305, NOVELTY: 0.0055341, AVERAGE_POPULARITY: 0.0900165, DIVERSITY_MEAN_INTER_LIST: 0.9958410, DIVERSITY_HERFINDAHL: 0.9995652, COVERAGE_ITEM: 0.5965813, COVERAGE_ITEM_CORRECT: 0.0473532, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1661256, DIVERSITY_GINI: 0.2730399, SHANNON_ENTROPY: 12.8314387, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 880, 'shrink': 824, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6789396148949777, 'asymmetric_alpha': 1.8880591468974557, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1359637, PRECISION: 0.0269849, PRECISION_RECALL_MIN_DEN: 0.1022386, RECALL: 0.0999001, MAP: 0.0461568, MRR: 0.0976097, NDCG: 0.0707104, F1: 0.0424891, HIT_RATE: 0.2698486, ARHR: 0.1083610, NOVELTY: 0.0053238, AVERAGE_POPULARITY: 0.1293465, DIVERSITY_MEAN_INTER_LIST: 0.9826342, DIVERSITY_HERFINDAHL: 0.9982448, COVERAGE_ITEM: 0.4053282, COVERAGE_ITEM_CORRECT: 0.0302599, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1429974, DIVERSITY_GINI: 0.1225712, SHANNON_ENTROPY: 11.2177785, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 257, 'shrink': 657, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.1760967127414366, 'asymmetric_alpha': 1.0363663630928324, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1383313, PRECISION: 0.0275842, PRECISION_RECALL_MIN_DEN: 0.1037333, RECALL: 0.1012769, MAP: 0.0469760, MRR: 0.0992315, NDCG: 0.0718121, F1: 0.0433556, HIT_RATE: 0.2758423, ARHR: 0.1106745, NOVELTY: 0.0053161, AVERAGE_POPULARITY: 0.1358012, DIVERSITY_MEAN_INTER_LIST: 0.9813653, DIVERSITY_HERFINDAHL: 0.9981179, COVERAGE_ITEM: 0.4186179, COVERAGE_ITEM_CORRECT: 0.0307988, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1452372, DIVERSITY_GINI: 0.1301806, SHANNON_ENTROPY: 11.2608046, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 523, 'shrink': 585, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.33666941719317683, 'asymmetric_alpha': 0.8545290283874858, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1379604, PRECISION: 0.0273565, PRECISION_RECALL_MIN_DEN: 0.1036424, RECALL: 0.1012433, MAP: 0.0466258, MRR: 0.0985557, NDCG: 0.0714488, F1: 0.0430716, HIT_RATE: 0.2735646, ARHR: 0.1097567, NOVELTY: 0.0052985, AVERAGE_POPULARITY: 0.1407292, DIVERSITY_MEAN_INTER_LIST: 0.9794308, DIVERSITY_HERFINDAHL: 0.9979245, COVERAGE_ITEM: 0.4009779, COVERAGE_ITEM_CORRECT: 0.0300982, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1445074, DIVERSITY_GINI: 0.1195667, SHANNON_ENTROPY: 11.1159448, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 554, 'shrink': 736, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.519137253609043, 'asymmetric_alpha': 0.0752649856179959, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1375182, PRECISION: 0.0273186, PRECISION_RECALL_MIN_DEN: 0.1034497, RECALL: 0.1010431, MAP: 0.0467602, MRR: 0.0983211, NDCG: 0.0714496, F1: 0.0430059, HIT_RATE: 0.2731865, ARHR: 0.1095221, NOVELTY: 0.0052728, AVERAGE_POPULARITY: 0.1491431, DIVERSITY_MEAN_INTER_LIST: 0.9757691, DIVERSITY_HERFINDAHL: 0.9975584, COVERAGE_ITEM: 0.3867180, COVERAGE_ITEM_CORRECT: 0.0294283, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1444822, DIVERSITY_GINI: 0.1110833, SHANNON_ENTROPY: 10.9499553, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 327, 'shrink': 451, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.42085301929122043, 'asymmetric_alpha': 0.7439329225249983, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1380846, PRECISION: 0.0275575, PRECISION_RECALL_MIN_DEN: 0.1041180, RECALL: 0.1016920, MAP: 0.0468920, MRR: 0.0990638, NDCG: 0.0718010, F1: 0.0433604, HIT_RATE: 0.2755747, ARHR: 0.1104305, NOVELTY: 0.0053112, AVERAGE_POPULARITY: 0.1374271, DIVERSITY_MEAN_INTER_LIST: 0.9809726, DIVERSITY_HERFINDAHL: 0.9980787, COVERAGE_ITEM: 0.4129278, COVERAGE_ITEM_CORRECT: 0.0307141, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1454637, DIVERSITY_GINI: 0.1269191, SHANNON_ENTROPY: 11.2239891, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 201, 'shrink': 763, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.45086498486674487, 'asymmetric_alpha': 1.1896236786528487, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1230958, PRECISION: 0.0262710, PRECISION_RECALL_MIN_DEN: 0.0991129, RECALL: 0.0966434, MAP: 0.0410139, MRR: 0.0856028, NDCG: 0.0646883, F1: 0.0413114, HIT_RATE: 0.2627104, ARHR: 0.0960187, NOVELTY: 0.0056060, AVERAGE_POPULARITY: 0.0734526, DIVERSITY_MEAN_INTER_LIST: 0.9957533, DIVERSITY_HERFINDAHL: 0.9995565, COVERAGE_ITEM: 0.5731973, COVERAGE_ITEM_CORRECT: 0.0434110, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1377627, DIVERSITY_GINI: 0.2524607, SHANNON_ENTROPY: 12.7309841, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 230, 'shrink': 949, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.045255596950978035, 'asymmetric_alpha': 0.9682210615864415, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1375694, PRECISION: 0.0290869, PRECISION_RECALL_MIN_DEN: 0.1099084, RECALL: 0.1072848, MAP: 0.0463003, MRR: 0.0961166, NDCG: 0.0725108, F1: 0.0457647, HIT_RATE: 0.2908692, ARHR: 0.1081082, NOVELTY: 0.0055502, AVERAGE_POPULARITY: 0.0826768, DIVERSITY_MEAN_INTER_LIST: 0.9954345, DIVERSITY_HERFINDAHL: 0.9995246, COVERAGE_ITEM: 0.5608162, COVERAGE_ITEM_CORRECT: 0.0446660, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1513024, DIVERSITY_GINI: 0.2404996, SHANNON_ENTROPY: 12.6369252, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 547, 'shrink': 289, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.5501678904180989, 'asymmetric_alpha': 1.1743946865887929, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0987850, PRECISION: 0.0206763, PRECISION_RECALL_MIN_DEN: 0.0795331, RECALL: 0.0777177, MAP: 0.0323602, MRR: 0.0676070, NDCG: 0.0513967, F1: 0.0326613, HIT_RATE: 0.2067627, ARHR: 0.0751111, NOVELTY: 0.0057556, AVERAGE_POPULARITY: 0.0562359, DIVERSITY_MEAN_INTER_LIST: 0.9964219, DIVERSITY_HERFINDAHL: 0.9996233, COVERAGE_ITEM: 0.5599615, COVERAGE_ITEM_CORRECT: 0.0377209, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1113376, DIVERSITY_GINI: 0.2538515, SHANNON_ENTROPY: 12.8173774, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 197, 'shrink': 342, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.5647105966385734, 'asymmetric_alpha': 1.0708252736751447, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1025531, PRECISION: 0.0216449, PRECISION_RECALL_MIN_DEN: 0.0801627, RECALL: 0.0781485, MAP: 0.0336153, MRR: 0.0714100, NDCG: 0.0530075, F1: 0.0338990, HIT_RATE: 0.2164487, ARHR: 0.0799556, NOVELTY: 0.0058061, AVERAGE_POPULARITY: 0.0545003, DIVERSITY_MEAN_INTER_LIST: 0.9983353, DIVERSITY_HERFINDAHL: 0.9998146, COVERAGE_ITEM: 0.6690972, COVERAGE_ITEM_CORRECT: 0.0399384, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1136026, DIVERSITY_GINI: 0.3672757, SHANNON_ENTROPY: 13.4808261, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 961, 'shrink': 671, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4303563582495181, 'asymmetric_alpha': 0.962114469542652, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1369112, PRECISION: 0.0270006, PRECISION_RECALL_MIN_DEN: 0.1022551, RECALL: 0.0998930, MAP: 0.0462279, MRR: 0.0975653, NDCG: 0.0707272, F1: 0.0425082, HIT_RATE: 0.2700062, ARHR: 0.1084993, NOVELTY: 0.0052872, AVERAGE_POPULARITY: 0.1428931, DIVERSITY_MEAN_INTER_LIST: 0.9779726, DIVERSITY_HERFINDAHL: 0.9977787, COVERAGE_ITEM: 0.3905063, COVERAGE_ITEM_CORRECT: 0.0292512, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1428212, DIVERSITY_GINI: 0.1130535, SHANNON_ENTROPY: 11.0006356, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 150, 'shrink': 66, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.14312101299797478, 'asymmetric_alpha': 1.7195261044109045, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1193404, PRECISION: 0.0240865, PRECISION_RECALL_MIN_DEN: 0.0905971, RECALL: 0.0883776, MAP: 0.0400133, MRR: 0.0845302, NDCG: 0.0617773, F1: 0.0378512, HIT_RATE: 0.2408654, ARHR: 0.0938565, NOVELTY: 0.0054875, AVERAGE_POPULARITY: 0.0927165, DIVERSITY_MEAN_INTER_LIST: 0.9932132, DIVERSITY_HERFINDAHL: 0.9993025, COVERAGE_ITEM: 0.4988797, COVERAGE_ITEM_CORRECT: 0.0348643, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1282497, DIVERSITY_GINI: 0.1904229, SHANNON_ENTROPY: 12.2020179, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 538, 'shrink': 449, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6752202234457234, 'asymmetric_alpha': 1.970256215908386, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1343443, PRECISION: 0.0267614, PRECISION_RECALL_MIN_DEN: 0.1011818, RECALL: 0.0988742, MAP: 0.0452854, MRR: 0.0959547, NDCG: 0.0696687, F1: 0.0421189, HIT_RATE: 0.2676145, ARHR: 0.1064961, NOVELTY: 0.0053600, AVERAGE_POPULARITY: 0.1200154, DIVERSITY_MEAN_INTER_LIST: 0.9865138, DIVERSITY_HERFINDAHL: 0.9986327, COVERAGE_ITEM: 0.4260481, COVERAGE_ITEM_CORRECT: 0.0314456, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1421165, DIVERSITY_GINI: 0.1360701, SHANNON_ENTROPY: 11.4721958, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 167, 'shrink': 306, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.5443311607504326, 'asymmetric_alpha': 0.23633599379748232, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1383382, PRECISION: 0.0277511, PRECISION_RECALL_MIN_DEN: 0.1032987, RECALL: 0.1007785, MAP: 0.0470575, MRR: 0.0995812, NDCG: 0.0718243, F1: 0.0435162, HIT_RATE: 0.2775114, ARHR: 0.1111593, NOVELTY: 0.0053146, AVERAGE_POPULARITY: 0.1376814, DIVERSITY_MEAN_INTER_LIST: 0.9815118, DIVERSITY_HERFINDAHL: 0.9981326, COVERAGE_ITEM: 0.4231761, COVERAGE_ITEM_CORRECT: 0.0313070, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1455140, DIVERSITY_GINI: 0.1331282, SHANNON_ENTROPY: 11.2992760, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 535, 'shrink': 414, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4395599911597491, 'asymmetric_alpha': 1.0126120471731037, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1380228, PRECISION: 0.0273374, PRECISION_RECALL_MIN_DEN: 0.1034078, RECALL: 0.1009948, MAP: 0.0467048, MRR: 0.0989996, NDCG: 0.0714756, F1: 0.0430255, HIT_RATE: 0.2733744, ARHR: 0.1101414, NOVELTY: 0.0053124, AVERAGE_POPULARITY: 0.1354785, DIVERSITY_MEAN_INTER_LIST: 0.9811525, DIVERSITY_HERFINDAHL: 0.9980967, COVERAGE_ITEM: 0.4070914, COVERAGE_ITEM_CORRECT: 0.0303523, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1444822, DIVERSITY_GINI: 0.1230036, SHANNON_ENTROPY: 11.1837433, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 977, 'shrink': 81, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.455812941421716, 'asymmetric_alpha': 0.6613912912112218, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1170944, PRECISION: 0.0247554, PRECISION_RECALL_MIN_DEN: 0.0960443, RECALL: 0.0940793, MAP: 0.0391097, MRR: 0.0807835, NDCG: 0.0621767, F1: 0.0391939, HIT_RATE: 0.2475536, ARHR: 0.0899883, NOVELTY: 0.0057803, AVERAGE_POPULARITY: 0.0594139, DIVERSITY_MEAN_INTER_LIST: 0.9973642, DIVERSITY_HERFINDAHL: 0.9997175, COVERAGE_ITEM: 0.5835919, COVERAGE_ITEM_CORRECT: 0.0426410, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1317982, DIVERSITY_GINI: 0.2766122, SHANNON_ENTROPY: 13.0109734, 

SearchBayesianSkopt-CV: New best config found. Config 25: {'topK': 702, 'shrink': 271, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.2475653741035026, 'asymmetric_alpha': 0.3130762360471589, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1604422, PRECISION: 0.0333624, PRECISION_RECALL_MIN_DEN: 0.1257490, RECALL: 0.1229018, MAP: 0.0554260, MRR: 0.1150145, NDCG: 0.0854368, F1: 0.0524770, HIT_RATE: 0.3336239, ARHR: 0.1297180, NOVELTY: 0.0054776, AVERAGE_POPULARITY: 0.0994213, DIVERSITY_MEAN_INTER_LIST: 0.9944257, DIVERSITY_HERFINDAHL: 0.9994237, COVERAGE_ITEM: 0.5597151, COVERAGE_ITEM_CORRECT: 0.0466756, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1712344, DIVERSITY_GINI: 0.2366229, SHANNON_ENTROPY: 12.5405858, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 536, 'shrink': 697, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.22372471600295668, 'asymmetric_alpha': 1.3762960391302332, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1072837, PRECISION: 0.0228923, PRECISION_RECALL_MIN_DEN: 0.0848148, RECALL: 0.0827264, MAP: 0.0353223, MRR: 0.0745413, NDCG: 0.0558461, F1: 0.0358595, HIT_RATE: 0.2289232, ARHR: 0.0836077, NOVELTY: 0.0057685, AVERAGE_POPULARITY: 0.0569586, DIVERSITY_MEAN_INTER_LIST: 0.9983359, DIVERSITY_HERFINDAHL: 0.9998147, COVERAGE_ITEM: 0.6719692, COVERAGE_ITEM_CORRECT: 0.0418633, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1200453, DIVERSITY_GINI: 0.3698513, SHANNON_ENTROPY: 13.4883275, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 742, 'shrink': 348, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4776171206776819, 'asymmetric_alpha': 1.8232878259605079, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0963040, PRECISION: 0.0202580, PRECISION_RECALL_MIN_DEN: 0.0764920, RECALL: 0.0747771, MAP: 0.0315020, MRR: 0.0662329, NDCG: 0.0500102, F1: 0.0318772, HIT_RATE: 0.2025796, ARHR: 0.0737470, NOVELTY: 0.0058171, AVERAGE_POPULARITY: 0.0545662, DIVERSITY_MEAN_INTER_LIST: 0.9980760, DIVERSITY_HERFINDAHL: 0.9997887, COVERAGE_ITEM: 0.6264793, COVERAGE_ITEM_CORRECT: 0.0371126, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1080659, DIVERSITY_GINI: 0.3236453, SHANNON_ENTROPY: 13.2921209, 
