
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 682, 'shrink': 483, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.5782116103122584, 'tversky_alpha': 0.22867655724457442, 'tversky_beta': 0.7988662362245187} - results: ROC_AUC: 0.1355225, PRECISION: 0.0280789, PRECISION_RECALL_MIN_DEN: 0.1061673, RECALL: 0.1035638, MAP: 0.0455529, MRR: 0.0955638, NDCG: 0.0709335, F1: 0.0441787, HIT_RATE: 0.2807894, ARHR: 0.1070045, NOVELTY: 0.0053410, AVERAGE_POPULARITY: 0.1279316, DIVERSITY_MEAN_INTER_LIST: 0.9909653, DIVERSITY_HERFINDAHL: 0.9990778, COVERAGE_ITEM: 0.4475534, COVERAGE_ITEM_CORRECT: 0.0364042, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1467724, DIVERSITY_GINI: 0.1664898, SHANNON_ENTROPY: 11.9854632, 
SearchBayesianSkopt-CV: New best config found. Config 9: {'topK': 55, 'shrink': 312, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.3357950055565527, 'tversky_alpha': 0.11362910322287759, 'tversky_beta': 1.7211743550551093} - results: ROC_AUC: 0.1390962, PRECISION: 0.0289380, PRECISION_RECALL_MIN_DEN: 0.1072393, RECALL: 0.1044372, MAP: 0.0468697, MRR: 0.0990014, NDCG: 0.0725227, F1: 0.0453171, HIT_RATE: 0.2893803, ARHR: 0.1112990, NOVELTY: 0.0054014, AVERAGE_POPULARITY: 0.1138663, DIVERSITY_MEAN_INTER_LIST: 0.9929428, DIVERSITY_HERFINDAHL: 0.9992755, COVERAGE_ITEM: 0.5301944, COVERAGE_ITEM_CORRECT: 0.0393686, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1497924, DIVERSITY_GINI: 0.2242881, SHANNON_ENTROPY: 12.4271334, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 798, 'shrink': 791, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8257467948352325, 'tversky_alpha': 0.23263416338249338, 'tversky_beta': 0.9386749019941334} - results: ROC_AUC: 0.1343091, PRECISION: 0.0277414, PRECISION_RECALL_MIN_DEN: 0.1049158, RECALL: 0.1023659, MAP: 0.0452485, MRR: 0.0948017, NDCG: 0.0703114, F1: 0.0436519, HIT_RATE: 0.2774140, ARHR: 0.1060659, NOVELTY: 0.0053337, AVERAGE_POPULARITY: 0.1303713, DIVERSITY_MEAN_INTER_LIST: 0.9905648, DIVERSITY_HERFINDAHL: 0.9990377, COVERAGE_ITEM: 0.4420866, COVERAGE_ITEM_CORRECT: 0.0357806, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1451617, DIVERSITY_GINI: 0.1623006, SHANNON_ENTROPY: 11.9361018, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 203, 'shrink': 243, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.5850565175350457, 'tversky_alpha': 0.22265890719282805, 'tversky_beta': 0.6598873361540482} - results: ROC_AUC: 0.1398483, PRECISION: 0.0287316, PRECISION_RECALL_MIN_DEN: 0.1072517, RECALL: 0.1045329, MAP: 0.0465477, MRR: 0.0984796, NDCG: 0.0722948, F1: 0.0450736, HIT_RATE: 0.2873157, ARHR: 0.1105282, NOVELTY: 0.0053759, AVERAGE_POPULARITY: 0.1185907, DIVERSITY_MEAN_INTER_LIST: 0.9922306, DIVERSITY_HERFINDAHL: 0.9992043, COVERAGE_ITEM: 0.4886391, COVERAGE_ITEM_CORRECT: 0.0385140, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1500944, DIVERSITY_GINI: 0.1960151, SHANNON_ENTROPY: 12.2389308, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 918, 'shrink': 675, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.715119821180408, 'tversky_alpha': 0.4175186306053237, 'tversky_beta': 1.1407453305848478} - results: ROC_AUC: 0.1340895, PRECISION: 0.0274879, PRECISION_RECALL_MIN_DEN: 0.1040147, RECALL: 0.1015395, MAP: 0.0449680, MRR: 0.0943359, NDCG: 0.0698678, F1: 0.0432632, HIT_RATE: 0.2748791, ARHR: 0.1053950, NOVELTY: 0.0053378, AVERAGE_POPULARITY: 0.1284415, DIVERSITY_MEAN_INTER_LIST: 0.9909218, DIVERSITY_HERFINDAHL: 0.9990734, COVERAGE_ITEM: 0.4415784, COVERAGE_ITEM_CORRECT: 0.0356728, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1444822, DIVERSITY_GINI: 0.1621333, SHANNON_ENTROPY: 11.9491791, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 477, 'shrink': 770, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.23057109609236187, 'tversky_alpha': 1.8304063609059709, 'tversky_beta': 1.3658887545632905} - results: ROC_AUC: 0.1371409, PRECISION: 0.0281589, PRECISION_RECALL_MIN_DEN: 0.1060220, RECALL: 0.1034198, MAP: 0.0459233, MRR: 0.0962032, NDCG: 0.0712440, F1: 0.0442647, HIT_RATE: 0.2815888, ARHR: 0.1077582, NOVELTY: 0.0053767, AVERAGE_POPULARITY: 0.1158925, DIVERSITY_MEAN_INTER_LIST: 0.9926185, DIVERSITY_HERFINDAHL: 0.9992430, COVERAGE_ITEM: 0.4670183, COVERAGE_ITEM_CORRECT: 0.0377209, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1475525, DIVERSITY_GINI: 0.1820784, SHANNON_ENTROPY: 12.1726759, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 741, 'shrink': 67, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.05848714220812502, 'tversky_alpha': 0.6263965713341072, 'tversky_beta': 0.025808738612035816} - results: ROC_AUC: 0.1303931, PRECISION: 0.0269353, PRECISION_RECALL_MIN_DEN: 0.1023901, RECALL: 0.0999282, MAP: 0.0433710, MRR: 0.0911988, NDCG: 0.0678803, F1: 0.0424321, HIT_RATE: 0.2693528, ARHR: 0.1017276, NOVELTY: 0.0054427, AVERAGE_POPULARITY: 0.0983920, DIVERSITY_MEAN_INTER_LIST: 0.9951062, DIVERSITY_HERFINDAHL: 0.9994918, COVERAGE_ITEM: 0.4866603, COVERAGE_ITEM_CORRECT: 0.0390067, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1423179, DIVERSITY_GINI: 0.2023818, SHANNON_ENTROPY: 12.4494038, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 324, 'shrink': 775, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.43159216990120675, 'tversky_alpha': 1.423997892954036, 'tversky_beta': 0.9821339432075864} - results: ROC_AUC: 0.1373795, PRECISION: 0.0284931, PRECISION_RECALL_MIN_DEN: 0.1065142, RECALL: 0.1038186, MAP: 0.0460624, MRR: 0.0974234, NDCG: 0.0715894, F1: 0.0447134, HIT_RATE: 0.2849312, ARHR: 0.1091965, NOVELTY: 0.0053757, AVERAGE_POPULARITY: 0.1171550, DIVERSITY_MEAN_INTER_LIST: 0.9922982, DIVERSITY_HERFINDAHL: 0.9992110, COVERAGE_ITEM: 0.4759731, COVERAGE_ITEM_CORRECT: 0.0378287, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1489619, DIVERSITY_GINI: 0.1872422, SHANNON_ENTROPY: 12.1873549, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 633, 'shrink': 209, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.036964087391142326, 'tversky_alpha': 1.6411779152673391, 'tversky_beta': 1.8934756066243645} - results: ROC_AUC: 0.1342385, PRECISION: 0.0275335, PRECISION_RECALL_MIN_DEN: 0.1050402, RECALL: 0.1025637, MAP: 0.0448108, MRR: 0.0939490, NDCG: 0.0698853, F1: 0.0434122, HIT_RATE: 0.2753349, ARHR: 0.1047745, NOVELTY: 0.0054252, AVERAGE_POPULARITY: 0.1025719, DIVERSITY_MEAN_INTER_LIST: 0.9948984, DIVERSITY_HERFINDAHL: 0.9994710, COVERAGE_ITEM: 0.4815014, COVERAGE_ITEM_CORRECT: 0.0394764, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457657, DIVERSITY_GINI: 0.1992035, SHANNON_ENTROPY: 12.4204064, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 616, 'shrink': 750, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.46750659009229334, 'tversky_alpha': 0.013468131344692717, 'tversky_beta': 1.6840681863489302} - results: ROC_AUC: 0.1355988, PRECISION: 0.0281019, PRECISION_RECALL_MIN_DEN: 0.1056565, RECALL: 0.1030201, MAP: 0.0454861, MRR: 0.0956339, NDCG: 0.0707765, F1: 0.0441582, HIT_RATE: 0.2810190, ARHR: 0.1072427, NOVELTY: 0.0053312, AVERAGE_POPULARITY: 0.1308406, DIVERSITY_MEAN_INTER_LIST: 0.9905832, DIVERSITY_HERFINDAHL: 0.9990396, COVERAGE_ITEM: 0.4416939, COVERAGE_ITEM_CORRECT: 0.0363195, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1465962, DIVERSITY_GINI: 0.1628226, SHANNON_ENTROPY: 11.9460976, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 428, 'shrink': 661, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.779141122902888, 'tversky_alpha': 1.087060243805166, 'tversky_beta': 1.0727342521532863} - results: ROC_AUC: 0.1379280, PRECISION: 0.0281854, PRECISION_RECALL_MIN_DEN: 0.1060319, RECALL: 0.1034138, MAP: 0.0462300, MRR: 0.0970233, NDCG: 0.0715428, F1: 0.0442971, HIT_RATE: 0.2818544, ARHR: 0.1086755, NOVELTY: 0.0053695, AVERAGE_POPULARITY: 0.1186255, DIVERSITY_MEAN_INTER_LIST: 0.9921684, DIVERSITY_HERFINDAHL: 0.9991980, COVERAGE_ITEM: 0.4679500, COVERAGE_ITEM_CORRECT: 0.0372743, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1475777, DIVERSITY_GINI: 0.1814979, SHANNON_ENTROPY: 12.1447901, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 759, 'shrink': 571, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.004696951067308831, 'tversky_alpha': 0.9524244125500043, 'tversky_beta': 0.40887665735008427} - results: ROC_AUC: 0.1349505, PRECISION: 0.0278630, PRECISION_RECALL_MIN_DEN: 0.1054175, RECALL: 0.1028648, MAP: 0.0453000, MRR: 0.0950218, NDCG: 0.0704906, F1: 0.0438479, HIT_RATE: 0.2786296, ARHR: 0.1062703, NOVELTY: 0.0053582, AVERAGE_POPULARITY: 0.1209483, DIVERSITY_MEAN_INTER_LIST: 0.9917906, DIVERSITY_HERFINDAHL: 0.9991603, COVERAGE_ITEM: 0.4524119, COVERAGE_ITEM_CORRECT: 0.0366814, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1462187, DIVERSITY_GINI: 0.1702038, SHANNON_ENTROPY: 12.0478311, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 534, 'shrink': 360, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.7914962099368188, 'tversky_alpha': 0.9734743668507664, 'tversky_beta': 1.0099560183441696} - results: ROC_AUC: 0.1362597, PRECISION: 0.0280790, PRECISION_RECALL_MIN_DEN: 0.1060431, RECALL: 0.1034737, MAP: 0.0458330, MRR: 0.0960117, NDCG: 0.0711557, F1: 0.0441710, HIT_RATE: 0.2807903, ARHR: 0.1074456, NOVELTY: 0.0053794, AVERAGE_POPULARITY: 0.1148076, DIVERSITY_MEAN_INTER_LIST: 0.9929091, DIVERSITY_HERFINDAHL: 0.9992721, COVERAGE_ITEM: 0.4656785, COVERAGE_ITEM_CORRECT: 0.0377825, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1819361, SHANNON_ENTROPY: 12.1884278, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 484, 'shrink': 288, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.6718726664344342, 'tversky_alpha': 0.9308325374731654, 'tversky_beta': 1.6670524277832643} - results: ROC_AUC: 0.1369339, PRECISION: 0.0281438, PRECISION_RECALL_MIN_DEN: 0.1063215, RECALL: 0.1037534, MAP: 0.0459984, MRR: 0.0962431, NDCG: 0.0713665, F1: 0.0442769, HIT_RATE: 0.2814382, ARHR: 0.1077477, NOVELTY: 0.0053886, AVERAGE_POPULARITY: 0.1123870, DIVERSITY_MEAN_INTER_LIST: 0.9934746, DIVERSITY_HERFINDAHL: 0.9993286, COVERAGE_ITEM: 0.4710529, COVERAGE_ITEM_CORRECT: 0.0383908, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1477035, DIVERSITY_GINI: 0.1874969, SHANNON_ENTROPY: 12.2587005, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 521, 'shrink': 178, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.12103229902405158, 'tversky_alpha': 1.7484625918309658, 'tversky_beta': 0.6087013824786859} - results: ROC_AUC: 0.1324450, PRECISION: 0.0272161, PRECISION_RECALL_MIN_DEN: 0.1035495, RECALL: 0.1011429, MAP: 0.0439687, MRR: 0.0922576, NDCG: 0.0687668, F1: 0.0428905, HIT_RATE: 0.2721611, ARHR: 0.1029289, NOVELTY: 0.0054447, AVERAGE_POPULARITY: 0.0985705, DIVERSITY_MEAN_INTER_LIST: 0.9951799, DIVERSITY_HERFINDAHL: 0.9994991, COVERAGE_ITEM: 0.4932666, COVERAGE_ITEM_CORRECT: 0.0395072, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439285, DIVERSITY_GINI: 0.2074034, SHANNON_ENTROPY: 12.4845900, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 354, 'shrink': 593, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.6841243376386325, 'tversky_alpha': 0.7947226737659854, 'tversky_beta': 1.123393869151413} - results: ROC_AUC: 0.1372562, PRECISION: 0.0282581, PRECISION_RECALL_MIN_DEN: 0.1059264, RECALL: 0.1033019, MAP: 0.0460845, MRR: 0.0971009, NDCG: 0.0714349, F1: 0.0443760, HIT_RATE: 0.2825815, ARHR: 0.1087240, NOVELTY: 0.0053687, AVERAGE_POPULARITY: 0.1193841, DIVERSITY_MEAN_INTER_LIST: 0.9920593, DIVERSITY_HERFINDAHL: 0.9991871, COVERAGE_ITEM: 0.4713378, COVERAGE_ITEM_CORRECT: 0.0373436, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1479804, DIVERSITY_GINI: 0.1838994, SHANNON_ENTROPY: 12.1552148, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 53, 'shrink': 936, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8026196351101369, 'tversky_alpha': 1.6811727073948246, 'tversky_beta': 1.0580622646482647} - results: ROC_AUC: 0.1376198, PRECISION: 0.0287143, PRECISION_RECALL_MIN_DEN: 0.1061449, RECALL: 0.1033349, MAP: 0.0464710, MRR: 0.0982389, NDCG: 0.0718629, F1: 0.0449387, HIT_RATE: 0.2871433, ARHR: 0.1104764, NOVELTY: 0.0054076, AVERAGE_POPULARITY: 0.1122041, DIVERSITY_MEAN_INTER_LIST: 0.9926274, DIVERSITY_HERFINDAHL: 0.9992439, COVERAGE_ITEM: 0.5349682, COVERAGE_ITEM_CORRECT: 0.0387757, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1485592, DIVERSITY_GINI: 0.2250449, SHANNON_ENTROPY: 12.4023375, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 647, 'shrink': 145, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.7110266140953333, 'tversky_alpha': 1.6249732678719926, 'tversky_beta': 1.8499737861906096} - results: ROC_AUC: 0.1329676, PRECISION: 0.0271770, PRECISION_RECALL_MIN_DEN: 0.1039012, RECALL: 0.1014665, MAP: 0.0442945, MRR: 0.0925056, NDCG: 0.0690567, F1: 0.0428705, HIT_RATE: 0.2717700, ARHR: 0.1032666, NOVELTY: 0.0054457, AVERAGE_POPULARITY: 0.0981549, DIVERSITY_MEAN_INTER_LIST: 0.9954768, DIVERSITY_HERFINDAHL: 0.9995288, COVERAGE_ITEM: 0.4911646, COVERAGE_ITEM_CORRECT: 0.0399076, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1436265, DIVERSITY_GINI: 0.2080972, SHANNON_ENTROPY: 12.5133393, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 541, 'shrink': 167, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.8337859372475787, 'tversky_alpha': 1.6830253222814835, 'tversky_beta': 1.6319427277544722} - results: ROC_AUC: 0.1336090, PRECISION: 0.0274772, PRECISION_RECALL_MIN_DEN: 0.1046162, RECALL: 0.1021699, MAP: 0.0446687, MRR: 0.0931927, NDCG: 0.0696388, F1: 0.0433071, HIT_RATE: 0.2747725, ARHR: 0.1041093, NOVELTY: 0.0054421, AVERAGE_POPULARITY: 0.0991107, DIVERSITY_MEAN_INTER_LIST: 0.9953312, DIVERSITY_HERFINDAHL: 0.9995143, COVERAGE_ITEM: 0.4926121, COVERAGE_ITEM_CORRECT: 0.0399076, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1449604, DIVERSITY_GINI: 0.2082551, SHANNON_ENTROPY: 12.5029609, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 854, 'shrink': 563, 'similarity': 'tversky', 'normalize': True, 'icm_weight': 0.9965890865809255, 'tversky_alpha': 0.9624459902035161, 'tversky_beta': 1.4295258270468552} - results: ROC_AUC: 0.1344952, PRECISION: 0.0276923, PRECISION_RECALL_MIN_DEN: 0.1051856, RECALL: 0.1026886, MAP: 0.0453751, MRR: 0.0949995, NDCG: 0.0704786, F1: 0.0436203, HIT_RATE: 0.2769225, ARHR: 0.1060745, NOVELTY: 0.0053580, AVERAGE_POPULARITY: 0.1208458, DIVERSITY_MEAN_INTER_LIST: 0.9920812, DIVERSITY_HERFINDAHL: 0.9991893, COVERAGE_ITEM: 0.4486699, COVERAGE_ITEM_CORRECT: 0.0365967, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457909, DIVERSITY_GINI: 0.1688272, SHANNON_ENTROPY: 12.0547467, 
