SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 490, 'alpha': 1.9054690603285207, 'beta': 0.15925298997291784, 'normalize_similarity': True} - results: ROC_AUC: 0.0549739, PRECISION: 0.0108545, PRECISION_RECALL_MIN_DEN: 0.0497832, RECALL: 0.0491415, MAP: 0.0185103, MRR: 0.0345199, NDCG: 0.0298340, F1: 0.0177770, HIT_RATE: 0.1085451, ARHR: 0.0360147, NOVELTY: 0.0053028, AVERAGE_POPULARITY: 0.0397275, DIVERSITY_MEAN_INTER_LIST: 0.9922857, DIVERSITY_HERFINDAHL: 0.9992083, COVERAGE_ITEM: 0.4859211, COVERAGE_ITEM_CORRECT: 0.0167931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0614823, DIVERSITY_GINI: 0.2384720, SHANNON_ENTROPY: 12.6505503, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 752, 'alpha': 0.8480294008645581, 'beta': 1.188552528131287, 'normalize_similarity': True} - results: ROC_AUC: 0.0359612, PRECISION: 0.0069149, PRECISION_RECALL_MIN_DEN: 0.0296376, RECALL: 0.0291319, MAP: 0.0121181, MRR: 0.0237950, NDCG: 0.0189384, F1: 0.0111765, HIT_RATE: 0.0691491, ARHR: 0.0252599, NOVELTY: 0.0058374, AVERAGE_POPULARITY: 0.0087930, DIVERSITY_MEAN_INTER_LIST: 0.9929503, DIVERSITY_HERFINDAHL: 0.9992747, COVERAGE_ITEM: 0.5187603, COVERAGE_ITEM_CORRECT: 0.0126737, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0375739, DIVERSITY_GINI: 0.2801034, SHANNON_ENTROPY: 12.9108013, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 384, 'alpha': 0.49030017488510824, 'beta': 1.850836209345745, 'normalize_similarity': False} - results: ROC_AUC: 0.0330833, PRECISION: 0.0060169, PRECISION_RECALL_MIN_DEN: 0.0242275, RECALL: 0.0236793, MAP: 0.0104716, MRR: 0.0222469, NDCG: 0.0161872, F1: 0.0095935, HIT_RATE: 0.0601689, ARHR: 0.0238067, NOVELTY: 0.0059808, AVERAGE_POPULARITY: 0.0064237, DIVERSITY_MEAN_INTER_LIST: 0.9925386, DIVERSITY_HERFINDAHL: 0.9992336, COVERAGE_ITEM: 0.3890125, COVERAGE_ITEM_CORRECT: 0.0110799, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0323896, DIVERSITY_GINI: 0.1946530, SHANNON_ENTROPY: 12.4524022, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 556, 'alpha': 1.1309719160637395, 'beta': 1.9376818778529543, 'normalize_similarity': True} - results: ROC_AUC: 0.0319249, PRECISION: 0.0060040, PRECISION_RECALL_MIN_DEN: 0.0266493, RECALL: 0.0262447, MAP: 0.0108722, MRR: 0.0209262, NDCG: 0.0169140, F1: 0.0097713, HIT_RATE: 0.0600396, ARHR: 0.0220382, NOVELTY: 0.0059005, AVERAGE_POPULARITY: 0.0076178, DIVERSITY_MEAN_INTER_LIST: 0.9926046, DIVERSITY_HERFINDAHL: 0.9992402, COVERAGE_ITEM: 0.4604735, COVERAGE_ITEM_CORRECT: 0.0110106, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0331697, DIVERSITY_GINI: 0.2258991, SHANNON_ENTROPY: 12.6326740, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 45, 'alpha': 1.9294124048122407, 'beta': 1.9736331950364447, 'normalize_similarity': False} - results: ROC_AUC: 0.0323373, PRECISION: 0.0060320, PRECISION_RECALL_MIN_DEN: 0.0285045, RECALL: 0.0282695, MAP: 0.0114864, MRR: 0.0207150, NDCG: 0.0178615, F1: 0.0099411, HIT_RATE: 0.0603200, ARHR: 0.0216236, NOVELTY: 0.0058055, AVERAGE_POPULARITY: 0.0092539, DIVERSITY_MEAN_INTER_LIST: 0.9927137, DIVERSITY_HERFINDAHL: 0.9992511, COVERAGE_ITEM: 0.5178672, COVERAGE_ITEM_CORRECT: 0.0110645, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0340758, DIVERSITY_GINI: 0.2867955, SHANNON_ENTROPY: 12.9305232, 
SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 407, 'alpha': 0.6011360679626326, 'beta': 0.3001884470423311, 'normalize_similarity': False} - results: ROC_AUC: 0.0859286, PRECISION: 0.0174735, PRECISION_RECALL_MIN_DEN: 0.0650590, RECALL: 0.0632821, MAP: 0.0267549, MRR: 0.0579444, NDCG: 0.0425602, F1: 0.0273848, HIT_RATE: 0.1747349, ARHR: 0.0633970, NOVELTY: 0.0053828, AVERAGE_POPULARITY: 0.0372407, DIVERSITY_MEAN_INTER_LIST: 0.9923141, DIVERSITY_HERFINDAHL: 0.9992111, COVERAGE_ITEM: 0.5766930, COVERAGE_ITEM_CORRECT: 0.0252320, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0892916, DIVERSITY_GINI: 0.3114075, SHANNON_ENTROPY: 12.9292049, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 738, 'alpha': 0.20682120323290382, 'beta': 1.606568314970085, 'normalize_similarity': True} - results: ROC_AUC: 0.0336661, PRECISION: 0.0062899, PRECISION_RECALL_MIN_DEN: 0.0256913, RECALL: 0.0251835, MAP: 0.0110364, MRR: 0.0225126, NDCG: 0.0170737, F1: 0.0100641, HIT_RATE: 0.0628993, ARHR: 0.0240162, NOVELTY: 0.0059208, AVERAGE_POPULARITY: 0.0073944, DIVERSITY_MEAN_INTER_LIST: 0.9926825, DIVERSITY_HERFINDAHL: 0.9992480, COVERAGE_ITEM: 0.4700905, COVERAGE_ITEM_CORRECT: 0.0115958, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0337989, DIVERSITY_GINI: 0.2324849, SHANNON_ENTROPY: 12.6715019, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 591, 'alpha': 0.7121172777223949, 'beta': 1.5772643007494374, 'normalize_similarity': False} - results: ROC_AUC: 0.0337588, PRECISION: 0.0063632, PRECISION_RECALL_MIN_DEN: 0.0265675, RECALL: 0.0259882, MAP: 0.0106858, MRR: 0.0219786, NDCG: 0.0168759, F1: 0.0102223, HIT_RATE: 0.0636324, ARHR: 0.0233920, NOVELTY: 0.0059415, AVERAGE_POPULARITY: 0.0069545, DIVERSITY_MEAN_INTER_LIST: 0.9927021, DIVERSITY_HERFINDAHL: 0.9992499, COVERAGE_ITEM: 0.4443580, COVERAGE_ITEM_CORRECT: 0.0116882, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0347553, DIVERSITY_GINI: 0.2237933, SHANNON_ENTROPY: 12.6329608, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 998, 'alpha': 0.08402884032788106, 'beta': 0.29460633392672336, 'normalize_similarity': True} - results: ROC_AUC: 0.0685053, PRECISION: 0.0137453, PRECISION_RECALL_MIN_DEN: 0.0508433, RECALL: 0.0493587, MAP: 0.0216093, MRR: 0.0470169, NDCG: 0.0338516, F1: 0.0215013, HIT_RATE: 0.1374526, ARHR: 0.0512879, NOVELTY: 0.0054686, AVERAGE_POPULARITY: 0.0302302, DIVERSITY_MEAN_INTER_LIST: 0.9928492, DIVERSITY_HERFINDAHL: 0.9992646, COVERAGE_ITEM: 0.6067449, COVERAGE_ITEM_CORRECT: 0.0218672, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0707437, DIVERSITY_GINI: 0.3392064, SHANNON_ENTROPY: 13.0927363, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 438, 'alpha': 1.5521226033775277, 'beta': 0.7017939123488698, 'normalize_similarity': False} - results: ROC_AUC: 0.0389620, PRECISION: 0.0074736, PRECISION_RECALL_MIN_DEN: 0.0348704, RECALL: 0.0345443, MAP: 0.0139948, MRR: 0.0250224, NDCG: 0.0217832, F1: 0.0122861, HIT_RATE: 0.0747365, ARHR: 0.0262253, NOVELTY: 0.0056170, AVERAGE_POPULARITY: 0.0156086, DIVERSITY_MEAN_INTER_LIST: 0.9931623, DIVERSITY_HERFINDAHL: 0.9992959, COVERAGE_ITEM: 0.5614244, COVERAGE_ITEM_CORRECT: 0.0136362, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0416761, DIVERSITY_GINI: 0.3327305, SHANNON_ENTROPY: 13.1207495, 
SearchBayesianSkopt-CV: New best config found. Config 20: {'topK': 121, 'alpha': 0.20195468746532336, 'beta': 0.004377103282444673, 'normalize_similarity': False} - results: ROC_AUC: 0.1051750, PRECISION: 0.0203189, PRECISION_RECALL_MIN_DEN: 0.0792620, RECALL: 0.0775905, MAP: 0.0345242, MRR: 0.0731072, NDCG: 0.0536098, F1: 0.0322009, HIT_RATE: 0.2031894, ARHR: 0.0793989, NOVELTY: 0.0047542, AVERAGE_POPULARITY: 0.1156600, DIVERSITY_MEAN_INTER_LIST: 0.9782753, DIVERSITY_HERFINDAHL: 0.9978075, COVERAGE_ITEM: 0.3974668, COVERAGE_ITEM_CORRECT: 0.0210741, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1050208, DIVERSITY_GINI: 0.1221575, SHANNON_ENTROPY: 11.0805924, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 14, 'alpha': 0.05326247945579411, 'beta': 0.002763375012395875, 'normalize_similarity': True} - results: ROC_AUC: 0.0748523, PRECISION: 0.0130223, PRECISION_RECALL_MIN_DEN: 0.0518664, RECALL: 0.0507766, MAP: 0.0244271, MRR: 0.0520050, NDCG: 0.0368073, F1: 0.0207274, HIT_RATE: 0.1302227, ARHR: 0.0548984, NOVELTY: 0.0051434, AVERAGE_POPULARITY: 0.0392824, DIVERSITY_MEAN_INTER_LIST: 0.9824309, DIVERSITY_HERFINDAHL: 0.9982230, COVERAGE_ITEM: 0.5026987, COVERAGE_ITEM_CORRECT: 0.0211434, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0714483, DIVERSITY_GINI: 0.2191446, SHANNON_ENTROPY: 12.2512915, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 816, 'alpha': 1.8394797979356179, 'beta': 0.009683959950719469, 'normalize_similarity': False} - results: ROC_AUC: 0.0556676, PRECISION: 0.0106422, PRECISION_RECALL_MIN_DEN: 0.0501331, RECALL: 0.0496541, MAP: 0.0198904, MRR: 0.0365056, NDCG: 0.0311712, F1: 0.0175223, HIT_RATE: 0.1064221, ARHR: 0.0379023, NOVELTY: 0.0052583, AVERAGE_POPULARITY: 0.0447057, DIVERSITY_MEAN_INTER_LIST: 0.9921584, DIVERSITY_HERFINDAHL: 0.9991956, COVERAGE_ITEM: 0.5131088, COVERAGE_ITEM_CORRECT: 0.0168624, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0607022, DIVERSITY_GINI: 0.2563437, SHANNON_ENTROPY: 12.7075713, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 33, 'alpha': 0.020249275760239275, 'beta': 0.024975911310118233, 'normalize_similarity': False} - results: ROC_AUC: 0.0928062, PRECISION: 0.0175730, PRECISION_RECALL_MIN_DEN: 0.0688699, RECALL: 0.0674237, MAP: 0.0301799, MRR: 0.0637355, NDCG: 0.0467782, F1: 0.0278731, HIT_RATE: 0.1757300, ARHR: 0.0690637, NOVELTY: 0.0048577, AVERAGE_POPULARITY: 0.1044079, DIVERSITY_MEAN_INTER_LIST: 0.9803667, DIVERSITY_HERFINDAHL: 0.9980166, COVERAGE_ITEM: 0.4319846, COVERAGE_ITEM_CORRECT: 0.0179865, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0914559, DIVERSITY_GINI: 0.1448106, SHANNON_ENTROPY: 11.3238909, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 867, 'alpha': 0.08461564836706105, 'beta': 0.002389305208263526, 'normalize_similarity': False} - results: ROC_AUC: 0.1012152, PRECISION: 0.0193129, PRECISION_RECALL_MIN_DEN: 0.0758570, RECALL: 0.0742936, MAP: 0.0328233, MRR: 0.0704301, NDCG: 0.0512088, F1: 0.0306526, HIT_RATE: 0.1931286, ARHR: 0.0761631, NOVELTY: 0.0046441, AVERAGE_POPULARITY: 0.1368410, DIVERSITY_MEAN_INTER_LIST: 0.9702278, DIVERSITY_HERFINDAHL: 0.9970030, COVERAGE_ITEM: 0.3579057, COVERAGE_ITEM_CORRECT: 0.0180558, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1005914, DIVERSITY_GINI: 0.0964014, SHANNON_ENTROPY: 10.5816281, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 914, 'alpha': 0.020566136326970467, 'beta': 0.02275719471369531, 'normalize_similarity': False} - results: ROC_AUC: 0.0982331, PRECISION: 0.0187530, PRECISION_RECALL_MIN_DEN: 0.0731610, RECALL: 0.0716236, MAP: 0.0317403, MRR: 0.0681963, NDCG: 0.0494841, F1: 0.0297204, HIT_RATE: 0.1875300, ARHR: 0.0737547, NOVELTY: 0.0047312, AVERAGE_POPULARITY: 0.1270276, DIVERSITY_MEAN_INTER_LIST: 0.9729872, DIVERSITY_HERFINDAHL: 0.9972788, COVERAGE_ITEM: 0.3960423, COVERAGE_ITEM_CORRECT: 0.0179557, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0975462, DIVERSITY_GINI: 0.1173198, SHANNON_ENTROPY: 10.8532312, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 5, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0750016, PRECISION: 0.0132632, PRECISION_RECALL_MIN_DEN: 0.0497177, RECALL: 0.0484973, MAP: 0.0233705, MRR: 0.0513073, NDCG: 0.0355829, F1: 0.0208222, HIT_RATE: 0.1326322, ARHR: 0.0546483, NOVELTY: 0.0047664, AVERAGE_POPULARITY: 0.0755853, DIVERSITY_MEAN_INTER_LIST: 0.9254450, DIVERSITY_HERFINDAHL: 0.9925256, COVERAGE_ITEM: 0.3506603, COVERAGE_ITEM_CORRECT: 0.0140905, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0711463, DIVERSITY_GINI: 0.0990995, SHANNON_ENTROPY: 10.2721266, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 844, 'alpha': 1.9602438319581459, 'beta': 0.013725983937038281, 'normalize_similarity': False} - results: ROC_AUC: 0.0542866, PRECISION: 0.0103436, PRECISION_RECALL_MIN_DEN: 0.0491575, RECALL: 0.0487150, MAP: 0.0194817, MRR: 0.0356691, NDCG: 0.0305248, F1: 0.0170580, HIT_RATE: 0.1034357, ARHR: 0.0369975, NOVELTY: 0.0052705, AVERAGE_POPULARITY: 0.0434042, DIVERSITY_MEAN_INTER_LIST: 0.9922471, DIVERSITY_HERFINDAHL: 0.9992044, COVERAGE_ITEM: 0.5151723, COVERAGE_ITEM_CORRECT: 0.0165698, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0591670, DIVERSITY_GINI: 0.2594971, SHANNON_ENTROPY: 12.7312588, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 1000, 'alpha': 0.0, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.0920721, PRECISION: 0.0178484, PRECISION_RECALL_MIN_DEN: 0.0685809, RECALL: 0.0670629, MAP: 0.0289220, MRR: 0.0639551, NDCG: 0.0458716, F1: 0.0281905, HIT_RATE: 0.1784838, ARHR: 0.0692441, NOVELTY: 0.0045980, AVERAGE_POPULARITY: 0.1413235, DIVERSITY_MEAN_INTER_LIST: 0.9678303, DIVERSITY_HERFINDAHL: 0.9967632, COVERAGE_ITEM: 0.3138479, COVERAGE_ITEM_CORRECT: 0.0158460, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0925884, DIVERSITY_GINI: 0.0799464, SHANNON_ENTROPY: 10.3874300, 
