SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 274, 'alpha': 1.7200123773560023, 'normalize_similarity': False} - results: ROC_AUC: 0.0546540, PRECISION: 0.0105235, PRECISION_RECALL_MIN_DEN: 0.0487686, RECALL: 0.0482751, MAP: 0.0187878, MRR: 0.0354529, NDCG: 0.0299846, F1: 0.0172732, HIT_RATE: 0.1052347, ARHR: 0.0368508, NOVELTY: 0.0051888, AVERAGE_POPULARITY: 0.0457019, DIVERSITY_MEAN_INTER_LIST: 0.9920761, DIVERSITY_HERFINDAHL: 0.9991873, COVERAGE_ITEM: 0.4717382, COVERAGE_ITEM_CORRECT: 0.0170934, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0599975, DIVERSITY_GINI: 0.2263910, SHANNON_ENTROPY: 12.5583464, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 282, 'alpha': 0.987787825826036, 'normalize_similarity': False} - results: ROC_AUC: 0.0769653, PRECISION: 0.0154692, PRECISION_RECALL_MIN_DEN: 0.0627311, RECALL: 0.0613830, MAP: 0.0250252, MRR: 0.0516020, NDCG: 0.0398839, F1: 0.0247084, HIT_RATE: 0.1546925, ARHR: 0.0555258, NOVELTY: 0.0051051, AVERAGE_POPULARITY: 0.0553098, DIVERSITY_MEAN_INTER_LIST: 0.9911005, DIVERSITY_HERFINDAHL: 0.9990898, COVERAGE_ITEM: 0.4620597, COVERAGE_ITEM_CORRECT: 0.0217594, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0818925, DIVERSITY_GINI: 0.2060497, SHANNON_ENTROPY: 12.3521696, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 804, 'alpha': 1.8268542037221012, 'normalize_similarity': False} - results: ROC_AUC: 0.0556677, PRECISION: 0.0106995, PRECISION_RECALL_MIN_DEN: 0.0507580, RECALL: 0.0502802, MAP: 0.0193535, MRR: 0.0361138, NDCG: 0.0309058, F1: 0.0176389, HIT_RATE: 0.1069946, ARHR: 0.0375140, NOVELTY: 0.0051638, AVERAGE_POPULARITY: 0.0513091, DIVERSITY_MEAN_INTER_LIST: 0.9916836, DIVERSITY_HERFINDAHL: 0.9991481, COVERAGE_ITEM: 0.4657555, COVERAGE_ITEM_CORRECT: 0.0167392, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0609790, DIVERSITY_GINI: 0.2203907, SHANNON_ENTROPY: 12.4946992, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 200, 'alpha': 1.3531531883611045, 'normalize_similarity': True} - results: ROC_AUC: 0.0694489, PRECISION: 0.0134868, PRECISION_RECALL_MIN_DEN: 0.0588359, RECALL: 0.0579230, MAP: 0.0227183, MRR: 0.0449930, NDCG: 0.0364592, F1: 0.0218750, HIT_RATE: 0.1348677, ARHR: 0.0474659, NOVELTY: 0.0051225, AVERAGE_POPULARITY: 0.0548178, DIVERSITY_MEAN_INTER_LIST: 0.9911781, DIVERSITY_HERFINDAHL: 0.9990976, COVERAGE_ITEM: 0.4456670, COVERAGE_ITEM_CORRECT: 0.0191338, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0743425, DIVERSITY_GINI: 0.2004805, SHANNON_ENTROPY: 12.3394410, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 644, 'alpha': 1.3144569467849, 'normalize_similarity': False} - results: ROC_AUC: 0.0664820, PRECISION: 0.0130708, PRECISION_RECALL_MIN_DEN: 0.0573177, RECALL: 0.0564430, MAP: 0.0221224, MRR: 0.0434616, NDCG: 0.0354634, F1: 0.0212215, HIT_RATE: 0.1307081, ARHR: 0.0458291, NOVELTY: 0.0051283, AVERAGE_POPULARITY: 0.0559840, DIVERSITY_MEAN_INTER_LIST: 0.9912040, DIVERSITY_HERFINDAHL: 0.9991001, COVERAGE_ITEM: 0.4628758, COVERAGE_ITEM_CORRECT: 0.0188643, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0721278, DIVERSITY_GINI: 0.2125319, SHANNON_ENTROPY: 12.4070566, 
SearchBayesianSkopt-CV: New best config found. Config 15: {'topK': 136, 'alpha': 0.2985744045112651, 'normalize_similarity': False} - results: ROC_AUC: 0.1070478, PRECISION: 0.0211158, PRECISION_RECALL_MIN_DEN: 0.0824310, RECALL: 0.0807154, MAP: 0.0350115, MRR: 0.0742991, NDCG: 0.0549494, F1: 0.0334700, HIT_RATE: 0.2111584, ARHR: 0.0811064, NOVELTY: 0.0047585, AVERAGE_POPULARITY: 0.1091758, DIVERSITY_MEAN_INTER_LIST: 0.9805604, DIVERSITY_HERFINDAHL: 0.9980360, COVERAGE_ITEM: 0.3805582, COVERAGE_ITEM_CORRECT: 0.0225294, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1079653, DIVERSITY_GINI: 0.1189928, SHANNON_ENTROPY: 11.1641900, 
SearchBayesianSkopt-CV: New best config found. Config 16: {'topK': 292, 'alpha': 0.4648437286208177, 'normalize_similarity': False} - results: ROC_AUC: 0.1095790, PRECISION: 0.0215251, PRECISION_RECALL_MIN_DEN: 0.0833236, RECALL: 0.0815140, MAP: 0.0354232, MRR: 0.0761103, NDCG: 0.0556984, F1: 0.0340554, HIT_RATE: 0.2152513, ARHR: 0.0831445, NOVELTY: 0.0048222, AVERAGE_POPULARITY: 0.0973129, DIVERSITY_MEAN_INTER_LIST: 0.9838751, DIVERSITY_HERFINDAHL: 0.9983674, COVERAGE_ITEM: 0.4006853, COVERAGE_ITEM_CORRECT: 0.0239076, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1099283, DIVERSITY_GINI: 0.1341899, SHANNON_ENTROPY: 11.4190872, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 819, 'alpha': 0.929503491750461, 'normalize_similarity': False} - results: ROC_AUC: 0.0878112, PRECISION: 0.0177638, PRECISION_RECALL_MIN_DEN: 0.0699814, RECALL: 0.0683136, MAP: 0.0281114, MRR: 0.0596646, NDCG: 0.0448539, F1: 0.0281938, HIT_RATE: 0.1776375, ARHR: 0.0648681, NOVELTY: 0.0050145, AVERAGE_POPULARITY: 0.0731673, DIVERSITY_MEAN_INTER_LIST: 0.9888501, DIVERSITY_HERFINDAHL: 0.9988648, COVERAGE_ITEM: 0.4479307, COVERAGE_ITEM_CORRECT: 0.0218133, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0920347, DIVERSITY_GINI: 0.1863139, SHANNON_ENTROPY: 12.0781871, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 987, 'alpha': 0.8265396699277281, 'normalize_similarity': True} - results: ROC_AUC: 0.0874104, PRECISION: 0.0176899, PRECISION_RECALL_MIN_DEN: 0.0694962, RECALL: 0.0678193, MAP: 0.0279954, MRR: 0.0594218, NDCG: 0.0446409, F1: 0.0280582, HIT_RATE: 0.1768994, ARHR: 0.0646018, NOVELTY: 0.0050095, AVERAGE_POPULARITY: 0.0747371, DIVERSITY_MEAN_INTER_LIST: 0.9886353, DIVERSITY_HERFINDAHL: 0.9988433, COVERAGE_ITEM: 0.4495476, COVERAGE_ITEM_CORRECT: 0.0216747, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0919592, DIVERSITY_GINI: 0.1860891, SHANNON_ENTROPY: 12.0637761, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 587, 'alpha': 1.9646615704350145, 'normalize_similarity': False} - results: ROC_AUC: 0.0543198, PRECISION: 0.0104420, PRECISION_RECALL_MIN_DEN: 0.0495031, RECALL: 0.0490575, MAP: 0.0188993, MRR: 0.0353248, NDCG: 0.0301771, F1: 0.0172127, HIT_RATE: 0.1044202, ARHR: 0.0366446, NOVELTY: 0.0051750, AVERAGE_POPULARITY: 0.0492264, DIVERSITY_MEAN_INTER_LIST: 0.9918533, DIVERSITY_HERFINDAHL: 0.9991651, COVERAGE_ITEM: 0.4676112, COVERAGE_ITEM_CORRECT: 0.0165775, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0596200, DIVERSITY_GINI: 0.2230606, SHANNON_ENTROPY: 12.5229650, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 883, 'alpha': 1.6043278338641147, 'normalize_similarity': False} - results: ROC_AUC: 0.0592033, PRECISION: 0.0115457, PRECISION_RECALL_MIN_DEN: 0.0531818, RECALL: 0.0525788, MAP: 0.0203143, MRR: 0.0384751, NDCG: 0.0325196, F1: 0.0189282, HIT_RATE: 0.1154573, ARHR: 0.0401364, NOVELTY: 0.0051501, AVERAGE_POPULARITY: 0.0536565, DIVERSITY_MEAN_INTER_LIST: 0.9914651, DIVERSITY_HERFINDAHL: 0.9991263, COVERAGE_ITEM: 0.4635380, COVERAGE_ITEM_CORRECT: 0.0175861, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0652322, DIVERSITY_GINI: 0.2172876, SHANNON_ENTROPY: 12.4594433, 
SearchBayesianSkopt-CV: New best config found. Config 21: {'topK': 344, 'alpha': 0.4233795425391197, 'normalize_similarity': False} - results: ROC_AUC: 0.1101908, PRECISION: 0.0218437, PRECISION_RECALL_MIN_DEN: 0.0844036, RECALL: 0.0825931, MAP: 0.0357172, MRR: 0.0765690, NDCG: 0.0562647, F1: 0.0345478, HIT_RATE: 0.2184369, ARHR: 0.0836519, NOVELTY: 0.0047823, AVERAGE_POPULARITY: 0.1042385, DIVERSITY_MEAN_INTER_LIST: 0.9821741, DIVERSITY_HERFINDAHL: 0.9981973, COVERAGE_ITEM: 0.3881886, COVERAGE_ITEM_CORRECT: 0.0236227, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114131, DIVERSITY_GINI: 0.1243513, SHANNON_ENTROPY: 11.2617026, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 909, 'alpha': 0.28212219694117097, 'normalize_similarity': False} - results: ROC_AUC: 0.1071713, PRECISION: 0.0208625, PRECISION_RECALL_MIN_DEN: 0.0816605, RECALL: 0.0799600, MAP: 0.0346682, MRR: 0.0743001, NDCG: 0.0544804, F1: 0.0330894, HIT_RATE: 0.2086247, ARHR: 0.0808665, NOVELTY: 0.0046469, AVERAGE_POPULARITY: 0.1298639, DIVERSITY_MEAN_INTER_LIST: 0.9739422, DIVERSITY_HERFINDAHL: 0.9973743, COVERAGE_ITEM: 0.3412204, COVERAGE_ITEM_CORRECT: 0.0205890, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1074871, DIVERSITY_GINI: 0.0933116, SHANNON_ENTROPY: 10.6734979, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 453, 'alpha': 0.7415289945537792, 'normalize_similarity': True} - results: ROC_AUC: 0.0871391, PRECISION: 0.0177261, PRECISION_RECALL_MIN_DEN: 0.0695434, RECALL: 0.0678598, MAP: 0.0280057, MRR: 0.0594376, NDCG: 0.0446373, F1: 0.0281074, HIT_RATE: 0.1772612, ARHR: 0.0646503, NOVELTY: 0.0050284, AVERAGE_POPULARITY: 0.0677928, DIVERSITY_MEAN_INTER_LIST: 0.9896107, DIVERSITY_HERFINDAHL: 0.9989408, COVERAGE_ITEM: 0.4564235, COVERAGE_ITEM_CORRECT: 0.0226833, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0921354, DIVERSITY_GINI: 0.1903107, SHANNON_ENTROPY: 12.1385045, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 813, 'alpha': 1.2628192424002571, 'normalize_similarity': True} - results: ROC_AUC: 0.0763411, PRECISION: 0.0151795, PRECISION_RECALL_MIN_DEN: 0.0639348, RECALL: 0.0626919, MAP: 0.0247033, MRR: 0.0499419, NDCG: 0.0396936, F1: 0.0244355, HIT_RATE: 0.1517946, ARHR: 0.0534218, NOVELTY: 0.0050702, AVERAGE_POPULARITY: 0.0664526, DIVERSITY_MEAN_INTER_LIST: 0.9899123, DIVERSITY_HERFINDAHL: 0.9989710, COVERAGE_ITEM: 0.4426179, COVERAGE_ITEM_CORRECT: 0.0196343, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0816157, DIVERSITY_GINI: 0.1930681, SHANNON_ENTROPY: 12.2089573, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 679, 'alpha': 0.5817664221804434, 'normalize_similarity': True} - results: ROC_AUC: 0.0907556, PRECISION: 0.0185318, PRECISION_RECALL_MIN_DEN: 0.0708331, RECALL: 0.0689907, MAP: 0.0291358, MRR: 0.0622521, NDCG: 0.0461721, F1: 0.0292153, HIT_RATE: 0.1853175, ARHR: 0.0681273, NOVELTY: 0.0049904, AVERAGE_POPULARITY: 0.0741046, DIVERSITY_MEAN_INTER_LIST: 0.9886684, DIVERSITY_HERFINDAHL: 0.9988466, COVERAGE_ITEM: 0.4522117, COVERAGE_ITEM_CORRECT: 0.0229451, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0947779, DIVERSITY_GINI: 0.1825460, SHANNON_ENTROPY: 12.0269705, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 561, 'alpha': 1.2018389476068907, 'normalize_similarity': False} - results: ROC_AUC: 0.0706506, PRECISION: 0.0139907, PRECISION_RECALL_MIN_DEN: 0.0596404, RECALL: 0.0585670, MAP: 0.0232704, MRR: 0.0467304, NDCG: 0.0372200, F1: 0.0225817, HIT_RATE: 0.1399070, ARHR: 0.0496509, NOVELTY: 0.0051144, AVERAGE_POPULARITY: 0.0572999, DIVERSITY_MEAN_INTER_LIST: 0.9910330, DIVERSITY_HERFINDAHL: 0.9990830, COVERAGE_ITEM: 0.4617440, COVERAGE_ITEM_CORRECT: 0.0197729, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0759532, DIVERSITY_GINI: 0.2093547, SHANNON_ENTROPY: 12.3719737, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 585, 'alpha': 0.10479378792459773, 'normalize_similarity': False} - results: ROC_AUC: 0.1008857, PRECISION: 0.0194479, PRECISION_RECALL_MIN_DEN: 0.0759020, RECALL: 0.0743006, MAP: 0.0323887, MRR: 0.0699994, NDCG: 0.0509254, F1: 0.0308237, HIT_RATE: 0.1944789, ARHR: 0.0758396, NOVELTY: 0.0046214, AVERAGE_POPULARITY: 0.1347698, DIVERSITY_MEAN_INTER_LIST: 0.9717524, DIVERSITY_HERFINDAHL: 0.9971554, COVERAGE_ITEM: 0.3279230, COVERAGE_ITEM_CORRECT: 0.0184254, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1006921, DIVERSITY_GINI: 0.0866265, SHANNON_ENTROPY: 10.5543282, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 537, 'alpha': 0.5526791682656834, 'normalize_similarity': False} - results: ROC_AUC: 0.1081218, PRECISION: 0.0216752, PRECISION_RECALL_MIN_DEN: 0.0828207, RECALL: 0.0809496, MAP: 0.0350884, MRR: 0.0752524, NDCG: 0.0552375, F1: 0.0341933, HIT_RATE: 0.2167516, ARHR: 0.0825083, NOVELTY: 0.0048337, AVERAGE_POPULARITY: 0.0976992, DIVERSITY_MEAN_INTER_LIST: 0.9838225, DIVERSITY_HERFINDAHL: 0.9983621, COVERAGE_ITEM: 0.4079769, COVERAGE_ITEM_CORRECT: 0.0235149, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1098024, DIVERSITY_GINI: 0.1394722, SHANNON_ENTROPY: 11.4562493, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 890, 'alpha': 0.8295440878970795, 'normalize_similarity': False} - results: ROC_AUC: 0.0949714, PRECISION: 0.0192063, PRECISION_RECALL_MIN_DEN: 0.0739170, RECALL: 0.0721144, MAP: 0.0299000, MRR: 0.0647248, NDCG: 0.0478718, F1: 0.0303325, HIT_RATE: 0.1920627, ARHR: 0.0706801, NOVELTY: 0.0049630, AVERAGE_POPULARITY: 0.0813304, DIVERSITY_MEAN_INTER_LIST: 0.9874009, DIVERSITY_HERFINDAHL: 0.9987199, COVERAGE_ITEM: 0.4395688, COVERAGE_ITEM_CORRECT: 0.0224062, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0986284, DIVERSITY_GINI: 0.1740770, SHANNON_ENTROPY: 11.9107250, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 1000, 'alpha': 0.34682769117195233, 'normalize_similarity': False} - results: ROC_AUC: 0.1090125, PRECISION: 0.0212132, PRECISION_RECALL_MIN_DEN: 0.0829758, RECALL: 0.0812552, MAP: 0.0351772, MRR: 0.0754501, NDCG: 0.0553383, F1: 0.0336406, HIT_RATE: 0.2121318, ARHR: 0.0821047, NOVELTY: 0.0046723, AVERAGE_POPULARITY: 0.1262780, DIVERSITY_MEAN_INTER_LIST: 0.9752386, DIVERSITY_HERFINDAHL: 0.9975039, COVERAGE_ITEM: 0.3536631, COVERAGE_ITEM_CORRECT: 0.0210972, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1090978, DIVERSITY_GINI: 0.1002909, SHANNON_ENTROPY: 10.7842911, 
SearchBayesianSkopt-CV: Config 31 is suboptimal. Config: {'topK': 961, 'alpha': 0.004082988153419232, 'normalize_similarity': True} - results: ROC_AUC: 0.0879628, PRECISION: 0.0174924, PRECISION_RECALL_MIN_DEN: 0.0653132, RECALL: 0.0636360, MAP: 0.0272854, MRR: 0.0608559, NDCG: 0.0434311, F1: 0.0274404, HIT_RATE: 0.1749244, ARHR: 0.0662778, NOVELTY: 0.0049257, AVERAGE_POPULARITY: 0.0791473, DIVERSITY_MEAN_INTER_LIST: 0.9876987, DIVERSITY_HERFINDAHL: 0.9987497, COVERAGE_ITEM: 0.4330472, COVERAGE_ITEM_CORRECT: 0.0220366, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0902731, DIVERSITY_GINI: 0.1625405, SHANNON_ENTROPY: 11.8323972, 
