SearchBayesianSkopt-CV: New best config found. Config 0: {'beta': 0.7264021416277086, 'topK': 784, 'l1_ratio': 0.6619933153159729, 'alpha': 0.249450119559034} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341,
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'beta': 0.5906534647625422, 'topK': 892, 'l1_ratio': 0.0009788036281999913, 'alpha': 0.9890844799406356} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'beta': 0.73728160769173, 'topK': 854, 'l1_ratio': 0.0004019672887280254, 'alpha': 0.7551291156453817} - results: ROC_AUC: 0.0042420, PRECISION: 0.0005183, PRECISION_RECALL_MIN_DEN: 0.0019452, RECALL: 0.0018722, MAP: 0.0015518, MRR: 0.0037571, NDCG: 0.0019614, F1: 0.0008011, HIT_RATE: 0.0051828, ARHR: 0.0038114, NOVELTY: 0.0045650, AVERAGE_POPULARITY: 0.0180932, DIVERSITY_MEAN_INTER_LIST: 0.3072620, DIVERSITY_HERFINDAHL: 0.9307199, COVERAGE_ITEM: 0.0042271, COVERAGE_ITEM_CORRECT: 0.0003388, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0031207, DIVERSITY_GINI: 0.0005652, SHANNON_ENTROPY: 4.1272094, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'beta': 0.08953877096999276, 'topK': 715, 'l1_ratio': 0.00010314794660507569, 'alpha': 0.7037609005463481} - results: ROC_AUC: 0.0034442, PRECISION: 0.0004826, PRECISION_RECALL_MIN_DEN: 0.0014247, RECALL: 0.0012897, MAP: 0.0009394, MRR: 0.0028051, NDCG: 0.0012610, F1: 0.0006935, HIT_RATE: 0.0048263, ARHR: 0.0028351, NOVELTY: 0.0045910, AVERAGE_POPULARITY: 0.0142158, DIVERSITY_MEAN_INTER_LIST: 0.3368437, DIVERSITY_HERFINDAHL: 0.9336775, COVERAGE_ITEM: 0.0083157, COVERAGE_ITEM_CORRECT: 0.0007546, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0028942, DIVERSITY_GINI: 0.0007019, SHANNON_ENTROPY: 4.3388390, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'beta': 0.9191111171611991, 'topK': 688, 'l1_ratio': 0.00946657739953762, 'alpha': 0.24653935362170484} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'beta': 0.2680182232133727, 'topK': 612, 'l1_ratio': 0.001342167214789616, 'alpha': 0.06743995943663665} - results: ROC_AUC: 0.0007498, PRECISION: 0.0001513, PRECISION_RECALL_MIN_DEN: 0.0005564, RECALL: 0.0005285, MAP: 0.0002137, MRR: 0.0004518, NDCG: 0.0003389, F1: 0.0002322, HIT_RATE: 0.0015135, ARHR: 0.0004518, NOVELTY: 0.0045724, AVERAGE_POPULARITY: 0.0139763, DIVERSITY_MEAN_INTER_LIST: 0.3008461, DIVERSITY_HERFINDAHL: 0.9300785, COVERAGE_ITEM: 0.0049894, COVERAGE_ITEM_CORRECT: 0.0002156, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0009312, DIVERSITY_GINI: 0.0005649, SHANNON_ENTROPY: 4.1093735, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'beta': 0.8735955432657029, 'topK': 173, 'l1_ratio': 0.0009526278885593428, 'alpha': 0.36101898627921014} - results: ROC_AUC: 0.0132236, PRECISION: 0.0015986, PRECISION_RECALL_MIN_DEN: 0.0052416, RECALL: 0.0049960, MAP: 0.0039539, MRR: 0.0107743, NDCG: 0.0052570, F1: 0.0024186, HIT_RATE: 0.0159861, ARHR: 0.0111715, NOVELTY: 0.0045437, AVERAGE_POPULARITY: 0.0268521, DIVERSITY_MEAN_INTER_LIST: 0.3334002, DIVERSITY_HERFINDAHL: 0.9333332, COVERAGE_ITEM: 0.0042810, COVERAGE_ITEM_CORRECT: 0.0006622, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0091607, DIVERSITY_GINI: 0.0006017, SHANNON_ENTROPY: 4.2346089, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'beta': 0.9237293571772428, 'topK': 792, 'l1_ratio': 0.002703476135146915, 'alpha': 0.28749200916901974} - results: ROC_AUC: 0.0010431, PRECISION: 0.0001798, PRECISION_RECALL_MIN_DEN: 0.0007296, RECALL: 0.0006966, MAP: 0.0003914, MRR: 0.0007782, NDCG: 0.0005281, F1: 0.0002828, HIT_RATE: 0.0017976, ARHR: 0.0007782, NOVELTY: 0.0045721, AVERAGE_POPULARITY: 0.0141991, DIVERSITY_MEAN_INTER_LIST: 0.2971998, DIVERSITY_HERFINDAHL: 0.9297139, COVERAGE_ITEM: 0.0041116, COVERAGE_ITEM_CORRECT: 0.0002156, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0011073, DIVERSITY_GINI: 0.0005524, SHANNON_ENTROPY: 4.0853091, 

SearchBayesianSkopt-CV: New best config found. Config 0: {'beta': 0.6358412849766253, 'topK': 784, 'l1_ratio': 0.6619933153159729, 'alpha': 0.249450119559034} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 1 is suboptimal. Config: {'beta': 0.6731068772483921, 'topK': 639, 'l1_ratio': 0.22766015409725862, 'alpha': 0.8103077667447894} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 2 is suboptimal. Config: {'beta': 0.24917789382403077, 'topK': 262, 'l1_ratio': 0.08552026107055669, 'alpha': 0.05516293260502355} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 3 is suboptimal. Config: {'beta': 0.6472829438755295, 'topK': 681, 'l1_ratio': 0.006342780199990566, 'alpha': 0.6529290891661932} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 4 is suboptimal. Config: {'beta': 0.24830523530118134, 'topK': 691, 'l1_ratio': 0.0004862915513295055, 'alpha': 0.676873746457743} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 

SearchBayesianSkopt-CV: New best config found. Config 5: {'beta': 0.33801740147866227, 'topK': 741, 'l1_ratio': 6.33752694784132e-05, 'alpha': 0.46971927754470644} - results: ROC_AUC: 0.0416608, PRECISION: 0.0070469, PRECISION_RECALL_MIN_DEN: 0.0222675, RECALL: 0.0213456, MAP: 0.0117558, MRR: 0.0298926, NDCG: 0.0176396, F1: 0.0105921, HIT_RATE: 0.0704687, ARHR: 0.0320395, NOVELTY: 0.0044673, AVERAGE_POPULARITY: 0.0698872, DIVERSITY_MEAN_INTER_LIST: 0.5547088, DIVERSITY_HERFINDAHL: 0.9554595, COVERAGE_ITEM: 0.0232608, COVERAGE_ITEM_CORRECT: 0.0039885, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0370706, DIVERSITY_GINI: 0.0019130, SHANNON_ENTROPY: 5.4714931, 
SearchBayesianSkopt-CV: Config 6 is suboptimal. Config: {'beta': 0.4934001450017147, 'topK': 584, 'l1_ratio': 0.003591873269444783, 'alpha': 0.5742685950758871} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 7 is suboptimal. Config: {'beta': 0.3329096395103581, 'topK': 21, 'l1_ratio': 0.0019160387265085969, 'alpha': 0.8212566211189691} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'beta': 0.41632263303525785, 'topK': 889, 'l1_ratio': 0.7049085032764854, 'alpha': 0.05586247541163998} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'beta': 0.6450256334430999, 'topK': 42, 'l1_ratio': 0.061854589713173064, 'alpha': 0.1985128434905203} - results: ROC_AUC: 0.0006855, PRECISION: 0.0001431, PRECISION_RECALL_MIN_DEN: 0.0005477, RECALL: 0.0005219, MAP: 0.0002096, MRR: 0.0004139, NDCG: 0.0003297, F1: 0.0002217, HIT_RATE: 0.0014310, ARHR: 0.0004139, NOVELTY: 0.0045725, AVERAGE_POPULARITY: 0.0139528, DIVERSITY_MEAN_INTER_LIST: 0.2969093, DIVERSITY_HERFINDAHL: 0.9296849, COVERAGE_ITEM: 0.0041193, COVERAGE_ITEM_CORRECT: 0.0002079, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0008808, DIVERSITY_GINI: 0.0005520, SHANNON_ENTROPY: 4.0838341, 
