
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 906, 'shrink': 682, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0100071, PRECISION: 0.0021668, PRECISION_RECALL_MIN_DEN: 0.0075907, RECALL: 0.0072596, MAP: 0.0021562, MRR: 0.0059267, NDCG: 0.0041434, F1: 0.0033350, HIT_RATE: 0.0216677, ARHR: 0.0060924, NOVELTY: 0.0053387, AVERAGE_POPULARITY: 0.0111409, DIVERSITY_MEAN_INTER_LIST: 0.9428481, DIVERSITY_HERFINDAHL: 0.9942682, COVERAGE_ITEM: 0.1258133, COVERAGE_ITEM_CORRECT: 0.0039577, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0147477, DIVERSITY_GINI: 0.0183359, SHANNON_ENTROPY: 8.7763235, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 746, 'shrink': 117, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0984669, PRECISION: 0.0213413, PRECISION_RECALL_MIN_DEN: 0.0791575, RECALL: 0.0768644, MAP: 0.0328657, MRR: 0.0679722, NDCG: 0.0514059, F1: 0.0334044, HIT_RATE: 0.2134134, ARHR: 0.0768946, NOVELTY: 0.0052766, AVERAGE_POPULARITY: 0.0181884, DIVERSITY_MEAN_INTER_LIST: 0.9970790, DIVERSITY_HERFINDAHL: 0.9996903, COVERAGE_ITEM: 0.5541636, COVERAGE_ITEM_CORRECT: 0.0411319, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1196678, DIVERSITY_GINI: 0.2432629, SHANNON_ENTROPY: 12.8164611, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 518, 'shrink': 804, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0993365, PRECISION: 0.0216279, PRECISION_RECALL_MIN_DEN: 0.0799524, RECALL: 0.0775359, MAP: 0.0330872, MRR: 0.0684286, NDCG: 0.0517710, F1: 0.0338191, HIT_RATE: 0.2162789, ARHR: 0.0776439, NOVELTY: 0.0052725, AVERAGE_POPULARITY: 0.0181744, DIVERSITY_MEAN_INTER_LIST: 0.9972260, DIVERSITY_HERFINDAHL: 0.9997050, COVERAGE_ITEM: 0.5596920, COVERAGE_ITEM_CORRECT: 0.0415861, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1208003, DIVERSITY_GINI: 0.2489248, SHANNON_ENTROPY: 12.8594918, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 853, 'shrink': 355, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0101252, PRECISION: 0.0021879, PRECISION_RECALL_MIN_DEN: 0.0075911, RECALL: 0.0072525, MAP: 0.0021718, MRR: 0.0060071, NDCG: 0.0041636, F1: 0.0033585, HIT_RATE: 0.0218792, ARHR: 0.0061902, NOVELTY: 0.0053376, AVERAGE_POPULARITY: 0.0111168, DIVERSITY_MEAN_INTER_LIST: 0.9447098, DIVERSITY_HERFINDAHL: 0.9944543, COVERAGE_ITEM: 0.1257671, COVERAGE_ITEM_CORRECT: 0.0040038, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0148484, DIVERSITY_GINI: 0.0185641, SHANNON_ENTROPY: 8.8109211, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 862, 'shrink': 187, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1043464, PRECISION: 0.0224366, PRECISION_RECALL_MIN_DEN: 0.0830158, RECALL: 0.0805984, MAP: 0.0351157, MRR: 0.0727618, NDCG: 0.0545086, F1: 0.0350996, HIT_RATE: 0.2243663, ARHR: 0.0823298, NOVELTY: 0.0052814, AVERAGE_POPULARITY: 0.0182823, DIVERSITY_MEAN_INTER_LIST: 0.9976213, DIVERSITY_HERFINDAHL: 0.9997445, COVERAGE_ITEM: 0.5889201, COVERAGE_ITEM_CORRECT: 0.0431954, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1255568, DIVERSITY_GINI: 0.2756929, SHANNON_ENTROPY: 13.0302347, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 793, 'shrink': 272, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1057070, PRECISION: 0.0227614, PRECISION_RECALL_MIN_DEN: 0.0842795, RECALL: 0.0818337, MAP: 0.0357052, MRR: 0.0740557, NDCG: 0.0553778, F1: 0.0356139, HIT_RATE: 0.2276141, ARHR: 0.0838184, NOVELTY: 0.0052807, AVERAGE_POPULARITY: 0.0182481, DIVERSITY_MEAN_INTER_LIST: 0.9976872, DIVERSITY_HERFINDAHL: 0.9997511, COVERAGE_ITEM: 0.5975977, COVERAGE_ITEM_CORRECT: 0.0438191, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1271172, DIVERSITY_GINI: 0.2830566, SHANNON_ENTROPY: 13.0696299, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 347, 'shrink': 281, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1005950, PRECISION: 0.0218988, PRECISION_RECALL_MIN_DEN: 0.0806997, RECALL: 0.0782520, MAP: 0.0335548, MRR: 0.0697724, NDCG: 0.0524373, F1: 0.0342197, HIT_RATE: 0.2189876, ARHR: 0.0791057, NOVELTY: 0.0052737, AVERAGE_POPULARITY: 0.0181103, DIVERSITY_MEAN_INTER_LIST: 0.9973571, DIVERSITY_HERFINDAHL: 0.9997181, COVERAGE_ITEM: 0.5677844, COVERAGE_ITEM_CORRECT: 0.0422560, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1222600, DIVERSITY_GINI: 0.2562463, SHANNON_ENTROPY: 12.9083865, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 205, 'shrink': 510, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1094822, PRECISION: 0.0236719, PRECISION_RECALL_MIN_DEN: 0.0862109, RECALL: 0.0835634, MAP: 0.0370760, MRR: 0.0770032, NDCG: 0.0571842, F1: 0.0368916, HIT_RATE: 0.2367186, ARHR: 0.0876802, NOVELTY: 0.0052807, AVERAGE_POPULARITY: 0.0181400, DIVERSITY_MEAN_INTER_LIST: 0.9979690, DIVERSITY_HERFINDAHL: 0.9997793, COVERAGE_ITEM: 0.6246468, COVERAGE_ITEM_CORRECT: 0.0458518, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1303888, DIVERSITY_GINI: 0.3087401, SHANNON_ENTROPY: 13.2047438, 

SearchBayesianSkopt-CV: New best config found. Config 16: {'topK': 87, 'shrink': 924, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1109915, PRECISION: 0.0237950, PRECISION_RECALL_MIN_DEN: 0.0866911, RECALL: 0.0839913, MAP: 0.0379261, MRR: 0.0780576, NDCG: 0.0579698, F1: 0.0370817, HIT_RATE: 0.2379503, ARHR: 0.0888970, NOVELTY: 0.0052810, AVERAGE_POPULARITY: 0.0179610, DIVERSITY_MEAN_INTER_LIST: 0.9981185, DIVERSITY_HERFINDAHL: 0.9997942, COVERAGE_ITEM: 0.6391530, COVERAGE_ITEM_CORRECT: 0.0463908, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1315717, DIVERSITY_GINI: 0.3237650, SHANNON_ENTROPY: 13.2790386, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 567, 'shrink': 258, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1057657, PRECISION: 0.0229170, PRECISION_RECALL_MIN_DEN: 0.0843089, RECALL: 0.0817900, MAP: 0.0357262, MRR: 0.0743511, NDCG: 0.0554324, F1: 0.0358003, HIT_RATE: 0.2291704, ARHR: 0.0842971, NOVELTY: 0.0052775, AVERAGE_POPULARITY: 0.0182749, DIVERSITY_MEAN_INTER_LIST: 0.9977232, DIVERSITY_HERFINDAHL: 0.9997547, COVERAGE_ITEM: 0.6002464, COVERAGE_ITEM_CORRECT: 0.0441270, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1276708, DIVERSITY_GINI: 0.2858435, SHANNON_ENTROPY: 13.0846747, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 666, 'shrink': 838, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0628632, PRECISION: 0.0125569, PRECISION_RECALL_MIN_DEN: 0.0433281, RECALL: 0.0416872, MAP: 0.0186104, MRR: 0.0434149, NDCG: 0.0293605, F1: 0.0192959, HIT_RATE: 0.1255688, ARHR: 0.0475084, NOVELTY: 0.0053169, AVERAGE_POPULARITY: 0.0172231, DIVERSITY_MEAN_INTER_LIST: 0.9932457, DIVERSITY_HERFINDAHL: 0.9993070, COVERAGE_ITEM: 0.2999423, COVERAGE_ITEM_CORRECT: 0.0229913, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0744432, DIVERSITY_GINI: 0.1039427, SHANNON_ENTROPY: 11.6306965, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 250, 'shrink': 329, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1013622, PRECISION: 0.0222413, PRECISION_RECALL_MIN_DEN: 0.0810938, RECALL: 0.0785583, MAP: 0.0337970, MRR: 0.0707435, NDCG: 0.0528258, F1: 0.0346669, HIT_RATE: 0.2224130, ARHR: 0.0802404, NOVELTY: 0.0052753, AVERAGE_POPULARITY: 0.0181567, DIVERSITY_MEAN_INTER_LIST: 0.9974797, DIVERSITY_HERFINDAHL: 0.9997303, COVERAGE_ITEM: 0.5737363, COVERAGE_ITEM_CORRECT: 0.0430106, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1239461, DIVERSITY_GINI: 0.2627204, SHANNON_ENTROPY: 12.9524048, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 830, 'shrink': 598, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1084457, PRECISION: 0.0231462, PRECISION_RECALL_MIN_DEN: 0.0856223, RECALL: 0.0831457, MAP: 0.0366866, MRR: 0.0758162, NDCG: 0.0566006, F1: 0.0362092, HIT_RATE: 0.2314623, ARHR: 0.0858471, NOVELTY: 0.0052843, AVERAGE_POPULARITY: 0.0181310, DIVERSITY_MEAN_INTER_LIST: 0.9977555, DIVERSITY_HERFINDAHL: 0.9997579, COVERAGE_ITEM: 0.6064524, COVERAGE_ITEM_CORRECT: 0.0444350, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1291305, DIVERSITY_GINI: 0.2907820, SHANNON_ENTROPY: 13.1111710, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 888, 'shrink': 495, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0979410, PRECISION: 0.0210434, PRECISION_RECALL_MIN_DEN: 0.0773561, RECALL: 0.0751075, MAP: 0.0319402, MRR: 0.0666238, NDCG: 0.0503388, F1: 0.0328737, HIT_RATE: 0.2104339, ARHR: 0.0751439, NOVELTY: 0.0052930, AVERAGE_POPULARITY: 0.0171043, DIVERSITY_MEAN_INTER_LIST: 0.9965722, DIVERSITY_HERFINDAHL: 0.9996396, COVERAGE_ITEM: 0.4969548, COVERAGE_ITEM_CORRECT: 0.0401232, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1188121, DIVERSITY_GINI: 0.2143920, SHANNON_ENTROPY: 12.6486947, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 557, 'shrink': 498, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1079155, PRECISION: 0.0232630, PRECISION_RECALL_MIN_DEN: 0.0857943, RECALL: 0.0832579, MAP: 0.0365933, MRR: 0.0757651, NDCG: 0.0565859, F1: 0.0363634, HIT_RATE: 0.2326300, ARHR: 0.0858875, NOVELTY: 0.0052814, AVERAGE_POPULARITY: 0.0181901, DIVERSITY_MEAN_INTER_LIST: 0.9977971, DIVERSITY_HERFINDAHL: 0.9997621, COVERAGE_ITEM: 0.6098094, COVERAGE_ITEM_CORRECT: 0.0447892, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1294073, DIVERSITY_GINI: 0.2938633, SHANNON_ENTROPY: 13.1271748, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 986, 'shrink': 121, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0098855, PRECISION: 0.0021632, PRECISION_RECALL_MIN_DEN: 0.0074508, RECALL: 0.0071093, MAP: 0.0021069, MRR: 0.0058396, NDCG: 0.0040642, F1: 0.0033143, HIT_RATE: 0.0216323, ARHR: 0.0060135, NOVELTY: 0.0053418, AVERAGE_POPULARITY: 0.0111646, DIVERSITY_MEAN_INTER_LIST: 0.9397010, DIVERSITY_HERFINDAHL: 0.9939535, COVERAGE_ITEM: 0.1250895, COVERAGE_ITEM_CORRECT: 0.0039192, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0146722, DIVERSITY_GINI: 0.0179383, SHANNON_ENTROPY: 8.7228499, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 23, 'shrink': 536, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1055396, PRECISION: 0.0227421, PRECISION_RECALL_MIN_DEN: 0.0821998, RECALL: 0.0796056, MAP: 0.0362357, MRR: 0.0751450, NDCG: 0.0552995, F1: 0.0353733, HIT_RATE: 0.2274206, ARHR: 0.0855953, NOVELTY: 0.0052778, AVERAGE_POPULARITY: 0.0182679, DIVERSITY_MEAN_INTER_LIST: 0.9981394, DIVERSITY_HERFINDAHL: 0.9997963, COVERAGE_ITEM: 0.6553917, COVERAGE_ITEM_CORRECT: 0.0446044, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1247011, DIVERSITY_GINI: 0.3369241, SHANNON_ENTROPY: 13.3279286, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 224, 'shrink': 445, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0858540, PRECISION: 0.0182880, PRECISION_RECALL_MIN_DEN: 0.0643481, RECALL: 0.0620854, MAP: 0.0270402, MRR: 0.0592645, NDCG: 0.0425512, F1: 0.0282502, HIT_RATE: 0.1828803, ARHR: 0.0665243, NOVELTY: 0.0053017, AVERAGE_POPULARITY: 0.0171887, DIVERSITY_MEAN_INTER_LIST: 0.9962633, DIVERSITY_HERFINDAHL: 0.9996087, COVERAGE_ITEM: 0.4198268, COVERAGE_ITEM_CORRECT: 0.0344947, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1037624, DIVERSITY_GINI: 0.1757704, SHANNON_ENTROPY: 12.4048251, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 296, 'shrink': 296, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1007670, PRECISION: 0.0218562, PRECISION_RECALL_MIN_DEN: 0.0796832, RECALL: 0.0772606, MAP: 0.0328459, MRR: 0.0692594, NDCG: 0.0517862, F1: 0.0340726, HIT_RATE: 0.2185624, ARHR: 0.0783355, NOVELTY: 0.0052882, AVERAGE_POPULARITY: 0.0171290, DIVERSITY_MEAN_INTER_LIST: 0.9972569, DIVERSITY_HERFINDAHL: 0.9997081, COVERAGE_ITEM: 0.5211550, COVERAGE_ITEM_CORRECT: 0.0417786, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1224865, DIVERSITY_GINI: 0.2355911, SHANNON_ENTROPY: 12.8167894, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 139, 'shrink': 307, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0652933, PRECISION: 0.0132948, PRECISION_RECALL_MIN_DEN: 0.0446866, RECALL: 0.0428362, MAP: 0.0195398, MRR: 0.0458173, NDCG: 0.0305645, F1: 0.0202868, HIT_RATE: 0.1329476, ARHR: 0.0506831, NOVELTY: 0.0053191, AVERAGE_POPULARITY: 0.0172407, DIVERSITY_MEAN_INTER_LIST: 0.9933673, DIVERSITY_HERFINDAHL: 0.9993192, COVERAGE_ITEM: 0.3492281, COVERAGE_ITEM_CORRECT: 0.0249779, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0774380, DIVERSITY_GINI: 0.1309470, SHANNON_ENTROPY: 11.9173300, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 888, 'shrink': 836, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0982687, PRECISION: 0.0213375, PRECISION_RECALL_MIN_DEN: 0.0789264, RECALL: 0.0766093, MAP: 0.0328352, MRR: 0.0677728, NDCG: 0.0513189, F1: 0.0333750, HIT_RATE: 0.2133752, ARHR: 0.0766242, NOVELTY: 0.0052782, AVERAGE_POPULARITY: 0.0182043, DIVERSITY_MEAN_INTER_LIST: 0.9970301, DIVERSITY_HERFINDAHL: 0.9996854, COVERAGE_ITEM: 0.5521309, COVERAGE_ITEM_CORRECT: 0.0410010, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1199950, DIVERSITY_GINI: 0.2413128, SHANNON_ENTROPY: 12.8015704, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 595, 'shrink': 916, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0107441, PRECISION: 0.0023011, PRECISION_RECALL_MIN_DEN: 0.0081118, RECALL: 0.0077607, MAP: 0.0023580, MRR: 0.0063986, NDCG: 0.0044731, F1: 0.0035472, HIT_RATE: 0.0230114, ARHR: 0.0065978, NOVELTY: 0.0053220, AVERAGE_POPULARITY: 0.0111835, DIVERSITY_MEAN_INTER_LIST: 0.9553021, DIVERSITY_HERFINDAHL: 0.9955133, COVERAGE_ITEM: 0.1344216, COVERAGE_ITEM_CORRECT: 0.0041655, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.0155782, DIVERSITY_GINI: 0.0214001, SHANNON_ENTROPY: 9.0628242, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0941622, PRECISION: 0.0194490, PRECISION_RECALL_MIN_DEN: 0.0702021, RECALL: 0.0681179, MAP: 0.0321040, MRR: 0.0666508, NDCG: 0.0485799, F1: 0.0302540, HIT_RATE: 0.1944902, ARHR: 0.0747774, NOVELTY: 0.0053020, AVERAGE_POPULARITY: 0.0181278, DIVERSITY_MEAN_INTER_LIST: 0.9922765, DIVERSITY_HERFINDAHL: 0.9992101, COVERAGE_ITEM: 0.6560770, COVERAGE_ITEM_CORRECT: 0.0382676, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1091984, DIVERSITY_GINI: 0.3158474, SHANNON_ENTROPY: 12.9519393, 
