
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 139, 'shrink': 720, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3683541415129719, 'feature_weighting': 'none', 'icm_weight': 14.938572560058919} - results: ROC_AUC: 0.0504933, PRECISION: 0.0099357, PRECISION_RECALL_MIN_DEN: 0.0380830, RECALL: 0.0371463, MAP: 0.0155880, MRR: 0.0340893, NDCG: 0.0249394, F1: 0.0156773, HIT_RATE: 0.0993574, ARHR: 0.0366992, NOVELTY: 0.0047568, AVERAGE_POPULARITY: 0.0165213, DIVERSITY_MEAN_INTER_LIST: 0.9954770, DIVERSITY_HERFINDAHL: 0.9995274, COVERAGE_ITEM: 0.5376477, COVERAGE_ITEM_CORRECT: 0.0174398, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0520700, DIVERSITY_GINI: 0.2516542, SHANNON_ENTROPY: 12.7906911, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 471, 'shrink': 101, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1941489500301274, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.417164181965864} - results: ROC_AUC: 0.0337425, PRECISION: 0.0068233, PRECISION_RECALL_MIN_DEN: 0.0264786, RECALL: 0.0258462, MAP: 0.0091985, MRR: 0.0210813, NDCG: 0.0158882, F1: 0.0107934, HIT_RATE: 0.0682325, ARHR: 0.0221855, NOVELTY: 0.0043880, AVERAGE_POPULARITY: 0.0093821, DIVERSITY_MEAN_INTER_LIST: 0.9928599, DIVERSITY_HERFINDAHL: 0.9992657, COVERAGE_ITEM: 0.2954918, COVERAGE_ITEM_CORRECT: 0.0120808, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0379514, DIVERSITY_GINI: 0.1013812, SHANNON_ENTROPY: 11.5865471, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'topK': 7, 'shrink': 628, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.08721215429141772, 'feature_weighting': 'BM25', 'icm_weight': 15.832063378913736} - results: ROC_AUC: 0.0798481, PRECISION: 0.0149800, PRECISION_RECALL_MIN_DEN: 0.0611722, RECALL: 0.0599651, MAP: 0.0277818, MRR: 0.0547433, NDCG: 0.0418021, F1: 0.0239715, HIT_RATE: 0.1498003, ARHR: 0.0586818, NOVELTY: 0.0047026, AVERAGE_POPULARITY: 0.0206210, DIVERSITY_MEAN_INTER_LIST: 0.9738704, DIVERSITY_HERFINDAHL: 0.9973671, COVERAGE_ITEM: 0.6298056, COVERAGE_ITEM_CORRECT: 0.0262483, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0788977, DIVERSITY_GINI: 0.3077876, SHANNON_ENTROPY: 12.4716557, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 680, 'shrink': 790, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.26747731492902266, 'feature_weighting': 'none', 'icm_weight': 10.17663670620587} - results: ROC_AUC: 0.0595935, PRECISION: 0.0116282, PRECISION_RECALL_MIN_DEN: 0.0445758, RECALL: 0.0435893, MAP: 0.0191116, MRR: 0.0405851, NDCG: 0.0299327, F1: 0.0183571, HIT_RATE: 0.1162823, ARHR: 0.0437003, NOVELTY: 0.0047546, AVERAGE_POPULARITY: 0.0167556, DIVERSITY_MEAN_INTER_LIST: 0.9960833, DIVERSITY_HERFINDAHL: 0.9995880, COVERAGE_ITEM: 0.5188373, COVERAGE_ITEM_CORRECT: 0.0201270, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0610797, DIVERSITY_GINI: 0.2493910, SHANNON_ENTROPY: 12.8164243, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 847, 'shrink': 852, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4962625849013769, 'feature_weighting': 'TF-IDF', 'icm_weight': 11.316734424385599} - results: ROC_AUC: 0.0558459, PRECISION: 0.0116534, PRECISION_RECALL_MIN_DEN: 0.0446893, RECALL: 0.0435276, MAP: 0.0163462, MRR: 0.0370325, NDCG: 0.0275007, F1: 0.0183829, HIT_RATE: 0.1165342, ARHR: 0.0398114, NOVELTY: 0.0046947, AVERAGE_POPULARITY: 0.0153487, DIVERSITY_MEAN_INTER_LIST: 0.9957153, DIVERSITY_HERFINDAHL: 0.9995512, COVERAGE_ITEM: 0.4821482, COVERAGE_ITEM_CORRECT: 0.0201578, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0617088, DIVERSITY_GINI: 0.2207761, SHANNON_ENTROPY: 12.6470635, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 564, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3169851626504994, 'feature_weighting': 'BM25', 'icm_weight': 15.060839171095749} - results: ROC_AUC: 0.0815451, PRECISION: 0.0163135, PRECISION_RECALL_MIN_DEN: 0.0677377, RECALL: 0.0664291, MAP: 0.0268497, MRR: 0.0537016, NDCG: 0.0427443, F1: 0.0261909, HIT_RATE: 0.1631346, ARHR: 0.0581772, NOVELTY: 0.0046683, AVERAGE_POPULARITY: 0.0168562, DIVERSITY_MEAN_INTER_LIST: 0.9961972, DIVERSITY_HERFINDAHL: 0.9995994, COVERAGE_ITEM: 0.5453551, COVERAGE_ITEM_CORRECT: 0.0283734, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0854410, DIVERSITY_GINI: 0.2615637, SHANNON_ENTROPY: 12.8791840, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 769, 'shrink': 276, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5318559786055042, 'feature_weighting': 'TF-IDF', 'icm_weight': 10.411997601608558} - results: ROC_AUC: 0.0418325, PRECISION: 0.0083884, PRECISION_RECALL_MIN_DEN: 0.0318045, RECALL: 0.0309660, MAP: 0.0116256, MRR: 0.0269894, NDCG: 0.0196906, F1: 0.0131981, HIT_RATE: 0.0838837, ARHR: 0.0285334, NOVELTY: 0.0046006, AVERAGE_POPULARITY: 0.0119502, DIVERSITY_MEAN_INTER_LIST: 0.9945119, DIVERSITY_HERFINDAHL: 0.9994309, COVERAGE_ITEM: 0.3603311, COVERAGE_ITEM_CORRECT: 0.0147064, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0459544, DIVERSITY_GINI: 0.1469800, SHANNON_ENTROPY: 12.1064016, 

SearchBayesianSkopt-CV: New best config found. Config 16: {'topK': 485, 'shrink': 732, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8668386758019999, 'feature_weighting': 'BM25', 'icm_weight': 18.975854024115655} - results: ROC_AUC: 0.0883301, PRECISION: 0.0179196, PRECISION_RECALL_MIN_DEN: 0.0741843, RECALL: 0.0727993, MAP: 0.0296576, MRR: 0.0587851, NDCG: 0.0469990, F1: 0.0287579, HIT_RATE: 0.1791956, ARHR: 0.0638915, NOVELTY: 0.0046720, AVERAGE_POPULARITY: 0.0191335, DIVERSITY_MEAN_INTER_LIST: 0.9964042, DIVERSITY_HERFINDAHL: 0.9996201, COVERAGE_ITEM: 0.5762156, COVERAGE_ITEM_CORRECT: 0.0306679, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0931924, DIVERSITY_GINI: 0.2842436, SHANNON_ENTROPY: 12.9958224, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 60, 'shrink': 808, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0329654535193122, 'feature_weighting': 'TF-IDF', 'icm_weight': 3.3787697282857985} - results: ROC_AUC: 0.0863736, PRECISION: 0.0177027, PRECISION_RECALL_MIN_DEN: 0.0692275, RECALL: 0.0677945, MAP: 0.0284922, MRR: 0.0587017, NDCG: 0.0450631, F1: 0.0280728, HIT_RATE: 0.1770270, ARHR: 0.0642149, NOVELTY: 0.0046649, AVERAGE_POPULARITY: 0.0271437, DIVERSITY_MEAN_INTER_LIST: 0.9958730, DIVERSITY_HERFINDAHL: 0.9995669, COVERAGE_ITEM: 0.6046891, COVERAGE_ITEM_CORRECT: 0.0287661, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0902731, DIVERSITY_GINI: 0.3010426, SHANNON_ENTROPY: 13.0053486, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 278, 'shrink': 948, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7788910687503743, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.052697651987764} - results: ROC_AUC: 0.0519969, PRECISION: 0.0105869, PRECISION_RECALL_MIN_DEN: 0.0402488, RECALL: 0.0391670, MAP: 0.0149663, MRR: 0.0342517, NDCG: 0.0250602, F1: 0.0166657, HIT_RATE: 0.1058691, ARHR: 0.0367510, NOVELTY: 0.0046888, AVERAGE_POPULARITY: 0.0154208, DIVERSITY_MEAN_INTER_LIST: 0.9955262, DIVERSITY_HERFINDAHL: 0.9995323, COVERAGE_ITEM: 0.4724851, COVERAGE_ITEM_CORRECT: 0.0184023, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0563483, DIVERSITY_GINI: 0.2174897, SHANNON_ENTROPY: 12.6237202, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 590, 'shrink': 712, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1809368310098625, 'feature_weighting': 'BM25', 'icm_weight': 7.5095875538504195} - results: ROC_AUC: 0.0872316, PRECISION: 0.0176255, PRECISION_RECALL_MIN_DEN: 0.0723734, RECALL: 0.0709987, MAP: 0.0288836, MRR: 0.0582183, NDCG: 0.0459536, F1: 0.0282386, HIT_RATE: 0.1762554, ARHR: 0.0632743, NOVELTY: 0.0046550, AVERAGE_POPULARITY: 0.0191090, DIVERSITY_MEAN_INTER_LIST: 0.9964684, DIVERSITY_HERFINDAHL: 0.9996265, COVERAGE_ITEM: 0.5760693, COVERAGE_ITEM_CORRECT: 0.0301136, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0915566, DIVERSITY_GINI: 0.2852000, SHANNON_ENTROPY: 13.0079210, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25', 'icm_weight': 1.0} - results: ROC_AUC: 0.0764693, PRECISION: 0.0136885, PRECISION_RECALL_MIN_DEN: 0.0567197, RECALL: 0.0556408, MAP: 0.0265733, MRR: 0.0528660, NDCG: 0.0395527, F1: 0.0219709, HIT_RATE: 0.1368848, ARHR: 0.0563283, NOVELTY: 0.0048250, AVERAGE_POPULARITY: 0.0206230, DIVERSITY_MEAN_INTER_LIST: 0.9566968, DIVERSITY_HERFINDAHL: 0.9956501, COVERAGE_ITEM: 0.6233532, COVERAGE_ITEM_CORRECT: 0.0238845, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0734114, DIVERSITY_GINI: 0.2957921, SHANNON_ENTROPY: 12.1276992, 

SearchBayesianSkopt-CV: New best config found. Config 21: {'topK': 896, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none', 'icm_weight': 1.0} - results: ROC_AUC: 0.1135541, PRECISION: 0.0218952, PRECISION_RECALL_MIN_DEN: 0.0885790, RECALL: 0.0869380, MAP: 0.0385064, MRR: 0.0791414, NDCG: 0.0594623, F1: 0.0349784, HIT_RATE: 0.2189522, ARHR: 0.0861056, NOVELTY: 0.0046002, AVERAGE_POPULARITY: 0.1291603, DIVERSITY_MEAN_INTER_LIST: 0.9763841, DIVERSITY_HERFINDAHL: 0.9976185, COVERAGE_ITEM: 0.3758460, COVERAGE_ITEM_CORRECT: 0.0232762, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1121681, DIVERSITY_GINI: 0.1115582, SHANNON_ENTROPY: 10.9534338, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none', 'icm_weight': 1.0} - results: ROC_AUC: 0.1130416, PRECISION: 0.0219278, PRECISION_RECALL_MIN_DEN: 0.0886770, RECALL: 0.0870338, MAP: 0.0384224, MRR: 0.0788123, NDCG: 0.0593776, F1: 0.0350274, HIT_RATE: 0.2192775, ARHR: 0.0858074, NOVELTY: 0.0045982, AVERAGE_POPULARITY: 0.1295944, DIVERSITY_MEAN_INTER_LIST: 0.9760764, DIVERSITY_HERFINDAHL: 0.9975877, COVERAGE_ITEM: 0.3742368, COVERAGE_ITEM_CORRECT: 0.0232300, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1121933, DIVERSITY_GINI: 0.1106089, SHANNON_ENTROPY: 10.9366211, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 20, 'shrink': 981, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.894725754262268, 'feature_weighting': 'none', 'icm_weight': 1.1845392565531423} - results: ROC_AUC: 0.1040749, PRECISION: 0.0200730, PRECISION_RECALL_MIN_DEN: 0.0799821, RECALL: 0.0783717, MAP: 0.0351749, MRR: 0.0721171, NDCG: 0.0540890, F1: 0.0319578, HIT_RATE: 0.2007299, ARHR: 0.0786222, NOVELTY: 0.0046679, AVERAGE_POPULARITY: 0.0876503, DIVERSITY_MEAN_INTER_LIST: 0.9871609, DIVERSITY_HERFINDAHL: 0.9986959, COVERAGE_ITEM: 0.4896092, COVERAGE_ITEM_CORRECT: 0.0242387, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1027054, DIVERSITY_GINI: 0.1834469, SHANNON_ENTROPY: 11.8531333, 

SearchBayesianSkopt-CV: New best config found. Config 24: {'topK': 236, 'shrink': 45, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.12621686509552313, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.0099926800153585} - results: ROC_AUC: 0.1234626, PRECISION: 0.0243456, PRECISION_RECALL_MIN_DEN: 0.0956774, RECALL: 0.0937447, MAP: 0.0423439, MRR: 0.0860289, NDCG: 0.0648740, F1: 0.0386515, HIT_RATE: 0.2434559, ARHR: 0.0945901, NOVELTY: 0.0049249, AVERAGE_POPULARITY: 0.0461131, DIVERSITY_MEAN_INTER_LIST: 0.9957714, DIVERSITY_HERFINDAHL: 0.9995568, COVERAGE_ITEM: 0.6028412, COVERAGE_ITEM_CORRECT: 0.0365813, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1225368, DIVERSITY_GINI: 0.2955561, SHANNON_ENTROPY: 12.9651838, 

SearchBayesianSkopt-CV: New best config found. Config 25: {'topK': 651, 'shrink': 858, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.01038549339003936, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.0091171832447683} - results: ROC_AUC: 0.1338920, PRECISION: 0.0270349, PRECISION_RECALL_MIN_DEN: 0.1096645, RECALL: 0.1077516, MAP: 0.0466542, MRR: 0.0932639, NDCG: 0.0723701, F1: 0.0432227, HIT_RATE: 0.2703493, ARHR: 0.1025518, NOVELTY: 0.0046894, AVERAGE_POPULARITY: 0.0975512, DIVERSITY_MEAN_INTER_LIST: 0.9871645, DIVERSITY_HERFINDAHL: 0.9986963, COVERAGE_ITEM: 0.4528508, COVERAGE_ITEM_CORRECT: 0.0331319, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1357745, DIVERSITY_GINI: 0.1614831, SHANNON_ENTROPY: 11.7103622, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 293, 'shrink': 78, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.931560716941295, 'feature_weighting': 'BM25', 'icm_weight': 1.0599779774946616} - results: ROC_AUC: 0.0592455, PRECISION: 0.0125400, PRECISION_RECALL_MIN_DEN: 0.0511277, RECALL: 0.0503399, MAP: 0.0195476, MRR: 0.0395490, NDCG: 0.0318673, F1: 0.0200772, HIT_RATE: 0.1253998, ARHR: 0.0429193, NOVELTY: 0.0050453, AVERAGE_POPULARITY: 0.0167859, DIVERSITY_MEAN_INTER_LIST: 0.9942915, DIVERSITY_HERFINDAHL: 0.9994088, COVERAGE_ITEM: 0.4399384, COVERAGE_ITEM_CORRECT: 0.0206352, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0653077, DIVERSITY_GINI: 0.1720984, SHANNON_ENTROPY: 12.2120933, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF', 'icm_weight': 1.0} - results: ROC_AUC: 0.1040929, PRECISION: 0.0188249, PRECISION_RECALL_MIN_DEN: 0.0747064, RECALL: 0.0731977, MAP: 0.0356997, MRR: 0.0719781, NDCG: 0.0530519, F1: 0.0299465, HIT_RATE: 0.1882492, ARHR: 0.0775337, NOVELTY: 0.0047613, AVERAGE_POPULARITY: 0.0445311, DIVERSITY_MEAN_INTER_LIST: 0.9701940, DIVERSITY_HERFINDAHL: 0.9969996, COVERAGE_ITEM: 0.5677382, COVERAGE_ITEM_CORRECT: 0.0286660, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0985026, DIVERSITY_GINI: 0.2404385, SHANNON_ENTROPY: 12.0307346, 
