
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 157, 'shrink': 71, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6978878753982184, 'tversky_beta': 1.4700049449073567, 'icm_weight': 6.764423848332919} - results: ROC_AUC: 0.1095167, PRECISION: 0.0221259, PRECISION_RECALL_MIN_DEN: 0.0903508, RECALL: 0.0885430, MAP: 0.0374584, MRR: 0.0745003, NDCG: 0.0584053, F1: 0.0354021, HIT_RATE: 0.2212591, ARHR: 0.0817000, NOVELTY: 0.0047518, AVERAGE_POPULARITY: 0.0440584, DIVERSITY_MEAN_INTER_LIST: 0.9953675, DIVERSITY_HERFINDAHL: 0.9995164, COVERAGE_ITEM: 0.5248277, COVERAGE_ITEM_CORRECT: 0.0327931, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1125959, DIVERSITY_GINI: 0.2431955, SHANNON_ENTROPY: 12.7162739, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 508, 'shrink': 772, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.556033034225377, 'tversky_beta': 0.4232721436498098, 'icm_weight': 3.4430086753788216} - results: ROC_AUC: 0.1102796, PRECISION: 0.0219325, PRECISION_RECALL_MIN_DEN: 0.0891499, RECALL: 0.0873996, MAP: 0.0373814, MRR: 0.0749494, NDCG: 0.0582372, F1: 0.0350634, HIT_RATE: 0.2193254, ARHR: 0.0819401, NOVELTY: 0.0047116, AVERAGE_POPULARITY: 0.0591935, DIVERSITY_MEAN_INTER_LIST: 0.9929704, DIVERSITY_HERFINDAHL: 0.9992767, COVERAGE_ITEM: 0.4627988, COVERAGE_ITEM_CORRECT: 0.0297055, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1120171, DIVERSITY_GINI: 0.1874413, SHANNON_ENTROPY: 12.2337528, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'topK': 319, 'shrink': 585, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6751050836191616, 'tversky_beta': 1.6736558252665084, 'icm_weight': 8.929200061957271} - results: ROC_AUC: 0.1113677, PRECISION: 0.0223295, PRECISION_RECALL_MIN_DEN: 0.0900692, RECALL: 0.0882189, MAP: 0.0378502, MRR: 0.0764365, NDCG: 0.0589408, F1: 0.0356372, HIT_RATE: 0.2232948, ARHR: 0.0836249, NOVELTY: 0.0047090, AVERAGE_POPULARITY: 0.0601719, DIVERSITY_MEAN_INTER_LIST: 0.9930311, DIVERSITY_HERFINDAHL: 0.9992828, COVERAGE_ITEM: 0.4724235, COVERAGE_ITEM_CORRECT: 0.0300828, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1135020, DIVERSITY_GINI: 0.1946460, SHANNON_ENTROPY: 12.2838157, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 988, 'shrink': 457, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.30537240156653006, 'tversky_beta': 1.1905559969867627, 'icm_weight': 14.18431405572251} - results: ROC_AUC: 0.1093974, PRECISION: 0.0217848, PRECISION_RECALL_MIN_DEN: 0.0886946, RECALL: 0.0870049, MAP: 0.0371130, MRR: 0.0741282, NDCG: 0.0578936, F1: 0.0348430, HIT_RATE: 0.2178483, ARHR: 0.0808653, NOVELTY: 0.0047177, AVERAGE_POPULARITY: 0.0615778, DIVERSITY_MEAN_INTER_LIST: 0.9922008, DIVERSITY_HERFINDAHL: 0.9991998, COVERAGE_ITEM: 0.4394225, COVERAGE_ITEM_CORRECT: 0.0287815, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116144, DIVERSITY_GINI: 0.1697627, SHANNON_ENTROPY: 12.0711209, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 940, 'shrink': 154, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8488583800418164, 'tversky_beta': 0.04621410330508225, 'icm_weight': 13.325329316941986} - results: ROC_AUC: 0.1066585, PRECISION: 0.0211603, PRECISION_RECALL_MIN_DEN: 0.0865109, RECALL: 0.0848819, MAP: 0.0360129, MRR: 0.0718057, NDCG: 0.0562762, F1: 0.0338729, HIT_RATE: 0.2116026, ARHR: 0.0783245, NOVELTY: 0.0047439, AVERAGE_POPULARITY: 0.0502185, DIVERSITY_MEAN_INTER_LIST: 0.9940461, DIVERSITY_HERFINDAHL: 0.9993843, COVERAGE_ITEM: 0.4615669, COVERAGE_ITEM_CORRECT: 0.0299750, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1088461, DIVERSITY_GINI: 0.1902444, SHANNON_ENTROPY: 12.3226194, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 377, 'shrink': 643, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9739342119809626, 'tversky_beta': 0.1938879825168554, 'icm_weight': 9.456298865917455} - results: ROC_AUC: 0.1106528, PRECISION: 0.0221335, PRECISION_RECALL_MIN_DEN: 0.0895859, RECALL: 0.0877889, MAP: 0.0374363, MRR: 0.0750847, NDCG: 0.0583949, F1: 0.0353517, HIT_RATE: 0.2213347, ARHR: 0.0822266, NOVELTY: 0.0047015, AVERAGE_POPULARITY: 0.0609395, DIVERSITY_MEAN_INTER_LIST: 0.9928443, DIVERSITY_HERFINDAHL: 0.9992641, COVERAGE_ITEM: 0.4703754, COVERAGE_ITEM_CORRECT: 0.0296439, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1128979, DIVERSITY_GINI: 0.1921304, SHANNON_ENTROPY: 12.2537572, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 997, 'shrink': 469, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7779340469865086, 'tversky_beta': 0.34615632154480275, 'icm_weight': 15.441324352714645} - results: ROC_AUC: 0.1091447, PRECISION: 0.0216829, PRECISION_RECALL_MIN_DEN: 0.0884117, RECALL: 0.0867204, MAP: 0.0368611, MRR: 0.0739335, NDCG: 0.0576066, F1: 0.0346900, HIT_RATE: 0.2168294, ARHR: 0.0805821, NOVELTY: 0.0047161, AVERAGE_POPULARITY: 0.0598995, DIVERSITY_MEAN_INTER_LIST: 0.9925732, DIVERSITY_HERFINDAHL: 0.9992370, COVERAGE_ITEM: 0.4453667, COVERAGE_ITEM_CORRECT: 0.0290741, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1113628, DIVERSITY_GINI: 0.1741635, SHANNON_ENTROPY: 12.1212170, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 332, 'shrink': 750, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9302292758072104, 'tversky_beta': 1.8374638978532116, 'icm_weight': 19.241377711122883} - results: ROC_AUC: 0.1114256, PRECISION: 0.0222319, PRECISION_RECALL_MIN_DEN: 0.0897524, RECALL: 0.0879240, MAP: 0.0378180, MRR: 0.0762890, NDCG: 0.0588312, F1: 0.0354882, HIT_RATE: 0.2223193, ARHR: 0.0834033, NOVELTY: 0.0047091, AVERAGE_POPULARITY: 0.0602263, DIVERSITY_MEAN_INTER_LIST: 0.9930098, DIVERSITY_HERFINDAHL: 0.9992807, COVERAGE_ITEM: 0.4714225, COVERAGE_ITEM_CORRECT: 0.0299211, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1131244, DIVERSITY_GINI: 0.1938921, SHANNON_ENTROPY: 12.2776293, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 967, 'shrink': 671, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.330067710244602, 'tversky_beta': 1.366294658185901, 'icm_weight': 11.782804771745953} - results: ROC_AUC: 0.1087985, PRECISION: 0.0216992, PRECISION_RECALL_MIN_DEN: 0.0886264, RECALL: 0.0869618, MAP: 0.0370300, MRR: 0.0739621, NDCG: 0.0577873, F1: 0.0347307, HIT_RATE: 0.2169922, ARHR: 0.0806203, NOVELTY: 0.0047234, AVERAGE_POPULARITY: 0.0581773, DIVERSITY_MEAN_INTER_LIST: 0.9928696, DIVERSITY_HERFINDAHL: 0.9992667, COVERAGE_ITEM: 0.4467757, COVERAGE_ITEM_CORRECT: 0.0293359, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114383, DIVERSITY_GINI: 0.1759867, SHANNON_ENTROPY: 12.1527622, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 710, 'shrink': 166, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.786965809529418, 'tversky_beta': 0.09619459002884104, 'icm_weight': 19.690001988297524} - results: ROC_AUC: 0.1033399, PRECISION: 0.0205303, PRECISION_RECALL_MIN_DEN: 0.0844307, RECALL: 0.0828163, MAP: 0.0349640, MRR: 0.0690452, NDCG: 0.0545875, F1: 0.0329028, HIT_RATE: 0.2053033, ARHR: 0.0753592, NOVELTY: 0.0047627, AVERAGE_POPULARITY: 0.0421756, DIVERSITY_MEAN_INTER_LIST: 0.9950039, DIVERSITY_HERFINDAHL: 0.9994801, COVERAGE_ITEM: 0.4859750, COVERAGE_ITEM_CORRECT: 0.0307295, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1056248, DIVERSITY_GINI: 0.2111257, SHANNON_ENTROPY: 12.5161597, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 346, 'shrink': 910, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.4539908309672466, 'tversky_beta': 1.429220196824705, 'icm_weight': 4.544044709420805} - results: ROC_AUC: 0.1117781, PRECISION: 0.0223178, PRECISION_RECALL_MIN_DEN: 0.0901018, RECALL: 0.0882653, MAP: 0.0378347, MRR: 0.0762603, NDCG: 0.0589418, F1: 0.0356256, HIT_RATE: 0.2231783, ARHR: 0.0834140, NOVELTY: 0.0047016, AVERAGE_POPULARITY: 0.0629542, DIVERSITY_MEAN_INTER_LIST: 0.9925374, DIVERSITY_HERFINDAHL: 0.9992335, COVERAGE_ITEM: 0.4671030, COVERAGE_ITEM_CORRECT: 0.0296439, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1138291, DIVERSITY_GINI: 0.1897568, SHANNON_ENTROPY: 12.2240037, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 13, 'shrink': 869, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.06670747163404635, 'tversky_beta': 1.8374147812237824, 'icm_weight': 19.74033501655525} - results: ROC_AUC: 0.1045389, PRECISION: 0.0206808, PRECISION_RECALL_MIN_DEN: 0.0830597, RECALL: 0.0814371, MAP: 0.0355353, MRR: 0.0715395, NDCG: 0.0550248, F1: 0.0329827, HIT_RATE: 0.2068082, ARHR: 0.0781283, NOVELTY: 0.0046625, AVERAGE_POPULARITY: 0.0592325, DIVERSITY_MEAN_INTER_LIST: 0.9892621, DIVERSITY_HERFINDAHL: 0.9989060, COVERAGE_ITEM: 0.5551800, COVERAGE_ITEM_CORRECT: 0.0289817, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1060274, DIVERSITY_GINI: 0.2419754, SHANNON_ENTROPY: 12.3768424, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 530, 'shrink': 946, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.905652742605274, 'tversky_beta': 1.969167572872781, 'icm_weight': 1.2370139782148641} - results: ROC_AUC: 0.1104509, PRECISION: 0.0219531, PRECISION_RECALL_MIN_DEN: 0.0891248, RECALL: 0.0873466, MAP: 0.0374018, MRR: 0.0748336, NDCG: 0.0582268, F1: 0.0350843, HIT_RATE: 0.2195308, ARHR: 0.0819195, NOVELTY: 0.0047160, AVERAGE_POPULARITY: 0.0581405, DIVERSITY_MEAN_INTER_LIST: 0.9931373, DIVERSITY_HERFINDAHL: 0.9992934, COVERAGE_ITEM: 0.4613128, COVERAGE_ITEM_CORRECT: 0.0298672, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1118661, DIVERSITY_GINI: 0.1870883, SHANNON_ENTROPY: 12.2436585, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 891, 'shrink': 964, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9781785136851344, 'tversky_beta': 1.985530277221074, 'icm_weight': 1.1605653028833016} - results: ROC_AUC: 0.1085666, PRECISION: 0.0217398, PRECISION_RECALL_MIN_DEN: 0.0886902, RECALL: 0.0870002, MAP: 0.0369538, MRR: 0.0737396, NDCG: 0.0577109, F1: 0.0347858, HIT_RATE: 0.2173980, ARHR: 0.0804435, NOVELTY: 0.0047230, AVERAGE_POPULARITY: 0.0578365, DIVERSITY_MEAN_INTER_LIST: 0.9929534, DIVERSITY_HERFINDAHL: 0.9992750, COVERAGE_ITEM: 0.4486006, COVERAGE_ITEM_CORRECT: 0.0294283, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114634, DIVERSITY_GINI: 0.1774346, SHANNON_ENTROPY: 12.1680412, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 0.0, 'icm_weight': 1.0} - results: ROC_AUC: 0.0901718, PRECISION: 0.0173765, PRECISION_RECALL_MIN_DEN: 0.0697620, RECALL: 0.0683795, MAP: 0.0301598, MRR: 0.0607873, NDCG: 0.0465598, F1: 0.0277076, HIT_RATE: 0.1737655, ARHR: 0.0657439, NOVELTY: 0.0046550, AVERAGE_POPULARITY: 0.0553156, DIVERSITY_MEAN_INTER_LIST: 0.9702257, DIVERSITY_HERFINDAHL: 0.9970027, COVERAGE_ITEM: 0.5324427, COVERAGE_ITEM_CORRECT: 0.0251088, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0907512, DIVERSITY_GINI: 0.2105098, SHANNON_ENTROPY: 11.7552920, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 298, 'shrink': 5, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.903502357883562, 'tversky_beta': 1.9586411755658508, 'icm_weight': 19.88260563897783} - results: ROC_AUC: 0.0965672, PRECISION: 0.0192433, PRECISION_RECALL_MIN_DEN: 0.0801807, RECALL: 0.0786830, MAP: 0.0331940, MRR: 0.0647070, NDCG: 0.0515970, F1: 0.0309228, HIT_RATE: 0.1924326, ARHR: 0.0704159, NOVELTY: 0.0047318, AVERAGE_POPULARITY: 0.0254642, DIVERSITY_MEAN_INTER_LIST: 0.9965136, DIVERSITY_HERFINDAHL: 0.9996310, COVERAGE_ITEM: 0.5681540, COVERAGE_ITEM_CORRECT: 0.0320385, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0994841, DIVERSITY_GINI: 0.2810642, SHANNON_ENTROPY: 12.9982467, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0, 'icm_weight': 1.0} - results: ROC_AUC: 0.0917775, PRECISION: 0.0181601, PRECISION_RECALL_MIN_DEN: 0.0774368, RECALL: 0.0761394, MAP: 0.0319238, MRR: 0.0614115, NDCG: 0.0495904, F1: 0.0293224, HIT_RATE: 0.1816008, ARHR: 0.0663378, NOVELTY: 0.0047183, AVERAGE_POPULARITY: 0.0226326, DIVERSITY_MEAN_INTER_LIST: 0.9963352, DIVERSITY_HERFINDAHL: 0.9996132, COVERAGE_ITEM: 0.5441155, COVERAGE_ITEM_CORRECT: 0.0309220, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0950296, DIVERSITY_GINI: 0.2602833, SHANNON_ENTROPY: 12.8887216, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 49, 'shrink': 956, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7587444111593333, 'tversky_beta': 1.8302462649919677, 'icm_weight': 19.280159183329893} - results: ROC_AUC: 0.1116363, PRECISION: 0.0225996, PRECISION_RECALL_MIN_DEN: 0.0905689, RECALL: 0.0887402, MAP: 0.0375183, MRR: 0.0756215, NDCG: 0.0587998, F1: 0.0360227, HIT_RATE: 0.2259956, ARHR: 0.0833695, NOVELTY: 0.0046879, AVERAGE_POPULARITY: 0.0593975, DIVERSITY_MEAN_INTER_LIST: 0.9932739, DIVERSITY_HERFINDAHL: 0.9993071, COVERAGE_ITEM: 0.5324504, COVERAGE_ITEM_CORRECT: 0.0310914, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1142570, DIVERSITY_GINI: 0.2354944, SHANNON_ENTROPY: 12.5115434, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 980, 'shrink': 993, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.024049146173835696, 'tversky_beta': 1.972988951164259, 'icm_weight': 13.662581904553836} - results: ROC_AUC: 0.1092525, PRECISION: 0.0217069, PRECISION_RECALL_MIN_DEN: 0.0884417, RECALL: 0.0867744, MAP: 0.0368276, MRR: 0.0740958, NDCG: 0.0576453, F1: 0.0347251, HIT_RATE: 0.2170687, ARHR: 0.0807604, NOVELTY: 0.0047151, AVERAGE_POPULARITY: 0.0644143, DIVERSITY_MEAN_INTER_LIST: 0.9915462, DIVERSITY_HERFINDAHL: 0.9991344, COVERAGE_ITEM: 0.4295669, COVERAGE_ITEM_CORRECT: 0.0283041, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114634, DIVERSITY_GINI: 0.1622568, SHANNON_ENTROPY: 11.9839080, 
