
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 653, 'shrink': 748, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 10.002931720939522} - results: ROC_AUC: 0.1105765, PRECISION: 0.0219614, PRECISION_RECALL_MIN_DEN: 0.0895993, RECALL: 0.0878695, MAP: 0.0374013, MRR: 0.0748725, NDCG: 0.0583569, F1: 0.0351389, HIT_RATE: 0.2196136, ARHR: 0.0818640, NOVELTY: 0.0047140, AVERAGE_POPULARITY: 0.0603784, DIVERSITY_MEAN_INTER_LIST: 0.9927053, DIVERSITY_HERFINDAHL: 0.9992502, COVERAGE_ITEM: 0.4534822, COVERAGE_ITEM_CORRECT: 0.0295592, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1122688, DIVERSITY_GINI: 0.1802005, SHANNON_ENTROPY: 12.1708433, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 477, 'shrink': 95, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 3.0263259668653077} - results: ROC_AUC: 0.1065995, PRECISION: 0.0211847, PRECISION_RECALL_MIN_DEN: 0.0869938, RECALL: 0.0853243, MAP: 0.0364498, MRR: 0.0719568, NDCG: 0.0565852, F1: 0.0339388, HIT_RATE: 0.2118466, ARHR: 0.0786643, NOVELTY: 0.0047611, AVERAGE_POPULARITY: 0.0427716, DIVERSITY_MEAN_INTER_LIST: 0.9951621, DIVERSITY_HERFINDAHL: 0.9994959, COVERAGE_ITEM: 0.4940135, COVERAGE_ITEM_CORRECT: 0.0312377, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1088713, DIVERSITY_GINI: 0.2185558, SHANNON_ENTROPY: 12.5734676, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 254, 'shrink': 252, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.91640422112389} - results: ROC_AUC: 0.1103555, PRECISION: 0.0221865, PRECISION_RECALL_MIN_DEN: 0.0896506, RECALL: 0.0878619, MAP: 0.0375331, MRR: 0.0751194, NDCG: 0.0584740, F1: 0.0354263, HIT_RATE: 0.2218652, ARHR: 0.0822641, NOVELTY: 0.0047228, AVERAGE_POPULARITY: 0.0533063, DIVERSITY_MEAN_INTER_LIST: 0.9940906, DIVERSITY_HERFINDAHL: 0.9993887, COVERAGE_ITEM: 0.4891165, COVERAGE_ITEM_CORRECT: 0.0311068, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1126463, DIVERSITY_GINI: 0.2102756, SHANNON_ENTROPY: 12.4433683, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 420, 'shrink': 299, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 4.191490094903716} - results: ROC_AUC: 0.1100680, PRECISION: 0.0217902, PRECISION_RECALL_MIN_DEN: 0.0889046, RECALL: 0.0871618, MAP: 0.0374303, MRR: 0.0745636, NDCG: 0.0581173, F1: 0.0348611, HIT_RATE: 0.2179018, ARHR: 0.0815224, NOVELTY: 0.0047242, AVERAGE_POPULARITY: 0.0543192, DIVERSITY_MEAN_INTER_LIST: 0.9937938, DIVERSITY_HERFINDAHL: 0.9993591, COVERAGE_ITEM: 0.4732089, COVERAGE_ITEM_CORRECT: 0.0302060, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116144, DIVERSITY_GINI: 0.1976007, SHANNON_ENTROPY: 12.3504758, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 900, 'shrink': 486, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 13.64792407578889} - results: ROC_AUC: 0.1085973, PRECISION: 0.0217236, PRECISION_RECALL_MIN_DEN: 0.0886493, RECALL: 0.0869501, MAP: 0.0369234, MRR: 0.0737067, NDCG: 0.0576624, F1: 0.0347611, HIT_RATE: 0.2172356, ARHR: 0.0804259, NOVELTY: 0.0047230, AVERAGE_POPULARITY: 0.0577689, DIVERSITY_MEAN_INTER_LIST: 0.9929618, DIVERSITY_HERFINDAHL: 0.9992759, COVERAGE_ITEM: 0.4486622, COVERAGE_ITEM_CORRECT: 0.0294129, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1113879, DIVERSITY_GINI: 0.1775279, SHANNON_ENTROPY: 12.1690314, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 401, 'shrink': 855, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 9.74779247560591} - results: ROC_AUC: 0.1106805, PRECISION: 0.0220350, PRECISION_RECALL_MIN_DEN: 0.0892915, RECALL: 0.0875060, MAP: 0.0377369, MRR: 0.0755836, NDCG: 0.0585592, F1: 0.0352032, HIT_RATE: 0.2203498, ARHR: 0.0827326, NOVELTY: 0.0047039, AVERAGE_POPULARITY: 0.0612401, DIVERSITY_MEAN_INTER_LIST: 0.9927712, DIVERSITY_HERFINDAHL: 0.9992568, COVERAGE_ITEM: 0.4668566, COVERAGE_ITEM_CORRECT: 0.0294976, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1123443, DIVERSITY_GINI: 0.1896221, SHANNON_ENTROPY: 12.2351238, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 758, 'shrink': 36, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.65127012494449} - results: ROC_AUC: 0.1021722, PRECISION: 0.0202645, PRECISION_RECALL_MIN_DEN: 0.0839598, RECALL: 0.0823769, MAP: 0.0352412, MRR: 0.0693115, NDCG: 0.0546033, F1: 0.0325251, HIT_RATE: 0.2026453, ARHR: 0.0753254, NOVELTY: 0.0047817, AVERAGE_POPULARITY: 0.0334174, DIVERSITY_MEAN_INTER_LIST: 0.9958532, DIVERSITY_HERFINDAHL: 0.9995650, COVERAGE_ITEM: 0.5149105, COVERAGE_ITEM_CORRECT: 0.0319923, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1050208, DIVERSITY_GINI: 0.2371118, SHANNON_ENTROPY: 12.7303894, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 402, 'shrink': 876, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 18.81908682562826} - results: ROC_AUC: 0.1107413, PRECISION: 0.0220020, PRECISION_RECALL_MIN_DEN: 0.0891803, RECALL: 0.0874064, MAP: 0.0377158, MRR: 0.0755363, NDCG: 0.0585165, F1: 0.0351528, HIT_RATE: 0.2200200, ARHR: 0.0826624, NOVELTY: 0.0047038, AVERAGE_POPULARITY: 0.0613576, DIVERSITY_MEAN_INTER_LIST: 0.9927496, DIVERSITY_HERFINDAHL: 0.9992547, COVERAGE_ITEM: 0.4665486, COVERAGE_ITEM_CORRECT: 0.0294899, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1121933, DIVERSITY_GINI: 0.1894703, SHANNON_ENTROPY: 12.2329302, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 231, 'shrink': 95, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.63006719300644} - results: ROC_AUC: 0.1074231, PRECISION: 0.0218595, PRECISION_RECALL_MIN_DEN: 0.0889963, RECALL: 0.0872250, MAP: 0.0367137, MRR: 0.0730443, NDCG: 0.0574165, F1: 0.0349571, HIT_RATE: 0.2185954, ARHR: 0.0801217, NOVELTY: 0.0047509, AVERAGE_POPULARITY: 0.0435781, DIVERSITY_MEAN_INTER_LIST: 0.9952833, DIVERSITY_HERFINDAHL: 0.9995080, COVERAGE_ITEM: 0.5141251, COVERAGE_ITEM_CORRECT: 0.0322772, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1110608, DIVERSITY_GINI: 0.2338751, SHANNON_ENTROPY: 12.6614285, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 90, 'shrink': 521, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 8.99398116864361} - results: ROC_AUC: 0.1118887, PRECISION: 0.0225628, PRECISION_RECALL_MIN_DEN: 0.0907153, RECALL: 0.0888267, MAP: 0.0379603, MRR: 0.0760463, NDCG: 0.0591567, F1: 0.0359841, HIT_RATE: 0.2256283, ARHR: 0.0837076, NOVELTY: 0.0046957, AVERAGE_POPULARITY: 0.0592328, DIVERSITY_MEAN_INTER_LIST: 0.9934062, DIVERSITY_HERFINDAHL: 0.9993203, COVERAGE_ITEM: 0.5138094, COVERAGE_ITEM_CORRECT: 0.0310606, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1136781, DIVERSITY_GINI: 0.2240063, SHANNON_ENTROPY: 12.4651889, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 771, 'shrink': 18, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.2555744909458286} - results: ROC_AUC: 0.0996850, PRECISION: 0.0197381, PRECISION_RECALL_MIN_DEN: 0.0825628, RECALL: 0.0811105, MAP: 0.0344331, MRR: 0.0668491, NDCG: 0.0533969, F1: 0.0317483, HIT_RATE: 0.1973811, ARHR: 0.0726933, NOVELTY: 0.0047790, AVERAGE_POPULARITY: 0.0292159, DIVERSITY_MEAN_INTER_LIST: 0.9961338, DIVERSITY_HERFINDAHL: 0.9995930, COVERAGE_ITEM: 0.5326352, COVERAGE_ITEM_CORRECT: 0.0320077, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1024034, DIVERSITY_GINI: 0.2512082, SHANNON_ENTROPY: 12.8258699, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 459, 'shrink': 88, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 17.93817652784091} - results: ROC_AUC: 0.1062056, PRECISION: 0.0212336, PRECISION_RECALL_MIN_DEN: 0.0869369, RECALL: 0.0852559, MAP: 0.0364791, MRR: 0.0718783, NDCG: 0.0565881, F1: 0.0339962, HIT_RATE: 0.2123357, ARHR: 0.0786680, NOVELTY: 0.0047623, AVERAGE_POPULARITY: 0.0419854, DIVERSITY_MEAN_INTER_LIST: 0.9952545, DIVERSITY_HERFINDAHL: 0.9995051, COVERAGE_ITEM: 0.4969009, COVERAGE_ITEM_CORRECT: 0.0314687, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1088209, DIVERSITY_GINI: 0.2211856, SHANNON_ENTROPY: 12.5953527, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 964, 'shrink': 990, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.8442383942075218} - results: ROC_AUC: 0.1093493, PRECISION: 0.0217520, PRECISION_RECALL_MIN_DEN: 0.0887972, RECALL: 0.0871290, MAP: 0.0370755, MRR: 0.0743378, NDCG: 0.0579085, F1: 0.0348121, HIT_RATE: 0.2175201, ARHR: 0.0810193, NOVELTY: 0.0047136, AVERAGE_POPULARITY: 0.0616867, DIVERSITY_MEAN_INTER_LIST: 0.9922453, DIVERSITY_HERFINDAHL: 0.9992042, COVERAGE_ITEM: 0.4433340, COVERAGE_ITEM_CORRECT: 0.0288508, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1114886, DIVERSITY_GINI: 0.1719975, SHANNON_ENTROPY: 12.0870701, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 20.0} - results: ROC_AUC: 0.0930937, PRECISION: 0.0179646, PRECISION_RECALL_MIN_DEN: 0.0730563, RECALL: 0.0716143, MAP: 0.0314168, MRR: 0.0626602, NDCG: 0.0484147, F1: 0.0287223, HIT_RATE: 0.1796457, ARHR: 0.0679105, NOVELTY: 0.0046529, AVERAGE_POPULARITY: 0.0525433, DIVERSITY_MEAN_INTER_LIST: 0.9728815, DIVERSITY_HERFINDAHL: 0.9972683, COVERAGE_ITEM: 0.5465794, COVERAGE_ITEM_CORRECT: 0.0262791, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0933686, DIVERSITY_GINI: 0.2216796, SHANNON_ENTROPY: 11.8817482, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.0} - results: ROC_AUC: 0.1094060, PRECISION: 0.0217726, PRECISION_RECALL_MIN_DEN: 0.0887623, RECALL: 0.0870687, MAP: 0.0370560, MRR: 0.0742416, NDCG: 0.0578761, F1: 0.0348330, HIT_RATE: 0.2177256, ARHR: 0.0809322, NOVELTY: 0.0047126, AVERAGE_POPULARITY: 0.0617660, DIVERSITY_MEAN_INTER_LIST: 0.9922065, DIVERSITY_HERFINDAHL: 0.9992004, COVERAGE_ITEM: 0.4423484, COVERAGE_ITEM_CORRECT: 0.0288354, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1116396, DIVERSITY_GINI: 0.1713465, SHANNON_ENTROPY: 12.0805291, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 29, 'shrink': 967, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.218936394131475} - results: ROC_AUC: 0.1110875, PRECISION: 0.0221165, PRECISION_RECALL_MIN_DEN: 0.0885491, RECALL: 0.0867838, MAP: 0.0375730, MRR: 0.0754837, NDCG: 0.0583464, F1: 0.0352484, HIT_RATE: 0.2211648, ARHR: 0.0827304, NOVELTY: 0.0046723, AVERAGE_POPULARITY: 0.0613518, DIVERSITY_MEAN_INTER_LIST: 0.9923505, DIVERSITY_HERFINDAHL: 0.9992148, COVERAGE_ITEM: 0.5447238, COVERAGE_ITEM_CORRECT: 0.0303985, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1123946, DIVERSITY_GINI: 0.2402496, SHANNON_ENTROPY: 12.4821948, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 985, 'shrink': 15, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.0866776402631977} - results: ROC_AUC: 0.0984966, PRECISION: 0.0194240, PRECISION_RECALL_MIN_DEN: 0.0817691, RECALL: 0.0803403, MAP: 0.0340075, MRR: 0.0663568, NDCG: 0.0527951, F1: 0.0312818, HIT_RATE: 0.1942397, ARHR: 0.0718959, NOVELTY: 0.0047768, AVERAGE_POPULARITY: 0.0280703, DIVERSITY_MEAN_INTER_LIST: 0.9961464, DIVERSITY_HERFINDAHL: 0.9995943, COVERAGE_ITEM: 0.5309952, COVERAGE_ITEM_CORRECT: 0.0318306, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1013213, DIVERSITY_GINI: 0.2499027, SHANNON_ENTROPY: 12.8213955, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 983, 'shrink': 995, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 18.430045480657093} - results: ROC_AUC: 0.1094470, PRECISION: 0.0217399, PRECISION_RECALL_MIN_DEN: 0.0887012, RECALL: 0.0870288, MAP: 0.0370122, MRR: 0.0742621, NDCG: 0.0578320, F1: 0.0347879, HIT_RATE: 0.2173991, ARHR: 0.0809378, NOVELTY: 0.0047134, AVERAGE_POPULARITY: 0.0617174, DIVERSITY_MEAN_INTER_LIST: 0.9922280, DIVERSITY_HERFINDAHL: 0.9992025, COVERAGE_ITEM: 0.4431184, COVERAGE_ITEM_CORRECT: 0.0287969, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1115389, DIVERSITY_GINI: 0.1717939, SHANNON_ENTROPY: 12.0845891, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 22, 'shrink': 965, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 2.009929149628574} - results: ROC_AUC: 0.1093860, PRECISION: 0.0215246, PRECISION_RECALL_MIN_DEN: 0.0867947, RECALL: 0.0851119, MAP: 0.0369843, MRR: 0.0746632, NDCG: 0.0573399, F1: 0.0343569, HIT_RATE: 0.2152456, ARHR: 0.0815091, NOVELTY: 0.0046677, AVERAGE_POPULARITY: 0.0606607, DIVERSITY_MEAN_INTER_LIST: 0.9917781, DIVERSITY_HERFINDAHL: 0.9991575, COVERAGE_ITEM: 0.5505140, COVERAGE_ITEM_CORRECT: 0.0297902, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1103309, DIVERSITY_GINI: 0.2427930, SHANNON_ENTROPY: 12.4694769, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 974, 'shrink': 995, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.60553932995056} - results: ROC_AUC: 0.1093943, PRECISION: 0.0217356, PRECISION_RECALL_MIN_DEN: 0.0886839, RECALL: 0.0870149, MAP: 0.0370516, MRR: 0.0743808, NDCG: 0.0578642, F1: 0.0347816, HIT_RATE: 0.2173560, ARHR: 0.0810772, NOVELTY: 0.0047136, AVERAGE_POPULARITY: 0.0617106, DIVERSITY_MEAN_INTER_LIST: 0.9922343, DIVERSITY_HERFINDAHL: 0.9992032, COVERAGE_ITEM: 0.4433340, COVERAGE_ITEM_CORRECT: 0.0287969, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1113879, DIVERSITY_GINI: 0.1719109, SHANNON_ENTROPY: 12.0856832, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 19, 'shrink': 954, 'similarity': 'jaccard', 'normalize': True, 'icm_weight': 1.26505884707895} - results: ROC_AUC: 0.1077616, PRECISION: 0.0213353, PRECISION_RECALL_MIN_DEN: 0.0863546, RECALL: 0.0846408, MAP: 0.0368521, MRR: 0.0740763, NDCG: 0.0569736, F1: 0.0340783, HIT_RATE: 0.2133531, ARHR: 0.0808888, NOVELTY: 0.0046671, AVERAGE_POPULARITY: 0.0602111, DIVERSITY_MEAN_INTER_LIST: 0.9912622, DIVERSITY_HERFINDAHL: 0.9991060, COVERAGE_ITEM: 0.5528393, COVERAGE_ITEM_CORRECT: 0.0297209, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1091984, DIVERSITY_GINI: 0.2434460, SHANNON_ENTROPY: 12.4515176, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 1.0} - results: ROC_AUC: 0.0930937, PRECISION: 0.0179646, PRECISION_RECALL_MIN_DEN: 0.0730563, RECALL: 0.0716143, MAP: 0.0314168, MRR: 0.0626602, NDCG: 0.0484147, F1: 0.0287223, HIT_RATE: 0.1796457, ARHR: 0.0679105, NOVELTY: 0.0046529, AVERAGE_POPULARITY: 0.0525433, DIVERSITY_MEAN_INTER_LIST: 0.9728815, DIVERSITY_HERFINDAHL: 0.9972683, COVERAGE_ITEM: 0.5465794, COVERAGE_ITEM_CORRECT: 0.0262791, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0933686, DIVERSITY_GINI: 0.2216796, SHANNON_ENTROPY: 11.8817482, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 975, 'shrink': 45, 'similarity': 'jaccard', 'normalize': False, 'icm_weight': 19.68114727053973} - results: ROC_AUC: 0.1029182, PRECISION: 0.0201668, PRECISION_RECALL_MIN_DEN: 0.0836993, RECALL: 0.0821720, MAP: 0.0351427, MRR: 0.0691962, NDCG: 0.0545170, F1: 0.0323833, HIT_RATE: 0.2016679, ARHR: 0.0751989, NOVELTY: 0.0047834, AVERAGE_POPULARITY: 0.0349250, DIVERSITY_MEAN_INTER_LIST: 0.9956780, DIVERSITY_HERFINDAHL: 0.9995474, COVERAGE_ITEM: 0.5027603, COVERAGE_ITEM_CORRECT: 0.0314225, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.1045678, DIVERSITY_GINI: 0.2277110, SHANNON_ENTROPY: 12.6672515, 
