
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 661, 'shrink': 410, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1535106, PRECISION: 0.0313562, PRECISION_RECALL_MIN_DEN: 0.1130736, RECALL: 0.1098939, MAP: 0.0524872, MRR: 0.1127403, NDCG: 0.0794114, F1: 0.0487870, HIT_RATE: 0.3135620, ARHR: 0.1282978, NOVELTY: 0.0045624, AVERAGE_POPULARITY: 0.1623521, DIVERSITY_MEAN_INTER_LIST: 0.9607767, DIVERSITY_HERFINDAHL: 0.9960607, COVERAGE_ITEM: 0.3195303, COVERAGE_ITEM_CORRECT: 0.0297979, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1703536, DIVERSITY_GINI: 0.0725162, SHANNON_ENTROPY: 10.1767548, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 693, 'shrink': 452, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0925369, PRECISION: 0.0200019, PRECISION_RECALL_MIN_DEN: 0.0665728, RECALL: 0.0636863, MAP: 0.0300107, MRR: 0.0661511, NDCG: 0.0456851, F1: 0.0304411, HIT_RATE: 0.2000187, ARHR: 0.0760785, NOVELTY: 0.0057897, AVERAGE_POPULARITY: 0.0117833, DIVERSITY_MEAN_INTER_LIST: 0.9987147, DIVERSITY_HERFINDAHL: 0.9998538, COVERAGE_ITEM: 0.7198075, COVERAGE_ITEM_CORRECT: 0.0408393, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1073109, DIVERSITY_GINI: 0.4565648, SHANNON_ENTROPY: 13.7921759, 

SearchBayesianSkopt-CV: New best config found. Config 19: {'topK': 94, 'shrink': 331, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1665621, PRECISION: 0.0352933, PRECISION_RECALL_MIN_DEN: 0.1203153, RECALL: 0.1161486, MAP: 0.0567864, MRR: 0.1230983, NDCG: 0.0854251, F1: 0.0541333, HIT_RATE: 0.3529326, ARHR: 0.1426145, NOVELTY: 0.0048710, AVERAGE_POPULARITY: 0.0922112, DIVERSITY_MEAN_INTER_LIST: 0.9896172, DIVERSITY_HERFINDAHL: 0.9989442, COVERAGE_ITEM: 0.3986449, COVERAGE_ITEM_CORRECT: 0.0421636, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1843463, DIVERSITY_GINI: 0.1231832, SHANNON_ENTROPY: 11.5236357, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1559082, PRECISION: 0.0319681, PRECISION_RECALL_MIN_DEN: 0.1146930, RECALL: 0.1114642, MAP: 0.0538218, MRR: 0.1147628, NDCG: 0.0811092, F1: 0.0496812, HIT_RATE: 0.3196806, ARHR: 0.1306482, NOVELTY: 0.0046336, AVERAGE_POPULARITY: 0.1547807, DIVERSITY_MEAN_INTER_LIST: 0.9644558, DIVERSITY_HERFINDAHL: 0.9964285, COVERAGE_ITEM: 0.3569278, COVERAGE_ITEM_CORRECT: 0.0312454, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1735749, DIVERSITY_GINI: 0.0903097, SHANNON_ENTROPY: 10.4846358, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1546434, PRECISION: 0.0316462, PRECISION_RECALL_MIN_DEN: 0.1140574, RECALL: 0.1108316, MAP: 0.0530532, MRR: 0.1133496, NDCG: 0.0801880, F1: 0.0492315, HIT_RATE: 0.3164622, ARHR: 0.1290582, NOVELTY: 0.0045666, AVERAGE_POPULARITY: 0.1648098, DIVERSITY_MEAN_INTER_LIST: 0.9591470, DIVERSITY_HERFINDAHL: 0.9958977, COVERAGE_ITEM: 0.3269990, COVERAGE_ITEM_CORRECT: 0.0300828, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1716874, DIVERSITY_GINI: 0.0754143, SHANNON_ENTROPY: 10.1947780, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 15, 'shrink': 999, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1302432, PRECISION: 0.0275560, PRECISION_RECALL_MIN_DEN: 0.0892767, RECALL: 0.0855089, MAP: 0.0435605, MRR: 0.0965887, NDCG: 0.0647780, F1: 0.0416782, HIT_RATE: 0.2755601, ARHR: 0.1122955, NOVELTY: 0.0052354, AVERAGE_POPULARITY: 0.0482030, DIVERSITY_MEAN_INTER_LIST: 0.9944729, DIVERSITY_HERFINDAHL: 0.9994297, COVERAGE_ITEM: 0.5232108, COVERAGE_ITEM_CORRECT: 0.0433494, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1422675, DIVERSITY_GINI: 0.2344932, SHANNON_ENTROPY: 12.6733683, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 24, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1388276, PRECISION: 0.0284666, PRECISION_RECALL_MIN_DEN: 0.1003855, RECALL: 0.0968940, MAP: 0.0482619, MRR: 0.1021632, NDCG: 0.0714261, F1: 0.0440027, HIT_RATE: 0.2846662, ARHR: 0.1172027, NOVELTY: 0.0051803, AVERAGE_POPULARITY: 0.0533220, DIVERSITY_MEAN_INTER_LIST: 0.9959441, DIVERSITY_HERFINDAHL: 0.9995768, COVERAGE_ITEM: 0.4821405, COVERAGE_ITEM_CORRECT: 0.0447353, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1514785, DIVERSITY_GINI: 0.2059637, SHANNON_ENTROPY: 12.5657067, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 999, 'shrink': 19, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1499452, PRECISION: 0.0306991, PRECISION_RECALL_MIN_DEN: 0.1102911, RECALL: 0.1071497, MAP: 0.0507948, MRR: 0.1096746, NDCG: 0.0771950, F1: 0.0477205, HIT_RATE: 0.3069908, ARHR: 0.1247563, NOVELTY: 0.0045243, AVERAGE_POPULARITY: 0.1720446, DIVERSITY_MEAN_INTER_LIST: 0.9544147, DIVERSITY_HERFINDAHL: 0.9954246, COVERAGE_ITEM: 0.3067950, COVERAGE_ITEM_CORRECT: 0.0286429, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1671071, DIVERSITY_GINI: 0.0667411, SHANNON_ENTROPY: 9.9997327, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 991, 'shrink': 978, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1547098, PRECISION: 0.0316638, PRECISION_RECALL_MIN_DEN: 0.1141696, RECALL: 0.1109487, MAP: 0.0531268, MRR: 0.1134771, NDCG: 0.0802778, F1: 0.0492645, HIT_RATE: 0.3166380, ARHR: 0.1291836, NOVELTY: 0.0045673, AVERAGE_POPULARITY: 0.1646656, DIVERSITY_MEAN_INTER_LIST: 0.9592291, DIVERSITY_HERFINDAHL: 0.9959060, COVERAGE_ITEM: 0.3272377, COVERAGE_ITEM_CORRECT: 0.0301290, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1718888, DIVERSITY_GINI: 0.0755423, SHANNON_ENTROPY: 10.1980093, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 983, 'shrink': 32, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1521130, PRECISION: 0.0309889, PRECISION_RECALL_MIN_DEN: 0.1123018, RECALL: 0.1091661, MAP: 0.0519572, MRR: 0.1111971, NDCG: 0.0786644, F1: 0.0482705, HIT_RATE: 0.3098889, ARHR: 0.1263773, NOVELTY: 0.0045406, AVERAGE_POPULARITY: 0.1690363, DIVERSITY_MEAN_INTER_LIST: 0.9563612, DIVERSITY_HERFINDAHL: 0.9956192, COVERAGE_ITEM: 0.3139865, COVERAGE_ITEM_CORRECT: 0.0293205, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1689191, DIVERSITY_GINI: 0.0697747, SHANNON_ENTROPY: 10.0721373, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 986, 'shrink': 993, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1546611, PRECISION: 0.0316461, PRECISION_RECALL_MIN_DEN: 0.1140727, RECALL: 0.1108491, MAP: 0.0530774, MRR: 0.1134307, NDCG: 0.0802160, F1: 0.0492330, HIT_RATE: 0.3164611, ARHR: 0.1291283, NOVELTY: 0.0045671, AVERAGE_POPULARITY: 0.1646907, DIVERSITY_MEAN_INTER_LIST: 0.9592221, DIVERSITY_HERFINDAHL: 0.9959053, COVERAGE_ITEM: 0.3271299, COVERAGE_ITEM_CORRECT: 0.0300905, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1717629, DIVERSITY_GINI: 0.0754804, SHANNON_ENTROPY: 10.1969977, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 996, 'shrink': 11, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1517768, PRECISION: 0.0310949, PRECISION_RECALL_MIN_DEN: 0.1118142, RECALL: 0.1086351, MAP: 0.0516322, MRR: 0.1109821, NDCG: 0.0783350, F1: 0.0483473, HIT_RATE: 0.3109490, ARHR: 0.1262378, NOVELTY: 0.0045319, AVERAGE_POPULARITY: 0.1706784, DIVERSITY_MEAN_INTER_LIST: 0.9554840, DIVERSITY_HERFINDAHL: 0.9955315, COVERAGE_ITEM: 0.3099134, COVERAGE_ITEM_CORRECT: 0.0293282, COVERAGE_USER: 0.7121681, COVERAGE_USER_CORRECT: 0.1692211, DIVERSITY_GINI: 0.0681363, SHANNON_ENTROPY: 10.0377127, 
