SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 728, 'shrink': 783, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0623461, PRECISION: 0.0125683, PRECISION_RECALL_MIN_DEN: 0.0474396, RECALL: 0.0462817, MAP: 0.0194542, MRR: 0.0425494, NDCG: 0.0311407, F1: 0.0197671, HIT_RATE: 0.1256833, ARHR: 0.0463187, NOVELTY: 0.0047479, AVERAGE_POPULARITY: 0.0170047, DIVERSITY_MEAN_INTER_LIST: 0.9966646, DIVERSITY_HERFINDAHL: 0.9996461, COVERAGE_ITEM: 0.6167007, COVERAGE_ITEM_CORRECT: 0.0222599, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0643513, DIVERSITY_GINI: 0.3203725, SHANNON_ENTROPY: 13.1620100, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 428, 'shrink': 961, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0614900, PRECISION: 0.0124871, PRECISION_RECALL_MIN_DEN: 0.0468530, RECALL: 0.0456693, MAP: 0.0192140, MRR: 0.0419766, NDCG: 0.0307256, F1: 0.0196107, HIT_RATE: 0.1248709, ARHR: 0.0457784, NOVELTY: 0.0047434, AVERAGE_POPULARITY: 0.0166935, DIVERSITY_MEAN_INTER_LIST: 0.9966777, DIVERSITY_HERFINDAHL: 0.9996474, COVERAGE_ITEM: 0.6109952, COVERAGE_ITEM_CORRECT: 0.0221521, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0639235, DIVERSITY_GINI: 0.3179370, SHANNON_ENTROPY: 13.1564502, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 498, 'shrink': 246, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0562280, PRECISION: 0.0108070, PRECISION_RECALL_MIN_DEN: 0.0413126, RECALL: 0.0403946, MAP: 0.0178117, MRR: 0.0382927, NDCG: 0.0279054, F1: 0.0170511, HIT_RATE: 0.1080699, ARHR: 0.0410495, NOVELTY: 0.0047406, AVERAGE_POPULARITY: 0.0154356, DIVERSITY_MEAN_INTER_LIST: 0.9957116, DIVERSITY_HERFINDAHL: 0.9995508, COVERAGE_ITEM: 0.4864755, COVERAGE_ITEM_CORRECT: 0.0189105, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0573550, DIVERSITY_GINI: 0.2256341, SHANNON_ENTROPY: 12.6696073, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 271, 'shrink': 720, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0567392, PRECISION: 0.0108426, PRECISION_RECALL_MIN_DEN: 0.0411672, RECALL: 0.0402445, MAP: 0.0179239, MRR: 0.0385742, NDCG: 0.0280023, F1: 0.0170821, HIT_RATE: 0.1084264, ARHR: 0.0414484, NOVELTY: 0.0047344, AVERAGE_POPULARITY: 0.0153734, DIVERSITY_MEAN_INTER_LIST: 0.9957519, DIVERSITY_HERFINDAHL: 0.9995548, COVERAGE_ITEM: 0.4929586, COVERAGE_ITEM_CORRECT: 0.0189644, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0573298, DIVERSITY_GINI: 0.2314639, SHANNON_ENTROPY: 12.7079357, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 95, 'shrink': 502, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0580228, PRECISION: 0.0114362, PRECISION_RECALL_MIN_DEN: 0.0438842, RECALL: 0.0428894, MAP: 0.0182131, MRR: 0.0394101, NDCG: 0.0289746, F1: 0.0180565, HIT_RATE: 0.1143622, ARHR: 0.0426955, NOVELTY: 0.0047383, AVERAGE_POPULARITY: 0.0164708, DIVERSITY_MEAN_INTER_LIST: 0.9963926, DIVERSITY_HERFINDAHL: 0.9996189, COVERAGE_ITEM: 0.6049894, COVERAGE_ITEM_CORRECT: 0.0202887, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0594438, DIVERSITY_GINI: 0.3114613, SHANNON_ENTROPY: 13.1055496, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 820, 'shrink': 571, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0685817, PRECISION: 0.0140408, PRECISION_RECALL_MIN_DEN: 0.0542973, RECALL: 0.0530287, MAP: 0.0224118, MRR: 0.0462133, NDCG: 0.0354236, F1: 0.0222019, HIT_RATE: 0.1404077, ARHR: 0.0501066, NOVELTY: 0.0047499, AVERAGE_POPULARITY: 0.0162427, DIVERSITY_MEAN_INTER_LIST: 0.9959996, DIVERSITY_HERFINDAHL: 0.9995796, COVERAGE_ITEM: 0.5315804, COVERAGE_ITEM_CORRECT: 0.0244004, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0726060, DIVERSITY_GINI: 0.2570531, SHANNON_ENTROPY: 12.8420057, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 659, 'shrink': 694, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0724686, PRECISION: 0.0145674, PRECISION_RECALL_MIN_DEN: 0.0567540, RECALL: 0.0555016, MAP: 0.0238011, MRR: 0.0491876, NDCG: 0.0373829, F1: 0.0230769, HIT_RATE: 0.1456741, ARHR: 0.0534945, NOVELTY: 0.0047532, AVERAGE_POPULARITY: 0.0166681, DIVERSITY_MEAN_INTER_LIST: 0.9965300, DIVERSITY_HERFINDAHL: 0.9996326, COVERAGE_ITEM: 0.5824678, COVERAGE_ITEM_CORRECT: 0.0254552, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0750220, DIVERSITY_GINI: 0.2979369, SHANNON_ENTROPY: 13.0656240, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 461, 'shrink': 500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0687823, PRECISION: 0.0139338, PRECISION_RECALL_MIN_DEN: 0.0541373, RECALL: 0.0529001, MAP: 0.0223743, MRR: 0.0463061, NDCG: 0.0353335, F1: 0.0220572, HIT_RATE: 0.1393384, ARHR: 0.0501454, NOVELTY: 0.0047456, AVERAGE_POPULARITY: 0.0162347, DIVERSITY_MEAN_INTER_LIST: 0.9961538, DIVERSITY_HERFINDAHL: 0.9995950, COVERAGE_ITEM: 0.5369240, COVERAGE_ITEM_CORRECT: 0.0243234, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0724550, DIVERSITY_GINI: 0.2622464, SHANNON_ENTROPY: 12.8803392, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 523, 'shrink': 407, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0614455, PRECISION: 0.0124702, PRECISION_RECALL_MIN_DEN: 0.0468557, RECALL: 0.0456673, MAP: 0.0192717, MRR: 0.0420539, NDCG: 0.0307740, F1: 0.0195890, HIT_RATE: 0.1247016, ARHR: 0.0458325, NOVELTY: 0.0047426, AVERAGE_POPULARITY: 0.0167036, DIVERSITY_MEAN_INTER_LIST: 0.9966864, DIVERSITY_HERFINDAHL: 0.9996483, COVERAGE_ITEM: 0.6115419, COVERAGE_ITEM_CORRECT: 0.0221367, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0636970, DIVERSITY_GINI: 0.3182473, SHANNON_ENTROPY: 13.1586803, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 943, 'shrink': 246, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0557699, PRECISION: 0.0108026, PRECISION_RECALL_MIN_DEN: 0.0414544, RECALL: 0.0405486, MAP: 0.0179298, MRR: 0.0378879, NDCG: 0.0279764, F1: 0.0170586, HIT_RATE: 0.1080257, ARHR: 0.0406589, NOVELTY: 0.0047466, AVERAGE_POPULARITY: 0.0153961, DIVERSITY_MEAN_INTER_LIST: 0.9955110, DIVERSITY_HERFINDAHL: 0.9995308, COVERAGE_ITEM: 0.4811781, COVERAGE_ITEM_CORRECT: 0.0189182, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0570781, DIVERSITY_GINI: 0.2199295, SHANNON_ENTROPY: 12.6219093, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 722, 'shrink': 405, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0687725, PRECISION: 0.0139711, PRECISION_RECALL_MIN_DEN: 0.0540833, RECALL: 0.0528504, MAP: 0.0224375, MRR: 0.0462991, NDCG: 0.0354066, F1: 0.0220991, HIT_RATE: 0.1397108, ARHR: 0.0501855, NOVELTY: 0.0047490, AVERAGE_POPULARITY: 0.0162362, DIVERSITY_MEAN_INTER_LIST: 0.9960443, DIVERSITY_HERFINDAHL: 0.9995841, COVERAGE_ITEM: 0.5327969, COVERAGE_ITEM_CORRECT: 0.0243157, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0723292, DIVERSITY_GINI: 0.2582574, SHANNON_ENTROPY: 12.8513357, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 376, 'shrink': 750, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0612692, PRECISION: 0.0123563, PRECISION_RECALL_MIN_DEN: 0.0465645, RECALL: 0.0453784, MAP: 0.0191123, MRR: 0.0415901, NDCG: 0.0305219, F1: 0.0194229, HIT_RATE: 0.1235630, ARHR: 0.0453522, NOVELTY: 0.0047413, AVERAGE_POPULARITY: 0.0166798, DIVERSITY_MEAN_INTER_LIST: 0.9966694, DIVERSITY_HERFINDAHL: 0.9996466, COVERAGE_ITEM: 0.6106025, COVERAGE_ITEM_CORRECT: 0.0219211, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0631685, DIVERSITY_GINI: 0.3175819, SHANNON_ENTROPY: 13.1546388, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 514, 'shrink': 233, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0618155, PRECISION: 0.0125640, PRECISION_RECALL_MIN_DEN: 0.0473952, RECALL: 0.0462459, MAP: 0.0192742, MRR: 0.0419711, NDCG: 0.0309621, F1: 0.0197583, HIT_RATE: 0.1256398, ARHR: 0.0457314, NOVELTY: 0.0047526, AVERAGE_POPULARITY: 0.0173896, DIVERSITY_MEAN_INTER_LIST: 0.9965916, DIVERSITY_HERFINDAHL: 0.9996388, COVERAGE_ITEM: 0.6189952, COVERAGE_ITEM_CORRECT: 0.0222522, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0643262, DIVERSITY_GINI: 0.3192931, SHANNON_ENTROPY: 13.1472783, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 837, 'shrink': 154, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0563415, PRECISION: 0.0108845, PRECISION_RECALL_MIN_DEN: 0.0418185, RECALL: 0.0409226, MAP: 0.0180492, MRR: 0.0382502, NDCG: 0.0282029, F1: 0.0171939, HIT_RATE: 0.1088454, ARHR: 0.0410639, NOVELTY: 0.0047458, AVERAGE_POPULARITY: 0.0154633, DIVERSITY_MEAN_INTER_LIST: 0.9956992, DIVERSITY_HERFINDAHL: 0.9995496, COVERAGE_ITEM: 0.4887700, COVERAGE_ITEM_CORRECT: 0.0190799, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0574556, DIVERSITY_GINI: 0.2261549, SHANNON_ENTROPY: 12.6694226, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 804, 'shrink': 233, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0686105, PRECISION: 0.0140530, PRECISION_RECALL_MIN_DEN: 0.0543304, RECALL: 0.0530617, MAP: 0.0224713, MRR: 0.0462584, NDCG: 0.0354775, F1: 0.0222202, HIT_RATE: 0.1405297, ARHR: 0.0501573, NOVELTY: 0.0047502, AVERAGE_POPULARITY: 0.0162387, DIVERSITY_MEAN_INTER_LIST: 0.9960098, DIVERSITY_HERFINDAHL: 0.9995806, COVERAGE_ITEM: 0.5317421, COVERAGE_ITEM_CORRECT: 0.0244543, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0726815, DIVERSITY_GINI: 0.2572514, SHANNON_ENTROPY: 12.8436438, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 755, 'shrink': 760, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0722224, PRECISION: 0.0145762, PRECISION_RECALL_MIN_DEN: 0.0566438, RECALL: 0.0553634, MAP: 0.0237408, MRR: 0.0490053, NDCG: 0.0372873, F1: 0.0230759, HIT_RATE: 0.1457620, ARHR: 0.0533327, NOVELTY: 0.0047535, AVERAGE_POPULARITY: 0.0166636, DIVERSITY_MEAN_INTER_LIST: 0.9965159, DIVERSITY_HERFINDAHL: 0.9996312, COVERAGE_ITEM: 0.5799423, COVERAGE_ITEM_CORRECT: 0.0254552, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0749969, DIVERSITY_GINI: 0.2958665, SHANNON_ENTROPY: 13.0561264, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 58, 'shrink': 104, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0561777, PRECISION: 0.0109413, PRECISION_RECALL_MIN_DEN: 0.0426547, RECALL: 0.0417506, MAP: 0.0174246, MRR: 0.0379339, NDCG: 0.0279350, F1: 0.0173377, HIT_RATE: 0.1094131, ARHR: 0.0408612, NOVELTY: 0.0047471, AVERAGE_POPULARITY: 0.0174393, DIVERSITY_MEAN_INTER_LIST: 0.9963355, DIVERSITY_HERFINDAHL: 0.9996132, COVERAGE_ITEM: 0.6147834, COVERAGE_ITEM_CORRECT: 0.0193263, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0575815, DIVERSITY_GINI: 0.3134378, SHANNON_ENTROPY: 13.1011186, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 656, 'shrink': 69, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0617970, PRECISION: 0.0125315, PRECISION_RECALL_MIN_DEN: 0.0470806, RECALL: 0.0458890, MAP: 0.0193341, MRR: 0.0422104, NDCG: 0.0308935, F1: 0.0196852, HIT_RATE: 0.1253149, ARHR: 0.0459709, NOVELTY: 0.0047417, AVERAGE_POPULARITY: 0.0167162, DIVERSITY_MEAN_INTER_LIST: 0.9966967, DIVERSITY_HERFINDAHL: 0.9996493, COVERAGE_ITEM: 0.6122271, COVERAGE_ITEM_CORRECT: 0.0222214, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0641752, DIVERSITY_GINI: 0.3189117, SHANNON_ENTROPY: 13.1622592, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 851, 'shrink': 455, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0623021, PRECISION: 0.0126784, PRECISION_RECALL_MIN_DEN: 0.0475904, RECALL: 0.0464132, MAP: 0.0194015, MRR: 0.0425384, NDCG: 0.0311656, F1: 0.0199146, HIT_RATE: 0.1267841, ARHR: 0.0463216, NOVELTY: 0.0047499, AVERAGE_POPULARITY: 0.0171567, DIVERSITY_MEAN_INTER_LIST: 0.9966526, DIVERSITY_HERFINDAHL: 0.9996449, COVERAGE_ITEM: 0.6180866, COVERAGE_ITEM_CORRECT: 0.0224139, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0647792, DIVERSITY_GINI: 0.3203733, SHANNON_ENTROPY: 13.1597943, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 930, 'shrink': 114, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0619945, PRECISION: 0.0126662, PRECISION_RECALL_MIN_DEN: 0.0476844, RECALL: 0.0465307, MAP: 0.0191621, MRR: 0.0419915, NDCG: 0.0309811, F1: 0.0199107, HIT_RATE: 0.1266620, ARHR: 0.0456394, NOVELTY: 0.0047558, AVERAGE_POPULARITY: 0.0176897, DIVERSITY_MEAN_INTER_LIST: 0.9965571, DIVERSITY_HERFINDAHL: 0.9996353, COVERAGE_ITEM: 0.6188027, COVERAGE_ITEM_CORRECT: 0.0223446, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0652070, DIVERSITY_GINI: 0.3172579, SHANNON_ENTROPY: 13.1346965, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 14, 'shrink': 39, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0582356, PRECISION: 0.0111091, PRECISION_RECALL_MIN_DEN: 0.0442507, RECALL: 0.0433633, MAP: 0.0189197, MRR: 0.0390332, NDCG: 0.0295160, F1: 0.0176853, HIT_RATE: 0.1110912, ARHR: 0.0419684, NOVELTY: 0.0047419, AVERAGE_POPULARITY: 0.0174716, DIVERSITY_MEAN_INTER_LIST: 0.9957670, DIVERSITY_HERFINDAHL: 0.9995563, COVERAGE_ITEM: 0.6261405, COVERAGE_ITEM_CORRECT: 0.0198653, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0586888, DIVERSITY_GINI: 0.3213913, SHANNON_ENTROPY: 13.1175305, 
