SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 56, 'shrink': 100, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2528200250940458, 'tversky_beta': 1.2449034044931075} - results: ROC_AUC: 0.0778437, PRECISION: 0.0154652, PRECISION_RECALL_MIN_DEN: 0.0631707, RECALL: 0.0618525, MAP: 0.0261163, MRR: 0.0518936, NDCG: 0.0407557, F1: 0.0247430, HIT_RATE: 0.1546520, ARHR: 0.0565182, NOVELTY: 0.0047913, AVERAGE_POPULARITY: 0.0187716, DIVERSITY_MEAN_INTER_LIST: 0.9963650, DIVERSITY_HERFINDAHL: 0.9996161, COVERAGE_ITEM: 0.5695553, COVERAGE_ITEM_CORRECT: 0.0270491, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0803322, DIVERSITY_GINI: 0.2860379, SHANNON_ENTROPY: 13.0167541, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 261, 'shrink': 500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0902936897068707, 'tversky_beta': 1.0748442608390005} - results: ROC_AUC: 0.0729778, PRECISION: 0.0146240, PRECISION_RECALL_MIN_DEN: 0.0604956, RECALL: 0.0592537, MAP: 0.0241752, MRR: 0.0481475, NDCG: 0.0382606, F1: 0.0234574, HIT_RATE: 0.1462400, ARHR: 0.0520975, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.0185863, DIVERSITY_MEAN_INTER_LIST: 0.9957782, DIVERSITY_HERFINDAHL: 0.9995575, COVERAGE_ITEM: 0.5001963, COVERAGE_ITEM_CORRECT: 0.0251550, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0762804, DIVERSITY_GINI: 0.2280694, SHANNON_ENTROPY: 12.6847708, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 430, 'shrink': 280, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.006374351682614911, 'tversky_beta': 0.2895150125026192} - results: ROC_AUC: 0.0715143, PRECISION: 0.0143288, PRECISION_RECALL_MIN_DEN: 0.0595714, RECALL: 0.0583891, MAP: 0.0237788, MRR: 0.0470758, NDCG: 0.0375939, F1: 0.0230089, HIT_RATE: 0.1432877, ARHR: 0.0509860, NOVELTY: 0.0048154, AVERAGE_POPULARITY: 0.0184041, DIVERSITY_MEAN_INTER_LIST: 0.9955323, DIVERSITY_HERFINDAHL: 0.9995329, COVERAGE_ITEM: 0.4866295, COVERAGE_ITEM_CORRECT: 0.0245313, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0752234, DIVERSITY_GINI: 0.2163517, SHANNON_ENTROPY: 12.5999179, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 469, 'shrink': 156, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9487906566416078, 'tversky_beta': 0.45818792669342556} - results: ROC_AUC: 0.0748223, PRECISION: 0.0148887, PRECISION_RECALL_MIN_DEN: 0.0611684, RECALL: 0.0599525, MAP: 0.0250543, MRR: 0.0496593, NDCG: 0.0392329, F1: 0.0238506, HIT_RATE: 0.1488871, ARHR: 0.0537723, NOVELTY: 0.0048104, AVERAGE_POPULARITY: 0.0186337, DIVERSITY_MEAN_INTER_LIST: 0.9958476, DIVERSITY_HERFINDAHL: 0.9995644, COVERAGE_ITEM: 0.4990953, COVERAGE_ITEM_CORRECT: 0.0255938, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0779414, DIVERSITY_GINI: 0.2291858, SHANNON_ENTROPY: 12.7007804, 
SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 282, 'shrink': 13, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1415654194011693, 'tversky_beta': 1.8776506336950853} - results: ROC_AUC: 0.0765581, PRECISION: 0.0153629, PRECISION_RECALL_MIN_DEN: 0.0644824, RECALL: 0.0632131, MAP: 0.0262111, MRR: 0.0513822, NDCG: 0.0410026, F1: 0.0247176, HIT_RATE: 0.1536288, ARHR: 0.0557731, NOVELTY: 0.0048001, AVERAGE_POPULARITY: 0.0194615, DIVERSITY_MEAN_INTER_LIST: 0.9961424, DIVERSITY_HERFINDAHL: 0.9995939, COVERAGE_ITEM: 0.5438229, COVERAGE_ITEM_CORRECT: 0.0266872, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0801309, DIVERSITY_GINI: 0.2617838, SHANNON_ENTROPY: 12.8796676, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 376, 'shrink': 983, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7110803898153969, 'tversky_beta': 1.520279955538571} - results: ROC_AUC: 0.0725128, PRECISION: 0.0146023, PRECISION_RECALL_MIN_DEN: 0.0611775, RECALL: 0.0600105, MAP: 0.0244108, MRR: 0.0479838, NDCG: 0.0385596, F1: 0.0234865, HIT_RATE: 0.1460232, ARHR: 0.0519348, NOVELTY: 0.0048116, AVERAGE_POPULARITY: 0.0185405, DIVERSITY_MEAN_INTER_LIST: 0.9956745, DIVERSITY_HERFINDAHL: 0.9995471, COVERAGE_ITEM: 0.4931049, COVERAGE_ITEM_CORRECT: 0.0250472, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0764062, DIVERSITY_GINI: 0.2220212, SHANNON_ENTROPY: 12.6427327, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 892, 'shrink': 550, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4868171581826655, 'tversky_beta': 1.4145491454086039} - results: ROC_AUC: 0.0717599, PRECISION: 0.0143620, PRECISION_RECALL_MIN_DEN: 0.0596663, RECALL: 0.0585129, MAP: 0.0240520, MRR: 0.0474708, NDCG: 0.0379092, F1: 0.0230610, HIT_RATE: 0.1436204, ARHR: 0.0512021, NOVELTY: 0.0048192, AVERAGE_POPULARITY: 0.0187116, DIVERSITY_MEAN_INTER_LIST: 0.9953961, DIVERSITY_HERFINDAHL: 0.9995193, COVERAGE_ITEM: 0.4713301, COVERAGE_ITEM_CORRECT: 0.0244620, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0758022, DIVERSITY_GINI: 0.2043670, SHANNON_ENTROPY: 12.5226044, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 175, 'shrink': 816, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.15952710153280883, 'tversky_beta': 0.40764122686144655} - results: ROC_AUC: 0.0739393, PRECISION: 0.0149470, PRECISION_RECALL_MIN_DEN: 0.0617067, RECALL: 0.0604381, MAP: 0.0245925, MRR: 0.0488456, NDCG: 0.0389288, F1: 0.0239641, HIT_RATE: 0.1494698, ARHR: 0.0530582, NOVELTY: 0.0048043, AVERAGE_POPULARITY: 0.0186783, DIVERSITY_MEAN_INTER_LIST: 0.9960216, DIVERSITY_HERFINDAHL: 0.9995818, COVERAGE_ITEM: 0.5216477, COVERAGE_ITEM_CORRECT: 0.0257632, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0777904, DIVERSITY_GINI: 0.2452026, SHANNON_ENTROPY: 12.7925365, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 489, 'shrink': 601, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0579056978510841, 'tversky_beta': 1.239519943620373} - results: ROC_AUC: 0.0729499, PRECISION: 0.0145780, PRECISION_RECALL_MIN_DEN: 0.0605375, RECALL: 0.0593592, MAP: 0.0243712, MRR: 0.0482118, NDCG: 0.0384180, F1: 0.0234049, HIT_RATE: 0.1457796, ARHR: 0.0520778, NOVELTY: 0.0048153, AVERAGE_POPULARITY: 0.0186710, DIVERSITY_MEAN_INTER_LIST: 0.9956466, DIVERSITY_HERFINDAHL: 0.9995443, COVERAGE_ITEM: 0.4877998, COVERAGE_ITEM_CORRECT: 0.0249933, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0768844, DIVERSITY_GINI: 0.2180080, SHANNON_ENTROPY: 12.6199319, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 813, 'shrink': 649, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.625639383952065, 'tversky_beta': 0.8231284335968048} - results: ROC_AUC: 0.0711160, PRECISION: 0.0143006, PRECISION_RECALL_MIN_DEN: 0.0594476, RECALL: 0.0582589, MAP: 0.0236685, MRR: 0.0467293, NDCG: 0.0374709, F1: 0.0229626, HIT_RATE: 0.1430061, ARHR: 0.0504080, NOVELTY: 0.0048227, AVERAGE_POPULARITY: 0.0186591, DIVERSITY_MEAN_INTER_LIST: 0.9952661, DIVERSITY_HERFINDAHL: 0.9995063, COVERAGE_ITEM: 0.4707064, COVERAGE_ITEM_CORRECT: 0.0244312, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0754247, DIVERSITY_GINI: 0.2026397, SHANNON_ENTROPY: 12.4990533, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 471, 'shrink': 16, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6799059529918717, 'tversky_beta': 1.3405925336606062} - results: ROC_AUC: 0.0769363, PRECISION: 0.0150972, PRECISION_RECALL_MIN_DEN: 0.0631834, RECALL: 0.0619685, MAP: 0.0259549, MRR: 0.0513093, NDCG: 0.0404897, F1: 0.0242761, HIT_RATE: 0.1509725, ARHR: 0.0555344, NOVELTY: 0.0048090, AVERAGE_POPULARITY: 0.0191068, DIVERSITY_MEAN_INTER_LIST: 0.9960380, DIVERSITY_HERFINDAHL: 0.9995834, COVERAGE_ITEM: 0.5264986, COVERAGE_ITEM_CORRECT: 0.0259942, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0790487, DIVERSITY_GINI: 0.2492636, SHANNON_ENTROPY: 12.8148390, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 227, 'shrink': 158, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.476670728968087, 'tversky_beta': 0.32895088842296333} - results: ROC_AUC: 0.0767769, PRECISION: 0.0152906, PRECISION_RECALL_MIN_DEN: 0.0629843, RECALL: 0.0616462, MAP: 0.0257642, MRR: 0.0512035, NDCG: 0.0402921, F1: 0.0245025, HIT_RATE: 0.1529060, ARHR: 0.0555852, NOVELTY: 0.0048007, AVERAGE_POPULARITY: 0.0186786, DIVERSITY_MEAN_INTER_LIST: 0.9961390, DIVERSITY_HERFINDAHL: 0.9995935, COVERAGE_ITEM: 0.5274225, COVERAGE_ITEM_CORRECT: 0.0264177, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0794010, DIVERSITY_GINI: 0.2528463, SHANNON_ENTROPY: 12.8450866, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 182, 'shrink': 263, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9139359249967007, 'tversky_beta': 1.3838731220980316} - results: ROC_AUC: 0.0753779, PRECISION: 0.0150577, PRECISION_RECALL_MIN_DEN: 0.0623088, RECALL: 0.0610403, MAP: 0.0250662, MRR: 0.0499041, NDCG: 0.0395163, F1: 0.0241542, HIT_RATE: 0.1505766, ARHR: 0.0542001, NOVELTY: 0.0048031, AVERAGE_POPULARITY: 0.0187764, DIVERSITY_MEAN_INTER_LIST: 0.9960731, DIVERSITY_HERFINDAHL: 0.9995870, COVERAGE_ITEM: 0.5208085, COVERAGE_ITEM_CORRECT: 0.0259557, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0782937, DIVERSITY_GINI: 0.2461768, SHANNON_ENTROPY: 12.8058999, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 389, 'shrink': 181, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9131369699572789, 'tversky_beta': 1.0491022207009337} - results: ROC_AUC: 0.0757066, PRECISION: 0.0151058, PRECISION_RECALL_MIN_DEN: 0.0628374, RECALL: 0.0616346, MAP: 0.0256353, MRR: 0.0504936, NDCG: 0.0401066, F1: 0.0242624, HIT_RATE: 0.1510578, ARHR: 0.0547678, NOVELTY: 0.0048086, AVERAGE_POPULARITY: 0.0186809, DIVERSITY_MEAN_INTER_LIST: 0.9959646, DIVERSITY_HERFINDAHL: 0.9995761, COVERAGE_ITEM: 0.5123542, COVERAGE_ITEM_CORRECT: 0.0260481, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0789229, DIVERSITY_GINI: 0.2401094, SHANNON_ENTROPY: 12.7665308, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 738, 'shrink': 242, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9448695687800175, 'tversky_beta': 0.4574164107262776} - results: ROC_AUC: 0.0732971, PRECISION: 0.0143620, PRECISION_RECALL_MIN_DEN: 0.0597690, RECALL: 0.0585963, MAP: 0.0244720, MRR: 0.0484132, NDCG: 0.0382811, F1: 0.0230682, HIT_RATE: 0.1436195, ARHR: 0.0522393, NOVELTY: 0.0048165, AVERAGE_POPULARITY: 0.0186458, DIVERSITY_MEAN_INTER_LIST: 0.9955776, DIVERSITY_HERFINDAHL: 0.9995374, COVERAGE_ITEM: 0.4803696, COVERAGE_ITEM_CORRECT: 0.0245082, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0757267, DIVERSITY_GINI: 0.2126682, SHANNON_ENTROPY: 12.5872234, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 799, 'shrink': 394, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9961050160410305, 'tversky_beta': 1.1209349093665033} - results: ROC_AUC: 0.0722532, PRECISION: 0.0143702, PRECISION_RECALL_MIN_DEN: 0.0597760, RECALL: 0.0586067, MAP: 0.0240807, MRR: 0.0476227, NDCG: 0.0379462, F1: 0.0230794, HIT_RATE: 0.1437016, ARHR: 0.0513593, NOVELTY: 0.0048183, AVERAGE_POPULARITY: 0.0186959, DIVERSITY_MEAN_INTER_LIST: 0.9954369, DIVERSITY_HERFINDAHL: 0.9995233, COVERAGE_ITEM: 0.4738941, COVERAGE_ITEM_CORRECT: 0.0245082, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0758777, DIVERSITY_GINI: 0.2063595, SHANNON_ENTROPY: 12.5372339, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 803, 'shrink': 750, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.8489414396742121, 'tversky_beta': 1.4097957641739163} - results: ROC_AUC: 0.0713049, PRECISION: 0.0142925, PRECISION_RECALL_MIN_DEN: 0.0595704, RECALL: 0.0583879, MAP: 0.0237078, MRR: 0.0467909, NDCG: 0.0375297, F1: 0.0229619, HIT_RATE: 0.1429248, ARHR: 0.0504456, NOVELTY: 0.0048223, AVERAGE_POPULARITY: 0.0186605, DIVERSITY_MEAN_INTER_LIST: 0.9952839, DIVERSITY_HERFINDAHL: 0.9995080, COVERAGE_ITEM: 0.4702830, COVERAGE_ITEM_CORRECT: 0.0243927, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0755002, DIVERSITY_GINI: 0.2025818, SHANNON_ENTROPY: 12.5005609, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 743, 'shrink': 909, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0011739313014651, 'tversky_beta': 0.2550771916723252} - results: ROC_AUC: 0.0717059, PRECISION: 0.0142516, PRECISION_RECALL_MIN_DEN: 0.0594127, RECALL: 0.0582132, MAP: 0.0238224, MRR: 0.0469687, NDCG: 0.0375702, F1: 0.0228961, HIT_RATE: 0.1425160, ARHR: 0.0507511, NOVELTY: 0.0048217, AVERAGE_POPULARITY: 0.0186330, DIVERSITY_MEAN_INTER_LIST: 0.9953665, DIVERSITY_HERFINDAHL: 0.9995163, COVERAGE_ITEM: 0.4753648, COVERAGE_ITEM_CORRECT: 0.0243619, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0750220, DIVERSITY_GINI: 0.2065137, SHANNON_ENTROPY: 12.5297429, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 99, 'shrink': 857, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7160254209358776, 'tversky_beta': 0.4444260791985398} - results: ROC_AUC: 0.0753223, PRECISION: 0.0152003, PRECISION_RECALL_MIN_DEN: 0.0619798, RECALL: 0.0606842, MAP: 0.0251400, MRR: 0.0503332, NDCG: 0.0395815, F1: 0.0243093, HIT_RATE: 0.1520029, ARHR: 0.0546744, NOVELTY: 0.0047979, AVERAGE_POPULARITY: 0.0187974, DIVERSITY_MEAN_INTER_LIST: 0.9962361, DIVERSITY_HERFINDAHL: 0.9996032, COVERAGE_ITEM: 0.5414360, COVERAGE_ITEM_CORRECT: 0.0266102, COVERAGE_USER: 0.6157292, COVERAGE_USER_CORRECT: 0.0787719, DIVERSITY_GINI: 0.2620561, SHANNON_ENTROPY: 12.8949285, 
