
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 244, 'shrink': 677, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2409847596477004, 'feature_weighting': 'BM25', 'icm_weight': 17.810169881619476} - results: ROC_AUC: 0.0909449, PRECISION: 0.0192130, PRECISION_RECALL_MIN_DEN: 0.0752112, RECALL: 0.0734502, MAP: 0.0294321, MRR: 0.0615929, NDCG: 0.0474264, F1: 0.0304580, HIT_RATE: 0.1921295, ARHR: 0.0678792, NOVELTY: 0.0049300, AVERAGE_POPULARITY: 0.0165417, DIVERSITY_MEAN_INTER_LIST: 0.9972030, DIVERSITY_HERFINDAHL: 0.9997014, COVERAGE_ITEM: 0.5363157, COVERAGE_ITEM_CORRECT: 0.0352801, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1057254, DIVERSITY_GINI: 0.2512819, SHANNON_ENTROPY: 12.8914209, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 215, 'shrink': 145, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6457599889285615, 'feature_weighting': 'TF-IDF', 'icm_weight': 4.845637086865731} - results: ROC_AUC: 0.0499182, PRECISION: 0.0104838, PRECISION_RECALL_MIN_DEN: 0.0380084, RECALL: 0.0367562, MAP: 0.0143660, MRR: 0.0329064, NDCG: 0.0238158, F1: 0.0163125, HIT_RATE: 0.1048377, ARHR: 0.0357241, NOVELTY: 0.0049294, AVERAGE_POPULARITY: 0.0121952, DIVERSITY_MEAN_INTER_LIST: 0.9948928, DIVERSITY_HERFINDAHL: 0.9994704, COVERAGE_ITEM: 0.3682233, COVERAGE_ITEM_CORRECT: 0.0196035, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0592928, DIVERSITY_GINI: 0.1489637, SHANNON_ENTROPY: 12.1324903, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 860, 'shrink': 95, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8253679498384128, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.356579085842078} - results: ROC_AUC: 0.0645183, PRECISION: 0.0137518, PRECISION_RECALL_MIN_DEN: 0.0530418, RECALL: 0.0517974, MAP: 0.0197097, MRR: 0.0423737, NDCG: 0.0327611, F1: 0.0217321, HIT_RATE: 0.1375177, ARHR: 0.0462674, NOVELTY: 0.0048393, AVERAGE_POPULARITY: 0.0130939, DIVERSITY_MEAN_INTER_LIST: 0.9960622, DIVERSITY_HERFINDAHL: 0.9995873, COVERAGE_ITEM: 0.4759346, COVERAGE_ITEM_CORRECT: 0.0255476, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0770354, DIVERSITY_GINI: 0.1962034, SHANNON_ENTROPY: 12.4935022, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 32, 'shrink': 328, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8231318744365432, 'feature_weighting': 'TF-IDF', 'icm_weight': 12.241075953045634} - results: ROC_AUC: 0.0720120, PRECISION: 0.0150588, PRECISION_RECALL_MIN_DEN: 0.0559440, RECALL: 0.0544723, MAP: 0.0216499, MRR: 0.0486340, NDCG: 0.0356039, F1: 0.0235936, HIT_RATE: 0.1505875, ARHR: 0.0534876, NOVELTY: 0.0049397, AVERAGE_POPULARITY: 0.0165439, DIVERSITY_MEAN_INTER_LIST: 0.9972723, DIVERSITY_HERFINDAHL: 0.9997083, COVERAGE_ITEM: 0.5814129, COVERAGE_ITEM_CORRECT: 0.0274572, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0826979, DIVERSITY_GINI: 0.2826588, SHANNON_ENTROPY: 13.0437815, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 672, 'shrink': 517, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.034169610347235764, 'feature_weighting': 'none', 'icm_weight': 3.0633944606746146} - results: ROC_AUC: 0.1134478, PRECISION: 0.0236361, PRECISION_RECALL_MIN_DEN: 0.0826414, RECALL: 0.0802018, MAP: 0.0351773, MRR: 0.0788940, NDCG: 0.0559577, F1: 0.0365107, HIT_RATE: 0.2363609, ARHR: 0.0883671, NOVELTY: 0.0048311, AVERAGE_POPULARITY: 0.0668216, DIVERSITY_MEAN_INTER_LIST: 0.9917928, DIVERSITY_HERFINDAHL: 0.9991605, COVERAGE_ITEM: 0.4791530, COVERAGE_ITEM_CORRECT: 0.0298210, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1238958, DIVERSITY_GINI: 0.1954381, SHANNON_ENTROPY: 12.2290660, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 928, 'shrink': 108, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04239247805303404, 'feature_weighting': 'none', 'icm_weight': 16.068023782500475} - results: ROC_AUC: 0.0616458, PRECISION: 0.0125309, PRECISION_RECALL_MIN_DEN: 0.0447849, RECALL: 0.0435041, MAP: 0.0187000, MRR: 0.0427244, NDCG: 0.0300132, F1: 0.0194569, HIT_RATE: 0.1253088, ARHR: 0.0464487, NOVELTY: 0.0050412, AVERAGE_POPULARITY: 0.0154179, DIVERSITY_MEAN_INTER_LIST: 0.9967590, DIVERSITY_HERFINDAHL: 0.9996570, COVERAGE_ITEM: 0.5102984, COVERAGE_ITEM_CORRECT: 0.0229528, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0696867, DIVERSITY_GINI: 0.2344900, SHANNON_ENTROPY: 12.7671309, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 161, 'shrink': 39, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0041365503631932, 'feature_weighting': 'TF-IDF', 'icm_weight': 9.901218065319217} - results: ROC_AUC: 0.0451744, PRECISION: 0.0100481, PRECISION_RECALL_MIN_DEN: 0.0377268, RECALL: 0.0367688, MAP: 0.0130579, MRR: 0.0288630, NDCG: 0.0225376, F1: 0.0157813, HIT_RATE: 0.1004812, ARHR: 0.0314042, NOVELTY: 0.0047064, AVERAGE_POPULARITY: 0.0090379, DIVERSITY_MEAN_INTER_LIST: 0.9935727, DIVERSITY_HERFINDAHL: 0.9993384, COVERAGE_ITEM: 0.3581367, COVERAGE_ITEM_CORRECT: 0.0191184, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0567761, DIVERSITY_GINI: 0.1222609, SHANNON_ENTROPY: 11.7927984, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 971, 'shrink': 599, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.467493709847076, 'feature_weighting': 'TF-IDF', 'icm_weight': 10.0177863678227} - results: ROC_AUC: 0.0635250, PRECISION: 0.0135774, PRECISION_RECALL_MIN_DEN: 0.0494441, RECALL: 0.0479183, MAP: 0.0188307, MRR: 0.0425441, NDCG: 0.0311249, F1: 0.0211578, HIT_RATE: 0.1357742, ARHR: 0.0466806, NOVELTY: 0.0049759, AVERAGE_POPULARITY: 0.0154809, DIVERSITY_MEAN_INTER_LIST: 0.9963114, DIVERSITY_HERFINDAHL: 0.9996123, COVERAGE_ITEM: 0.4698518, COVERAGE_ITEM_CORRECT: 0.0248470, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0754247, DIVERSITY_GINI: 0.2063672, SHANNON_ENTROPY: 12.5885657, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 630, 'shrink': 437, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.14858519280867236, 'feature_weighting': 'TF-IDF', 'icm_weight': 14.773957894970561} - results: ROC_AUC: 0.1033011, PRECISION: 0.0216327, PRECISION_RECALL_MIN_DEN: 0.0793549, RECALL: 0.0771647, MAP: 0.0325135, MRR: 0.0712278, NDCG: 0.0520225, F1: 0.0337874, HIT_RATE: 0.2163267, ARHR: 0.0795172, NOVELTY: 0.0049954, AVERAGE_POPULARITY: 0.0266169, DIVERSITY_MEAN_INTER_LIST: 0.9976777, DIVERSITY_HERFINDAHL: 0.9997489, COVERAGE_ITEM: 0.6182791, COVERAGE_ITEM_CORRECT: 0.0356189, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1143073, DIVERSITY_GINI: 0.3194951, SHANNON_ENTROPY: 13.2147846, 

SearchBayesianSkopt-CV: New best config found. Config 17: {'topK': 589, 'shrink': 571, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.08679312227714721, 'feature_weighting': 'TF-IDF', 'icm_weight': 3.2523191622378484} - results: ROC_AUC: 0.1467847, PRECISION: 0.0312361, PRECISION_RECALL_MIN_DEN: 0.1145069, RECALL: 0.1116110, MAP: 0.0490754, MRR: 0.1042082, NDCG: 0.0768619, F1: 0.0488086, HIT_RATE: 0.3123614, ARHR: 0.1181699, NOVELTY: 0.0048611, AVERAGE_POPULARITY: 0.0614787, DIVERSITY_MEAN_INTER_LIST: 0.9940928, DIVERSITY_HERFINDAHL: 0.9993904, COVERAGE_ITEM: 0.5627950, COVERAGE_ITEM_CORRECT: 0.0424331, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1593306, DIVERSITY_GINI: 0.2511970, SHANNON_ENTROPY: 12.6201200, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 296, 'shrink': 101, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4373563096871983, 'feature_weighting': 'BM25', 'icm_weight': 17.592196099346413} - results: ROC_AUC: 0.1206925, PRECISION: 0.0253388, PRECISION_RECALL_MIN_DEN: 0.0972022, RECALL: 0.0948145, MAP: 0.0396796, MRR: 0.0827979, NDCG: 0.0628972, F1: 0.0399892, HIT_RATE: 0.2533878, ARHR: 0.0925660, NOVELTY: 0.0049589, AVERAGE_POPULARITY: 0.0253697, DIVERSITY_MEAN_INTER_LIST: 0.9976719, DIVERSITY_HERFINDAHL: 0.9997483, COVERAGE_ITEM: 0.6354033, COVERAGE_ITEM_CORRECT: 0.0431569, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1339373, DIVERSITY_GINI: 0.3225130, SHANNON_ENTROPY: 13.2233724, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 894, 'shrink': 821, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8611795899015404, 'feature_weighting': 'TF-IDF', 'icm_weight': 17.88829161706069} - results: ROC_AUC: 0.0789413, PRECISION: 0.0168218, PRECISION_RECALL_MIN_DEN: 0.0628472, RECALL: 0.0611603, MAP: 0.0242232, MRR: 0.0536232, NDCG: 0.0397275, F1: 0.0263846, HIT_RATE: 0.1682178, ARHR: 0.0591751, NOVELTY: 0.0049944, AVERAGE_POPULARITY: 0.0171947, DIVERSITY_MEAN_INTER_LIST: 0.9972185, DIVERSITY_HERFINDAHL: 0.9997029, COVERAGE_ITEM: 0.5691935, COVERAGE_ITEM_CORRECT: 0.0305602, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0917327, DIVERSITY_GINI: 0.2701350, SHANNON_ENTROPY: 12.9721159, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 834, 'shrink': 699, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.734778746558915, 'feature_weighting': 'BM25', 'icm_weight': 1.9118801396772316} - results: ROC_AUC: 0.1246739, PRECISION: 0.0261145, PRECISION_RECALL_MIN_DEN: 0.0978569, RECALL: 0.0955962, MAP: 0.0411845, MRR: 0.0865443, NDCG: 0.0649129, F1: 0.0410176, HIT_RATE: 0.2611448, ARHR: 0.0966742, NOVELTY: 0.0050278, AVERAGE_POPULARITY: 0.0296738, DIVERSITY_MEAN_INTER_LIST: 0.9975331, DIVERSITY_HERFINDAHL: 0.9997344, COVERAGE_ITEM: 0.6259018, COVERAGE_ITEM_CORRECT: 0.0426949, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1377627, DIVERSITY_GINI: 0.3128544, SHANNON_ENTROPY: 13.1712821, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 850, 'shrink': 494, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5543609809161024, 'feature_weighting': 'none', 'icm_weight': 14.39830153889751} - results: ROC_AUC: 0.0701082, PRECISION: 0.0140925, PRECISION_RECALL_MIN_DEN: 0.0509781, RECALL: 0.0495533, MAP: 0.0216761, MRR: 0.0487794, NDCG: 0.0343778, F1: 0.0219421, HIT_RATE: 0.1409252, ARHR: 0.0534015, NOVELTY: 0.0050441, AVERAGE_POPULARITY: 0.0161265, DIVERSITY_MEAN_INTER_LIST: 0.9974136, DIVERSITY_HERFINDAHL: 0.9997225, COVERAGE_ITEM: 0.5699095, COVERAGE_ITEM_CORRECT: 0.0261251, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0774632, DIVERSITY_GINI: 0.2762136, SHANNON_ENTROPY: 13.0212445, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 614, 'shrink': 937, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4203432786528063, 'feature_weighting': 'TF-IDF', 'icm_weight': 16.70445472698535} - results: ROC_AUC: 0.0619946, PRECISION: 0.0131413, PRECISION_RECALL_MIN_DEN: 0.0476144, RECALL: 0.0461353, MAP: 0.0182165, MRR: 0.0414976, NDCG: 0.0300976, F1: 0.0204546, HIT_RATE: 0.1314133, ARHR: 0.0455072, NOVELTY: 0.0049882, AVERAGE_POPULARITY: 0.0154009, DIVERSITY_MEAN_INTER_LIST: 0.9965291, DIVERSITY_HERFINDAHL: 0.9996340, COVERAGE_ITEM: 0.4720231, COVERAGE_ITEM_CORRECT: 0.0238152, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0729583, DIVERSITY_GINI: 0.2093646, SHANNON_ENTROPY: 12.6246399, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 915, 'shrink': 577, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4528182658523623, 'feature_weighting': 'BM25', 'icm_weight': 10.005284151777591} - results: ROC_AUC: 0.0858124, PRECISION: 0.0181143, PRECISION_RECALL_MIN_DEN: 0.0714889, RECALL: 0.0698687, MAP: 0.0280331, MRR: 0.0582413, NDCG: 0.0451297, F1: 0.0287671, HIT_RATE: 0.1811431, ARHR: 0.0639452, NOVELTY: 0.0049275, AVERAGE_POPULARITY: 0.0153570, DIVERSITY_MEAN_INTER_LIST: 0.9969837, DIVERSITY_HERFINDAHL: 0.9996795, COVERAGE_ITEM: 0.5133244, COVERAGE_ITEM_CORRECT: 0.0334475, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0997861, DIVERSITY_GINI: 0.2323550, SHANNON_ENTROPY: 12.7781095, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 274, 'shrink': 492, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6736271876664407, 'feature_weighting': 'BM25', 'icm_weight': 9.360569790966936} - results: ROC_AUC: 0.1203316, PRECISION: 0.0251374, PRECISION_RECALL_MIN_DEN: 0.0958243, RECALL: 0.0934728, MAP: 0.0390111, MRR: 0.0822152, NDCG: 0.0620890, F1: 0.0396186, HIT_RATE: 0.2513738, ARHR: 0.0917421, NOVELTY: 0.0049466, AVERAGE_POPULARITY: 0.0256840, DIVERSITY_MEAN_INTER_LIST: 0.9976302, DIVERSITY_HERFINDAHL: 0.9997441, COVERAGE_ITEM: 0.6305140, COVERAGE_ITEM_CORRECT: 0.0426102, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1332075, DIVERSITY_GINI: 0.3179844, SHANNON_ENTROPY: 13.2006754, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 494, 'shrink': 832, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8574851947666964, 'feature_weighting': 'BM25', 'icm_weight': 3.1240877270702962} - results: ROC_AUC: 0.1180625, PRECISION: 0.0248760, PRECISION_RECALL_MIN_DEN: 0.0944141, RECALL: 0.0922189, MAP: 0.0383775, MRR: 0.0814777, NDCG: 0.0612961, F1: 0.0391812, HIT_RATE: 0.2487598, ARHR: 0.0908081, NOVELTY: 0.0049706, AVERAGE_POPULARITY: 0.0269986, DIVERSITY_MEAN_INTER_LIST: 0.9975866, DIVERSITY_HERFINDAHL: 0.9997398, COVERAGE_ITEM: 0.6137440, COVERAGE_ITEM_CORRECT: 0.0413397, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1323518, DIVERSITY_GINI: 0.3072335, SHANNON_ENTROPY: 13.1588946, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 663, 'shrink': 462, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8095361331583528, 'feature_weighting': 'TF-IDF', 'icm_weight': 2.1048668264258517} - results: ROC_AUC: 0.1289910, PRECISION: 0.0278906, PRECISION_RECALL_MIN_DEN: 0.1051519, RECALL: 0.1026628, MAP: 0.0424706, MRR: 0.0893348, NDCG: 0.0679259, F1: 0.0438632, HIT_RATE: 0.2789061, ARHR: 0.1001894, NOVELTY: 0.0049769, AVERAGE_POPULARITY: 0.0337838, DIVERSITY_MEAN_INTER_LIST: 0.9968024, DIVERSITY_HERFINDAHL: 0.9996613, COVERAGE_ITEM: 0.6132512, COVERAGE_ITEM_CORRECT: 0.0453359, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1467472, DIVERSITY_GINI: 0.2908825, SHANNON_ENTROPY: 12.9908851, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 514, 'shrink': 931, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.7003548051788893, 'feature_weighting': 'none', 'icm_weight': 10.024674293160569} - results: ROC_AUC: 0.0684213, PRECISION: 0.0137089, PRECISION_RECALL_MIN_DEN: 0.0490217, RECALL: 0.0475958, MAP: 0.0207040, MRR: 0.0472253, NDCG: 0.0329989, F1: 0.0212858, HIT_RATE: 0.1370893, ARHR: 0.0516170, NOVELTY: 0.0050373, AVERAGE_POPULARITY: 0.0164764, DIVERSITY_MEAN_INTER_LIST: 0.9974098, DIVERSITY_HERFINDAHL: 0.9997221, COVERAGE_ITEM: 0.5672608, COVERAGE_ITEM_CORRECT: 0.0253859, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.0753240, DIVERSITY_GINI: 0.2746736, SHANNON_ENTROPY: 13.0173609, 
