
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 330, 'shrink': 271, 'similarity': 'dice', 'normalize': True, 'icm_weight': 4.722355313986181} - results: ROC_AUC: 0.1366375, PRECISION: 0.0282727, PRECISION_RECALL_MIN_DEN: 0.1059296, RECALL: 0.1032870, MAP: 0.0458321, MRR: 0.0965684, NDCG: 0.0711906, F1: 0.0443921, HIT_RATE: 0.2827271, ARHR: 0.1082332, NOVELTY: 0.0048731, AVERAGE_POPULARITY: 0.0607856, DIVERSITY_MEAN_INTER_LIST: 0.9936848, DIVERSITY_HERFINDAHL: 0.9993497, COVERAGE_ITEM: 0.4844042, COVERAGE_ITEM_CORRECT: 0.0388450, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1477790, DIVERSITY_GINI: 0.1968178, SHANNON_ENTROPY: 12.3253581, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 513, 'shrink': 220, 'similarity': 'dice', 'normalize': True, 'icm_weight': 3.024666718182698} - results: ROC_AUC: 0.1359053, PRECISION: 0.0278822, PRECISION_RECALL_MIN_DEN: 0.1058004, RECALL: 0.1032831, MAP: 0.0455238, MRR: 0.0951728, NDCG: 0.0707950, F1: 0.0439103, HIT_RATE: 0.2788222, ARHR: 0.1063938, NOVELTY: 0.0048878, AVERAGE_POPULARITY: 0.0582275, DIVERSITY_MEAN_INTER_LIST: 0.9939959, DIVERSITY_HERFINDAHL: 0.9993807, COVERAGE_ITEM: 0.4761039, COVERAGE_ITEM_CORRECT: 0.0384986, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1469737, DIVERSITY_GINI: 0.1921530, SHANNON_ENTROPY: 12.3171056, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 497, 'shrink': 443, 'similarity': 'dice', 'normalize': False, 'icm_weight': 11.120228086650096} - results: ROC_AUC: 0.1368498, PRECISION: 0.0281321, PRECISION_RECALL_MIN_DEN: 0.1061138, RECALL: 0.1035384, MAP: 0.0458660, MRR: 0.0960237, NDCG: 0.0712158, F1: 0.0442427, HIT_RATE: 0.2813212, ARHR: 0.1075805, NOVELTY: 0.0048584, AVERAGE_POPULARITY: 0.0652461, DIVERSITY_MEAN_INTER_LIST: 0.9926736, DIVERSITY_HERFINDAHL: 0.9992486, COVERAGE_ITEM: 0.4664331, COVERAGE_ITEM_CORRECT: 0.0376824, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1475777, DIVERSITY_GINI: 0.1819147, SHANNON_ENTROPY: 12.1748120, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 561, 'shrink': 188, 'similarity': 'dice', 'normalize': True, 'icm_weight': 7.039762557411276} - results: ROC_AUC: 0.1356957, PRECISION: 0.0279127, PRECISION_RECALL_MIN_DEN: 0.1062995, RECALL: 0.1037925, MAP: 0.0453344, MRR: 0.0950235, NDCG: 0.0707447, F1: 0.0439940, HIT_RATE: 0.2791270, ARHR: 0.1062567, NOVELTY: 0.0048954, AVERAGE_POPULARITY: 0.0564500, DIVERSITY_MEAN_INTER_LIST: 0.9942614, DIVERSITY_HERFINDAHL: 0.9994073, COVERAGE_ITEM: 0.4773513, COVERAGE_ITEM_CORRECT: 0.0390221, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1470995, DIVERSITY_GINI: 0.1937895, SHANNON_ENTROPY: 12.3443490, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 253, 'shrink': 939, 'similarity': 'dice', 'normalize': True, 'icm_weight': 2.313862621735104} - results: ROC_AUC: 0.1385381, PRECISION: 0.0285492, PRECISION_RECALL_MIN_DEN: 0.1064356, RECALL: 0.1037256, MAP: 0.0463454, MRR: 0.0983532, NDCG: 0.0718796, F1: 0.0447736, HIT_RATE: 0.2854916, ARHR: 0.1103815, NOVELTY: 0.0048339, AVERAGE_POPULARITY: 0.0703674, DIVERSITY_MEAN_INTER_LIST: 0.9918370, DIVERSITY_HERFINDAHL: 0.9991649, COVERAGE_ITEM: 0.4813936, COVERAGE_ITEM_CORRECT: 0.0377517, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1487354, DIVERSITY_GINI: 0.1902559, SHANNON_ENTROPY: 12.1822585, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 509, 'shrink': 110, 'similarity': 'dice', 'normalize': False, 'icm_weight': 9.033626700436374} - results: ROC_AUC: 0.1342408, PRECISION: 0.0275451, PRECISION_RECALL_MIN_DEN: 0.1050021, RECALL: 0.1025500, MAP: 0.0448418, MRR: 0.0937365, NDCG: 0.0699042, F1: 0.0434257, HIT_RATE: 0.2754508, ARHR: 0.1046331, NOVELTY: 0.0049221, AVERAGE_POPULARITY: 0.0501028, DIVERSITY_MEAN_INTER_LIST: 0.9952628, DIVERSITY_HERFINDAHL: 0.9995074, COVERAGE_ITEM: 0.4942676, COVERAGE_ITEM_CORRECT: 0.0397767, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1455895, DIVERSITY_GINI: 0.2090199, SHANNON_ENTROPY: 12.5019589, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 591, 'shrink': 48, 'similarity': 'dice', 'normalize': False, 'icm_weight': 18.391314642546718} - results: ROC_AUC: 0.1303515, PRECISION: 0.0269048, PRECISION_RECALL_MIN_DEN: 0.1029596, RECALL: 0.1005507, MAP: 0.0436605, MRR: 0.0910905, NDCG: 0.0681838, F1: 0.0424505, HIT_RATE: 0.2690481, ARHR: 0.1016270, NOVELTY: 0.0049617, AVERAGE_POPULARITY: 0.0409636, DIVERSITY_MEAN_INTER_LIST: 0.9963443, DIVERSITY_HERFINDAHL: 0.9996155, COVERAGE_ITEM: 0.5208624, COVERAGE_ITEM_CORRECT: 0.0411704, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1424689, DIVERSITY_GINI: 0.2316584, SHANNON_ENTROPY: 12.7073966, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 491, 'shrink': 450, 'similarity': 'dice', 'normalize': True, 'icm_weight': 11.71283420888118} - results: ROC_AUC: 0.1368119, PRECISION: 0.0281891, PRECISION_RECALL_MIN_DEN: 0.1062275, RECALL: 0.1036230, MAP: 0.0459116, MRR: 0.0961188, NDCG: 0.0712735, F1: 0.0443208, HIT_RATE: 0.2818910, ARHR: 0.1076916, NOVELTY: 0.0048578, AVERAGE_POPULARITY: 0.0653945, DIVERSITY_MEAN_INTER_LIST: 0.9926475, DIVERSITY_HERFINDAHL: 0.9992459, COVERAGE_ITEM: 0.4666564, COVERAGE_ITEM_CORRECT: 0.0377440, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1476280, DIVERSITY_GINI: 0.1819786, SHANNON_ENTROPY: 12.1738637, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 590, 'shrink': 270, 'similarity': 'dice', 'normalize': False, 'icm_weight': 9.134212070093929} - results: ROC_AUC: 0.1359744, PRECISION: 0.0280076, PRECISION_RECALL_MIN_DEN: 0.1058960, RECALL: 0.1033121, MAP: 0.0455422, MRR: 0.0956152, NDCG: 0.0708386, F1: 0.0440681, HIT_RATE: 0.2800763, ARHR: 0.1069803, NOVELTY: 0.0048793, AVERAGE_POPULARITY: 0.0603579, DIVERSITY_MEAN_INTER_LIST: 0.9935525, DIVERSITY_HERFINDAHL: 0.9993364, COVERAGE_ITEM: 0.4687045, COVERAGE_ITEM_CORRECT: 0.0383292, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1472254, DIVERSITY_GINI: 0.1856951, SHANNON_ENTROPY: 12.2499468, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 146, 'shrink': 137, 'similarity': 'dice', 'normalize': False, 'icm_weight': 13.594788006428727} - results: ROC_AUC: 0.1378562, PRECISION: 0.0286131, PRECISION_RECALL_MIN_DEN: 0.1065968, RECALL: 0.1038647, MAP: 0.0459920, MRR: 0.0971913, NDCG: 0.0715330, F1: 0.0448659, HIT_RATE: 0.2861311, ARHR: 0.1095932, NOVELTY: 0.0048998, AVERAGE_POPULARITY: 0.0536749, DIVERSITY_MEAN_INTER_LIST: 0.9950770, DIVERSITY_HERFINDAHL: 0.9994888, COVERAGE_ITEM: 0.5251819, COVERAGE_ITEM_CORRECT: 0.0412628, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1484837, DIVERSITY_GINI: 0.2296954, SHANNON_ENTROPY: 12.5950038, 

SearchBayesianSkopt-CV: New best config found. Config 17: {'topK': 123, 'shrink': 798, 'similarity': 'dice', 'normalize': False, 'icm_weight': 11.268911051598723} - results: ROC_AUC: 0.1397025, PRECISION: 0.0289387, PRECISION_RECALL_MIN_DEN: 0.1074534, RECALL: 0.1046529, MAP: 0.0469757, MRR: 0.0991336, NDCG: 0.0726414, F1: 0.0453383, HIT_RATE: 0.2893870, ARHR: 0.1117289, NOVELTY: 0.0048363, AVERAGE_POPULARITY: 0.0692024, DIVERSITY_MEAN_INTER_LIST: 0.9922702, DIVERSITY_HERFINDAHL: 0.9992082, COVERAGE_ITEM: 0.5065332, COVERAGE_ITEM_CORRECT: 0.0389066, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1500440, DIVERSITY_GINI: 0.2072661, SHANNON_ENTROPY: 12.2996184, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 613, 'shrink': 993, 'similarity': 'dice', 'normalize': False, 'icm_weight': 1.8670969286392207} - results: ROC_AUC: 0.1359794, PRECISION: 0.0281550, PRECISION_RECALL_MIN_DEN: 0.1060400, RECALL: 0.1034153, MAP: 0.0457476, MRR: 0.0960664, NDCG: 0.0710928, F1: 0.0442597, HIT_RATE: 0.2815495, ARHR: 0.1076999, NOVELTY: 0.0048410, AVERAGE_POPULARITY: 0.0707655, DIVERSITY_MEAN_INTER_LIST: 0.9913957, DIVERSITY_HERFINDAHL: 0.9991208, COVERAGE_ITEM: 0.4555380, COVERAGE_ITEM_CORRECT: 0.0368277, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1470492, DIVERSITY_GINI: 0.1718140, SHANNON_ENTROPY: 12.0407179, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 919, 'shrink': 420, 'similarity': 'dice', 'normalize': False, 'icm_weight': 12.910214517051525} - results: ROC_AUC: 0.1339802, PRECISION: 0.0274913, PRECISION_RECALL_MIN_DEN: 0.1044846, RECALL: 0.1020137, MAP: 0.0451057, MRR: 0.0944152, NDCG: 0.0700475, F1: 0.0433098, HIT_RATE: 0.2749134, ARHR: 0.1053654, NOVELTY: 0.0048641, AVERAGE_POPULARITY: 0.0644548, DIVERSITY_MEAN_INTER_LIST: 0.9925542, DIVERSITY_HERFINDAHL: 0.9992366, COVERAGE_ITEM: 0.4511492, COVERAGE_ITEM_CORRECT: 0.0366814, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450107, DIVERSITY_GINI: 0.1713065, SHANNON_ENTROPY: 12.0959423, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 539, 'shrink': 171, 'similarity': 'dice', 'normalize': False, 'icm_weight': 1.2694248856663017} - results: ROC_AUC: 0.1358339, PRECISION: 0.0278445, PRECISION_RECALL_MIN_DEN: 0.1057911, RECALL: 0.1032818, MAP: 0.0452343, MRR: 0.0948892, NDCG: 0.0705531, F1: 0.0438635, HIT_RATE: 0.2784452, ARHR: 0.1060238, NOVELTY: 0.0048994, AVERAGE_POPULARITY: 0.0553604, DIVERSITY_MEAN_INTER_LIST: 0.9944570, DIVERSITY_HERFINDAHL: 0.9994269, COVERAGE_ITEM: 0.4805698, COVERAGE_ITEM_CORRECT: 0.0391684, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1468730, DIVERSITY_GINI: 0.1966915, SHANNON_ENTROPY: 12.3746767, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 79, 'shrink': 80, 'similarity': 'dice', 'normalize': False, 'icm_weight': 4.592844161779627} - results: ROC_AUC: 0.1353508, PRECISION: 0.0280249, PRECISION_RECALL_MIN_DEN: 0.1043663, RECALL: 0.1016286, MAP: 0.0451352, MRR: 0.0952983, NDCG: 0.0701093, F1: 0.0439325, HIT_RATE: 0.2802485, ARHR: 0.1072459, NOVELTY: 0.0049199, AVERAGE_POPULARITY: 0.0484099, DIVERSITY_MEAN_INTER_LIST: 0.9958863, DIVERSITY_HERFINDAHL: 0.9995698, COVERAGE_ITEM: 0.5599692, COVERAGE_ITEM_CORRECT: 0.0416246, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1454134, DIVERSITY_GINI: 0.2580633, SHANNON_ENTROPY: 12.7902500, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 917, 'shrink': 200, 'similarity': 'dice', 'normalize': True, 'icm_weight': 3.818562066079785} - results: ROC_AUC: 0.1326366, PRECISION: 0.0273176, PRECISION_RECALL_MIN_DEN: 0.1042253, RECALL: 0.1017702, MAP: 0.0446274, MRR: 0.0930342, NDCG: 0.0694652, F1: 0.0430728, HIT_RATE: 0.2731756, ARHR: 0.1039456, NOVELTY: 0.0048964, AVERAGE_POPULARITY: 0.0567271, DIVERSITY_MEAN_INTER_LIST: 0.9940070, DIVERSITY_HERFINDAHL: 0.9993819, COVERAGE_ITEM: 0.4636843, COVERAGE_ITEM_CORRECT: 0.0378749, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1440040, DIVERSITY_GINI: 0.1837561, SHANNON_ENTROPY: 12.2647387, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 460, 'shrink': 353, 'similarity': 'dice', 'normalize': True, 'icm_weight': 1.9700334796139307} - results: ROC_AUC: 0.1373095, PRECISION: 0.0281402, PRECISION_RECALL_MIN_DEN: 0.1060726, RECALL: 0.1034841, MAP: 0.0460504, MRR: 0.0966794, NDCG: 0.0713902, F1: 0.0442474, HIT_RATE: 0.2814019, ARHR: 0.1082509, NOVELTY: 0.0048656, AVERAGE_POPULARITY: 0.0631566, DIVERSITY_MEAN_INTER_LIST: 0.9931144, DIVERSITY_HERFINDAHL: 0.9992926, COVERAGE_ITEM: 0.4710991, COVERAGE_ITEM_CORRECT: 0.0380828, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1474267, DIVERSITY_GINI: 0.1862147, SHANNON_ENTROPY: 12.2272757, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 504, 'shrink': 305, 'similarity': 'dice', 'normalize': False, 'icm_weight': 9.255087921590144} - results: ROC_AUC: 0.1364161, PRECISION: 0.0280529, PRECISION_RECALL_MIN_DEN: 0.1061631, RECALL: 0.1036181, MAP: 0.0458921, MRR: 0.0960739, NDCG: 0.0712312, F1: 0.0441518, HIT_RATE: 0.2805287, ARHR: 0.1074654, NOVELTY: 0.0048721, AVERAGE_POPULARITY: 0.0618188, DIVERSITY_MEAN_INTER_LIST: 0.9933435, DIVERSITY_HERFINDAHL: 0.9993155, COVERAGE_ITEM: 0.4703677, COVERAGE_ITEM_CORRECT: 0.0380443, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1474770, DIVERSITY_GINI: 0.1864596, SHANNON_ENTROPY: 12.2422596, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 987, 'shrink': 103, 'similarity': 'dice', 'normalize': True, 'icm_weight': 1.4290758804454324} - results: ROC_AUC: 0.1318695, PRECISION: 0.0269577, PRECISION_RECALL_MIN_DEN: 0.1035508, RECALL: 0.1011437, MAP: 0.0440196, MRR: 0.0915885, NDCG: 0.0686930, F1: 0.0425686, HIT_RATE: 0.2695769, ARHR: 0.1020433, NOVELTY: 0.0049315, AVERAGE_POPULARITY: 0.0485713, DIVERSITY_MEAN_INTER_LIST: 0.9952458, DIVERSITY_HERFINDAHL: 0.9995057, COVERAGE_ITEM: 0.4801848, COVERAGE_ITEM_CORRECT: 0.0391838, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1430225, DIVERSITY_GINI: 0.1994880, SHANNON_ENTROPY: 12.4460845, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 731, 'shrink': 948, 'similarity': 'dice', 'normalize': False, 'icm_weight': 19.2587899384273} - results: ROC_AUC: 0.1355356, PRECISION: 0.0279425, PRECISION_RECALL_MIN_DEN: 0.1058661, RECALL: 0.1033076, MAP: 0.0455934, MRR: 0.0957413, NDCG: 0.0708837, F1: 0.0439863, HIT_RATE: 0.2794247, ARHR: 0.1070600, NOVELTY: 0.0048423, AVERAGE_POPULARITY: 0.0705706, DIVERSITY_MEAN_INTER_LIST: 0.9913529, DIVERSITY_HERFINDAHL: 0.9991165, COVERAGE_ITEM: 0.4506487, COVERAGE_ITEM_CORRECT: 0.0364889, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1464200, DIVERSITY_GINI: 0.1685846, SHANNON_ENTROPY: 12.0161677, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 842, 'shrink': 284, 'similarity': 'dice', 'normalize': True, 'icm_weight': 13.880935034438014} - results: ROC_AUC: 0.1341350, PRECISION: 0.0275219, PRECISION_RECALL_MIN_DEN: 0.1043938, RECALL: 0.1019089, MAP: 0.0451250, MRR: 0.0943560, NDCG: 0.0700381, F1: 0.0433390, HIT_RATE: 0.2752186, ARHR: 0.1053168, NOVELTY: 0.0048791, AVERAGE_POPULARITY: 0.0607066, DIVERSITY_MEAN_INTER_LIST: 0.9933456, DIVERSITY_HERFINDAHL: 0.9993157, COVERAGE_ITEM: 0.4584408, COVERAGE_ITEM_CORRECT: 0.0374976, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1450862, DIVERSITY_GINI: 0.1782862, SHANNON_ENTROPY: 12.1892134, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 859, 'shrink': 589, 'similarity': 'dice', 'normalize': False, 'icm_weight': 6.53413093195943} - results: ROC_AUC: 0.1344788, PRECISION: 0.0276735, PRECISION_RECALL_MIN_DEN: 0.1047943, RECALL: 0.1022927, MAP: 0.0453406, MRR: 0.0951203, NDCG: 0.0703834, F1: 0.0435613, HIT_RATE: 0.2767349, ARHR: 0.1061829, NOVELTY: 0.0048548, AVERAGE_POPULARITY: 0.0672068, DIVERSITY_MEAN_INTER_LIST: 0.9919936, DIVERSITY_HERFINDAHL: 0.9991806, COVERAGE_ITEM: 0.4494321, COVERAGE_ITEM_CORRECT: 0.0364504, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1457405, DIVERSITY_GINI: 0.1690123, SHANNON_ENTROPY: 12.0502863, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 227, 'shrink': 751, 'similarity': 'dice', 'normalize': True, 'icm_weight': 7.211190006349378} - results: ROC_AUC: 0.1386939, PRECISION: 0.0285036, PRECISION_RECALL_MIN_DEN: 0.1063015, RECALL: 0.1035505, MAP: 0.0462070, MRR: 0.0980238, NDCG: 0.0717036, F1: 0.0447012, HIT_RATE: 0.2850361, ARHR: 0.1100683, NOVELTY: 0.0048400, AVERAGE_POPULARITY: 0.0691635, DIVERSITY_MEAN_INTER_LIST: 0.9921257, DIVERSITY_HERFINDAHL: 0.9991938, COVERAGE_ITEM: 0.4860135, COVERAGE_ITEM_CORRECT: 0.0379519, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1483830, DIVERSITY_GINI: 0.1939223, SHANNON_ENTROPY: 12.2192696, 

SearchBayesianSkopt-CV: New best config found. Config 30: {'topK': 63, 'shrink': 939, 'similarity': 'dice', 'normalize': True, 'icm_weight': 19.71761202316988} - results: ROC_AUC: 0.1388983, PRECISION: 0.0289225, PRECISION_RECALL_MIN_DEN: 0.1068780, RECALL: 0.1040276, MAP: 0.0470051, MRR: 0.0991341, NDCG: 0.0725214, F1: 0.0452592, HIT_RATE: 0.2892251, ARHR: 0.1116326, NOVELTY: 0.0048270, AVERAGE_POPULARITY: 0.0694310, DIVERSITY_MEAN_INTER_LIST: 0.9922568, DIVERSITY_HERFINDAHL: 0.9992069, COVERAGE_ITEM: 0.5286622, COVERAGE_ITEM_CORRECT: 0.0388219, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1494904, DIVERSITY_GINI: 0.2204995, SHANNON_ENTROPY: 12.3626195, 
