
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 787, 'shrink': 636, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.4214061484084679} - results: ROC_AUC: 0.1441811, PRECISION: 0.0291350, PRECISION_RECALL_MIN_DEN: 0.1119509, RECALL: 0.1094710, MAP: 0.0491169, MRR: 0.1022903, NDCG: 0.0758255, F1: 0.0460198, HIT_RATE: 0.2913500, ARHR: 0.1140902, NOVELTY: 0.0052466, AVERAGE_POPULARITY: 0.1599857, DIVERSITY_MEAN_INTER_LIST: 0.9764319, DIVERSITY_HERFINDAHL: 0.9976247, COVERAGE_ITEM: 0.3875727, COVERAGE_ITEM_CORRECT: 0.0324543, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1534667, DIVERSITY_GINI: 0.1150980, SHANNON_ENTROPY: 11.0140981, 
SearchBayesianSkopt-CV: Config 8 is suboptimal. Config: {'topK': 515, 'shrink': 429, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.9724778278460587} - results: ROC_AUC: 0.1465722, PRECISION: 0.0296913, PRECISION_RECALL_MIN_DEN: 0.1134105, RECALL: 0.1108512, MAP: 0.0501364, MRR: 0.1044378, NDCG: 0.0771648, F1: 0.0468363, HIT_RATE: 0.2969131, ARHR: 0.1167017, NOVELTY: 0.0052710, AVERAGE_POPULARITY: 0.1515886, DIVERSITY_MEAN_INTER_LIST: 0.9798034, DIVERSITY_HERFINDAHL: 0.9979618, COVERAGE_ITEM: 0.4084235, COVERAGE_ITEM_CORRECT: 0.0338556, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1561092, DIVERSITY_GINI: 0.1267326, SHANNON_ENTROPY: 11.2009931, 
SearchBayesianSkopt-CV: Config 9 is suboptimal. Config: {'topK': 611, 'shrink': 997, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.5647936036230873} - results: ROC_AUC: 0.1440525, PRECISION: 0.0291914, PRECISION_RECALL_MIN_DEN: 0.1119747, RECALL: 0.1094684, MAP: 0.0491950, MRR: 0.1027746, NDCG: 0.0759178, F1: 0.0460902, HIT_RATE: 0.2919143, ARHR: 0.1144933, NOVELTY: 0.0052630, AVERAGE_POPULARITY: 0.1544325, DIVERSITY_MEAN_INTER_LIST: 0.9789827, DIVERSITY_HERFINDAHL: 0.9978797, COVERAGE_ITEM: 0.3984370, COVERAGE_ITEM_CORRECT: 0.0329317, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1539701, DIVERSITY_GINI: 0.1222660, SHANNON_ENTROPY: 11.1503170, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 381, 'shrink': 52, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.3782605181712372} - results: ROC_AUC: 0.1513236, PRECISION: 0.0307532, PRECISION_RECALL_MIN_DEN: 0.1165505, RECALL: 0.1139608, MAP: 0.0516702, MRR: 0.1074319, NDCG: 0.0794937, F1: 0.0484341, HIT_RATE: 0.3075321, ARHR: 0.1207057, NOVELTY: 0.0052841, AVERAGE_POPULARITY: 0.1472972, DIVERSITY_MEAN_INTER_LIST: 0.9804611, DIVERSITY_HERFINDAHL: 0.9980275, COVERAGE_ITEM: 0.4249394, COVERAGE_ITEM_CORRECT: 0.0353263, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1600352, DIVERSITY_GINI: 0.1326981, SHANNON_ENTROPY: 11.2394954, 
SearchBayesianSkopt-CV: Config 11 is suboptimal. Config: {'topK': 26, 'shrink': 657, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.025903018584800715} - results: ROC_AUC: 0.1050693, PRECISION: 0.0218623, PRECISION_RECALL_MIN_DEN: 0.0730655, RECALL: 0.0704793, MAP: 0.0328116, MRR: 0.0755388, NDCG: 0.0511592, F1: 0.0333715, HIT_RATE: 0.2186231, ARHR: 0.0853548, NOVELTY: 0.0055412, AVERAGE_POPULARITY: 0.0853879, DIVERSITY_MEAN_INTER_LIST: 0.9970565, DIVERSITY_HERFINDAHL: 0.9996868, COVERAGE_ITEM: 0.6376593, COVERAGE_ITEM_CORRECT: 0.0345101, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1117906, DIVERSITY_GINI: 0.3315624, SHANNON_ENTROPY: 13.2168669, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 525, 'shrink': 398, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.5920144255978989} - results: ROC_AUC: 0.1466528, PRECISION: 0.0297182, PRECISION_RECALL_MIN_DEN: 0.1135682, RECALL: 0.1110215, MAP: 0.0501215, MRR: 0.1045253, NDCG: 0.0772207, F1: 0.0468849, HIT_RATE: 0.2971820, ARHR: 0.1168010, NOVELTY: 0.0052694, AVERAGE_POPULARITY: 0.1521493, DIVERSITY_MEAN_INTER_LIST: 0.9795224, DIVERSITY_HERFINDAHL: 0.9979337, COVERAGE_ITEM: 0.4071607, COVERAGE_ITEM_CORRECT: 0.0337709, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1561847, DIVERSITY_GINI: 0.1258726, SHANNON_ENTROPY: 11.1853444, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 939, 'shrink': 424, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.6635773145538356} - results: ROC_AUC: 0.1442984, PRECISION: 0.0292413, PRECISION_RECALL_MIN_DEN: 0.1126559, RECALL: 0.1101884, MAP: 0.0493845, MRR: 0.1026419, NDCG: 0.0762117, F1: 0.0462162, HIT_RATE: 0.2924129, ARHR: 0.1144407, NOVELTY: 0.0052364, AVERAGE_POPULARITY: 0.1635609, DIVERSITY_MEAN_INTER_LIST: 0.9745915, DIVERSITY_HERFINDAHL: 0.9974407, COVERAGE_ITEM: 0.3814822, COVERAGE_ITEM_CORRECT: 0.0324004, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1544734, DIVERSITY_GINI: 0.1110922, SHANNON_ENTROPY: 10.9281671, 
SearchBayesianSkopt-CV: Config 14 is suboptimal. Config: {'topK': 563, 'shrink': 221, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.9224463182104183} - results: ROC_AUC: 0.1477433, PRECISION: 0.0298170, PRECISION_RECALL_MIN_DEN: 0.1142890, RECALL: 0.1117750, MAP: 0.0505259, MRR: 0.1050725, NDCG: 0.0777579, F1: 0.0470744, HIT_RATE: 0.2981698, ARHR: 0.1174800, NOVELTY: 0.0052622, AVERAGE_POPULARITY: 0.1545055, DIVERSITY_MEAN_INTER_LIST: 0.9780851, DIVERSITY_HERFINDAHL: 0.9977900, COVERAGE_ITEM: 0.4044042, COVERAGE_ITEM_CORRECT: 0.0336477, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1567887, DIVERSITY_GINI: 0.1230383, SHANNON_ENTROPY: 11.1136629, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 161, 'shrink': 819, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.7974453560902417} - results: ROC_AUC: 0.1438509, PRECISION: 0.0291011, PRECISION_RECALL_MIN_DEN: 0.1086919, RECALL: 0.1060797, MAP: 0.0483896, MRR: 0.1021467, NDCG: 0.0744809, F1: 0.0456720, HIT_RATE: 0.2910114, ARHR: 0.1145890, NOVELTY: 0.0053785, AVERAGE_POPULARITY: 0.1200123, DIVERSITY_MEAN_INTER_LIST: 0.9912807, DIVERSITY_HERFINDAHL: 0.9991093, COVERAGE_ITEM: 0.4946603, COVERAGE_ITEM_CORRECT: 0.0365582, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1519819, DIVERSITY_GINI: 0.1888992, SHANNON_ENTROPY: 12.0859503, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 715, 'shrink': 978, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.9365312730523544} - results: ROC_AUC: 0.1431275, PRECISION: 0.0290743, PRECISION_RECALL_MIN_DEN: 0.1117699, RECALL: 0.1092783, MAP: 0.0490796, MRR: 0.1023639, NDCG: 0.0757058, F1: 0.0459271, HIT_RATE: 0.2907426, ARHR: 0.1139593, NOVELTY: 0.0052534, AVERAGE_POPULARITY: 0.1577617, DIVERSITY_MEAN_INTER_LIST: 0.9775876, DIVERSITY_HERFINDAHL: 0.9977402, COVERAGE_ITEM: 0.3914533, COVERAGE_ITEM_CORRECT: 0.0324466, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1535171, DIVERSITY_GINI: 0.1178988, SHANNON_ENTROPY: 11.0735299, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 951, 'shrink': 587, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.7096714939977817} - results: ROC_AUC: 0.1432658, PRECISION: 0.0290368, PRECISION_RECALL_MIN_DEN: 0.1118045, RECALL: 0.1093464, MAP: 0.0490384, MRR: 0.1018914, NDCG: 0.0756552, F1: 0.0458870, HIT_RATE: 0.2903676, ARHR: 0.1135251, NOVELTY: 0.0052363, AVERAGE_POPULARITY: 0.1636741, DIVERSITY_MEAN_INTER_LIST: 0.9748469, DIVERSITY_HERFINDAHL: 0.9974662, COVERAGE_ITEM: 0.3794957, COVERAGE_ITEM_CORRECT: 0.0321925, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1532402, DIVERSITY_GINI: 0.1106285, SHANNON_ENTROPY: 10.9337403, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 822, 'shrink': 7, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.2778290446419806} - results: ROC_AUC: 0.1473197, PRECISION: 0.0299579, PRECISION_RECALL_MIN_DEN: 0.1141679, RECALL: 0.1116634, MAP: 0.0510828, MRR: 0.1054782, NDCG: 0.0781584, F1: 0.0472382, HIT_RATE: 0.2995791, ARHR: 0.1183102, NOVELTY: 0.0052766, AVERAGE_POPULARITY: 0.1532627, DIVERSITY_MEAN_INTER_LIST: 0.9759837, DIVERSITY_HERFINDAHL: 0.9975799, COVERAGE_ITEM: 0.4441578, COVERAGE_ITEM_CORRECT: 0.0332166, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1564112, DIVERSITY_GINI: 0.1396573, SHANNON_ENTROPY: 11.1684082, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 260, 'shrink': 438, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.8281302635858899} - results: ROC_AUC: 0.1471506, PRECISION: 0.0299832, PRECISION_RECALL_MIN_DEN: 0.1131180, RECALL: 0.1105179, MAP: 0.0504484, MRR: 0.1055684, NDCG: 0.0774800, F1: 0.0471679, HIT_RATE: 0.2998318, ARHR: 0.1181322, NOVELTY: 0.0053268, AVERAGE_POPULARITY: 0.1340109, DIVERSITY_MEAN_INTER_LIST: 0.9867134, DIVERSITY_HERFINDAHL: 0.9986526, COVERAGE_ITEM: 0.4524658, COVERAGE_ITEM_CORRECT: 0.0357267, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1566881, DIVERSITY_GINI: 0.1556677, SHANNON_ENTROPY: 11.6542686, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 696, 'shrink': 878, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.4036523809072462} - results: ROC_AUC: 0.1433516, PRECISION: 0.0291163, PRECISION_RECALL_MIN_DEN: 0.1118295, RECALL: 0.1093212, MAP: 0.0492032, MRR: 0.1025375, NDCG: 0.0758257, F1: 0.0459835, HIT_RATE: 0.2911633, ARHR: 0.1142501, NOVELTY: 0.0052548, AVERAGE_POPULARITY: 0.1572697, DIVERSITY_MEAN_INTER_LIST: 0.9777601, DIVERSITY_HERFINDAHL: 0.9977575, COVERAGE_ITEM: 0.3929240, COVERAGE_ITEM_CORRECT: 0.0324543, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1535171, DIVERSITY_GINI: 0.1187147, SHANNON_ENTROPY: 11.0844365, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 128, 'shrink': 937, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.9563612741646285} - results: ROC_AUC: 0.1398947, PRECISION: 0.0284909, PRECISION_RECALL_MIN_DEN: 0.1054141, RECALL: 0.1027960, MAP: 0.0471560, MRR: 0.0997356, NDCG: 0.0724775, F1: 0.0446149, HIT_RATE: 0.2849087, ARHR: 0.1120253, NOVELTY: 0.0054022, AVERAGE_POPULARITY: 0.1141848, DIVERSITY_MEAN_INTER_LIST: 0.9928083, DIVERSITY_HERFINDAHL: 0.9992620, COVERAGE_ITEM: 0.5152724, COVERAGE_ITEM_CORRECT: 0.0367661, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1480559, DIVERSITY_GINI: 0.2064681, SHANNON_ENTROPY: 12.2760041, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 969, 'shrink': 455, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.5542898494195576} - results: ROC_AUC: 0.1439298, PRECISION: 0.0292525, PRECISION_RECALL_MIN_DEN: 0.1130419, RECALL: 0.1105818, MAP: 0.0493081, MRR: 0.1023512, NDCG: 0.0761993, F1: 0.0462646, HIT_RATE: 0.2925248, ARHR: 0.1141035, NOVELTY: 0.0052349, AVERAGE_POPULARITY: 0.1641588, DIVERSITY_MEAN_INTER_LIST: 0.9744324, DIVERSITY_HERFINDAHL: 0.9974248, COVERAGE_ITEM: 0.3797575, COVERAGE_ITEM_CORRECT: 0.0323773, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1544231, DIVERSITY_GINI: 0.1102678, SHANNON_ENTROPY: 10.9176377, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 160, 'shrink': 23, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.641962480064745} - results: ROC_AUC: 0.1518511, PRECISION: 0.0310682, PRECISION_RECALL_MIN_DEN: 0.1158691, RECALL: 0.1131145, MAP: 0.0519407, MRR: 0.1087710, NDCG: 0.0796575, F1: 0.0487463, HIT_RATE: 0.3106821, ARHR: 0.1226459, NOVELTY: 0.0053539, AVERAGE_POPULARITY: 0.1263831, DIVERSITY_MEAN_INTER_LIST: 0.9887410, DIVERSITY_HERFINDAHL: 0.9988554, COVERAGE_ITEM: 0.4688816, COVERAGE_ITEM_CORRECT: 0.0386449, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1600101, DIVERSITY_GINI: 0.1643849, SHANNON_ENTROPY: 11.7803521, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 132, 'shrink': 73, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.38061021048272026} - results: ROC_AUC: 0.1494794, PRECISION: 0.0304084, PRECISION_RECALL_MIN_DEN: 0.1139613, RECALL: 0.1112696, MAP: 0.0509236, MRR: 0.1069006, NDCG: 0.0781451, F1: 0.0477634, HIT_RATE: 0.3040845, ARHR: 0.1203028, NOVELTY: 0.0053742, AVERAGE_POPULARITY: 0.1208879, DIVERSITY_MEAN_INTER_LIST: 0.9908412, DIVERSITY_HERFINDAHL: 0.9990653, COVERAGE_ITEM: 0.4878229, COVERAGE_ITEM_CORRECT: 0.0385987, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1575437, DIVERSITY_GINI: 0.1803902, SHANNON_ENTROPY: 11.9961138, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 452, 'shrink': 55, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.5563267731778088} - results: ROC_AUC: 0.1507044, PRECISION: 0.0305337, PRECISION_RECALL_MIN_DEN: 0.1161545, RECALL: 0.1135997, MAP: 0.0515934, MRR: 0.1070638, NDCG: 0.0792910, F1: 0.0481286, HIT_RATE: 0.3053368, ARHR: 0.1201143, NOVELTY: 0.0052734, AVERAGE_POPULARITY: 0.1510220, DIVERSITY_MEAN_INTER_LIST: 0.9787910, DIVERSITY_HERFINDAHL: 0.9978606, COVERAGE_ITEM: 0.4194726, COVERAGE_ITEM_CORRECT: 0.0348181, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1594816, DIVERSITY_GINI: 0.1288854, SHANNON_ENTROPY: 11.1605660, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 413, 'shrink': 612, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.029398282930318105} - results: ROC_AUC: 0.1460816, PRECISION: 0.0297672, PRECISION_RECALL_MIN_DEN: 0.1132428, RECALL: 0.1106782, MAP: 0.0498421, MRR: 0.1040312, NDCG: 0.0768759, F1: 0.0469152, HIT_RATE: 0.2976723, ARHR: 0.1162239, NOVELTY: 0.0052890, AVERAGE_POPULARITY: 0.1457571, DIVERSITY_MEAN_INTER_LIST: 0.9823498, DIVERSITY_HERFINDAHL: 0.9982164, COVERAGE_ITEM: 0.4213667, COVERAGE_ITEM_CORRECT: 0.0343561, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1564616, DIVERSITY_GINI: 0.1352138, SHANNON_ENTROPY: 11.3503348, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 423, 'shrink': 365, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.42282376222571816} - results: ROC_AUC: 0.1472871, PRECISION: 0.0300520, PRECISION_RECALL_MIN_DEN: 0.1143046, RECALL: 0.1117245, MAP: 0.0501941, MRR: 0.1046558, NDCG: 0.0774884, F1: 0.0473634, HIT_RATE: 0.3005197, ARHR: 0.1171625, NOVELTY: 0.0052843, AVERAGE_POPULARITY: 0.1472169, DIVERSITY_MEAN_INTER_LIST: 0.9815934, DIVERSITY_HERFINDAHL: 0.9981407, COVERAGE_ITEM: 0.4187411, COVERAGE_ITEM_CORRECT: 0.0345948, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1575941, DIVERSITY_GINI: 0.1328996, SHANNON_ENTROPY: 11.3029416, 
SearchBayesianSkopt-CV: Config 28 is suboptimal. Config: {'topK': 710, 'shrink': 868, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.527147444479247} - results: ROC_AUC: 0.1435725, PRECISION: 0.0291162, PRECISION_RECALL_MIN_DEN: 0.1120023, RECALL: 0.1095097, MAP: 0.0492618, MRR: 0.1026188, NDCG: 0.0759207, F1: 0.0460002, HIT_RATE: 0.2911625, ARHR: 0.1143125, NOVELTY: 0.0052537, AVERAGE_POPULARITY: 0.1576426, DIVERSITY_MEAN_INTER_LIST: 0.9775724, DIVERSITY_HERFINDAHL: 0.9977387, COVERAGE_ITEM: 0.3921463, COVERAGE_ITEM_CORRECT: 0.0324620, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1537436, DIVERSITY_GINI: 0.1181411, SHANNON_ENTROPY: 11.0743051, 
SearchBayesianSkopt-CV: Config 29 is suboptimal. Config: {'topK': 351, 'shrink': 58, 'similarity': 'dice', 'normalize': False, 'icm_weight': 0.03582749545877107} - results: ROC_AUC: 0.1514310, PRECISION: 0.0307302, PRECISION_RECALL_MIN_DEN: 0.1164967, RECALL: 0.1139171, MAP: 0.0518017, MRR: 0.1076397, NDCG: 0.0795935, F1: 0.0484016, HIT_RATE: 0.3073020, ARHR: 0.1208671, NOVELTY: 0.0052895, AVERAGE_POPULARITY: 0.1455007, DIVERSITY_MEAN_INTER_LIST: 0.9813626, DIVERSITY_HERFINDAHL: 0.9981177, COVERAGE_ITEM: 0.4270029, COVERAGE_ITEM_CORRECT: 0.0356651, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1599849, DIVERSITY_GINI: 0.1345416, SHANNON_ENTROPY: 11.2838884, 
SearchBayesianSkopt-CV: Config 30 is suboptimal. Config: {'topK': 998, 'shrink': 126, 'similarity': 'dice', 'normalize': True, 'icm_weight': 0.07925590401332595} - results: ROC_AUC: 0.1473844, PRECISION: 0.0296881, PRECISION_RECALL_MIN_DEN: 0.1147609, RECALL: 0.1122879, MAP: 0.0504653, MRR: 0.1043586, NDCG: 0.0777131, F1: 0.0469583, HIT_RATE: 0.2968812, ARHR: 0.1166069, NOVELTY: 0.0052353, AVERAGE_POPULARITY: 0.1639996, DIVERSITY_MEAN_INTER_LIST: 0.9732123, DIVERSITY_HERFINDAHL: 0.9973028, COVERAGE_ITEM: 0.3895592, COVERAGE_ITEM_CORRECT: 0.0330087, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1566126, DIVERSITY_GINI: 0.1128118, SHANNON_ENTROPY: 10.8932231, 
