
SearchBayesianSkopt-CV: New best config found. Config 0: {'topK': 695, 'shrink': 681, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.7986923044549219, 'asymmetric_alpha': 1.6776400769314133, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1149219, PRECISION: 0.0254589, PRECISION_RECALL_MIN_DEN: 0.0888115, RECALL: 0.0858270, MAP: 0.0381023, MRR: 0.0821384, NDCG: 0.0594622, F1: 0.0392676, HIT_RATE: 0.2545892, ARHR: 0.0938781, NOVELTY: 0.0056647, AVERAGE_POPULARITY: 0.0643933, DIVERSITY_MEAN_INTER_LIST: 0.9985234, DIVERSITY_HERFINDAHL: 0.9998334, COVERAGE_ITEM: 0.7099134, COVERAGE_ITEM_CORRECT: 0.0456131, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1282497, DIVERSITY_GINI: 0.4199863, SHANNON_ENTROPY: 13.6640623, 
SearchBayesianSkopt-CV: Config 10 is suboptimal. Config: {'topK': 942, 'shrink': 948, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.9582896033336393, 'asymmetric_alpha': 1.4002126088064766, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1195519, PRECISION: 0.0264020, PRECISION_RECALL_MIN_DEN: 0.0924438, RECALL: 0.0894516, MAP: 0.0399255, MRR: 0.0854022, NDCG: 0.0621338, F1: 0.0407676, HIT_RATE: 0.2640197, ARHR: 0.0976796, NOVELTY: 0.0056748, AVERAGE_POPULARITY: 0.0635316, DIVERSITY_MEAN_INTER_LIST: 0.9985086, DIVERSITY_HERFINDAHL: 0.9998319, COVERAGE_ITEM: 0.7109759, COVERAGE_ITEM_CORRECT: 0.0470067, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1327293, DIVERSITY_GINI: 0.4180804, SHANNON_ENTROPY: 13.6562763, 

SearchBayesianSkopt-CV: New best config found. Config 11: {'topK': 690, 'shrink': 482, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.11663384007231295, 'asymmetric_alpha': 1.5583246890483768, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1434740, PRECISION: 0.0284033, PRECISION_RECALL_MIN_DEN: 0.1102220, RECALL: 0.1078888, MAP: 0.0495426, MRR: 0.1020195, NDCG: 0.0756113, F1: 0.0449651, HIT_RATE: 0.2840327, ARHR: 0.1135462, NOVELTY: 0.0052508, AVERAGE_POPULARITY: 0.1583620, DIVERSITY_MEAN_INTER_LIST: 0.9718609, DIVERSITY_HERFINDAHL: 0.9971677, COVERAGE_ITEM: 0.4002310, COVERAGE_ITEM_CORRECT: 0.0302676, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1507235, DIVERSITY_GINI: 0.1150244, SHANNON_ENTROPY: 10.8637169, 
SearchBayesianSkopt-CV: Config 12 is suboptimal. Config: {'topK': 906, 'shrink': 842, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.9947675618119304, 'asymmetric_alpha': 0.7262197295128211, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1366169, PRECISION: 0.0270457, PRECISION_RECALL_MIN_DEN: 0.1038862, RECALL: 0.1016169, MAP: 0.0468377, MRR: 0.0975358, NDCG: 0.0715951, F1: 0.0427187, HIT_RATE: 0.2704572, ARHR: 0.1082938, NOVELTY: 0.0052315, AVERAGE_POPULARITY: 0.1632028, DIVERSITY_MEAN_INTER_LIST: 0.9676533, DIVERSITY_HERFINDAHL: 0.9967470, COVERAGE_ITEM: 0.3687854, COVERAGE_ITEM_CORRECT: 0.0279654, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1439034, DIVERSITY_GINI: 0.0993688, SHANNON_ENTROPY: 10.6362556, 
SearchBayesianSkopt-CV: Config 13 is suboptimal. Config: {'topK': 578, 'shrink': 853, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.48798308361088794, 'asymmetric_alpha': 1.647091736370699, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1421424, PRECISION: 0.0281868, PRECISION_RECALL_MIN_DEN: 0.1093290, RECALL: 0.1070071, MAP: 0.0491611, MRR: 0.1012473, NDCG: 0.0750063, F1: 0.0446174, HIT_RATE: 0.2818685, ARHR: 0.1127262, NOVELTY: 0.0052589, AVERAGE_POPULARITY: 0.1555298, DIVERSITY_MEAN_INTER_LIST: 0.9735230, DIVERSITY_HERFINDAHL: 0.9973339, COVERAGE_ITEM: 0.4038576, COVERAGE_ITEM_CORRECT: 0.0301213, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1493897, DIVERSITY_GINI: 0.1176799, SHANNON_ENTROPY: 10.9287608, 

SearchBayesianSkopt-CV: New best config found. Config 14: {'topK': 549, 'shrink': 275, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.16534292846192325, 'asymmetric_alpha': 0.5350258331753471, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1550814, PRECISION: 0.0317850, PRECISION_RECALL_MIN_DEN: 0.1219604, RECALL: 0.1193003, MAP: 0.0544362, MRR: 0.1110613, NDCG: 0.0831183, F1: 0.0501922, HIT_RATE: 0.3178497, ARHR: 0.1249093, NOVELTY: 0.0052814, AVERAGE_POPULARITY: 0.1503621, DIVERSITY_MEAN_INTER_LIST: 0.9783489, DIVERSITY_HERFINDAHL: 0.9978164, COVERAGE_ITEM: 0.4460982, COVERAGE_ITEM_CORRECT: 0.0365274, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1649176, DIVERSITY_GINI: 0.1424952, SHANNON_ENTROPY: 11.2636477, 
SearchBayesianSkopt-CV: Config 15 is suboptimal. Config: {'topK': 385, 'shrink': 573, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.07883849817173695, 'asymmetric_alpha': 1.9851326738796797, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1419910, PRECISION: 0.0290594, PRECISION_RECALL_MIN_DEN: 0.1077855, RECALL: 0.1052265, MAP: 0.0485103, MRR: 0.1016843, NDCG: 0.0743542, F1: 0.0455366, HIT_RATE: 0.2905942, ARHR: 0.1143459, NOVELTY: 0.0053546, AVERAGE_POPULARITY: 0.1342394, DIVERSITY_MEAN_INTER_LIST: 0.9854082, DIVERSITY_HERFINDAHL: 0.9985221, COVERAGE_ITEM: 0.5093513, COVERAGE_ITEM_CORRECT: 0.0339557, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1510759, DIVERSITY_GINI: 0.1925058, SHANNON_ENTROPY: 11.8661124, 
SearchBayesianSkopt-CV: Config 16 is suboptimal. Config: {'topK': 997, 'shrink': 468, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.8693581609672312, 'asymmetric_alpha': 0.7857203609298242, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1528173, PRECISION: 0.0312657, PRECISION_RECALL_MIN_DEN: 0.1208379, RECALL: 0.1183138, MAP: 0.0538172, MRR: 0.1092813, NDCG: 0.0822028, F1: 0.0494576, HIT_RATE: 0.3126574, ARHR: 0.1226854, NOVELTY: 0.0052758, AVERAGE_POPULARITY: 0.1540453, DIVERSITY_MEAN_INTER_LIST: 0.9769561, DIVERSITY_HERFINDAHL: 0.9976771, COVERAGE_ITEM: 0.4503099, COVERAGE_ITEM_CORRECT: 0.0355804, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1627784, DIVERSITY_GINI: 0.1445940, SHANNON_ENTROPY: 11.2496011, 
SearchBayesianSkopt-CV: Config 17 is suboptimal. Config: {'topK': 606, 'shrink': 793, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.9415964814633935, 'asymmetric_alpha': 1.058185797704611, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1220214, PRECISION: 0.0267586, PRECISION_RECALL_MIN_DEN: 0.0936760, RECALL: 0.0906720, MAP: 0.0405522, MRR: 0.0866587, NDCG: 0.0630727, F1: 0.0413200, HIT_RATE: 0.2675863, ARHR: 0.0989764, NOVELTY: 0.0056811, AVERAGE_POPULARITY: 0.0630074, DIVERSITY_MEAN_INTER_LIST: 0.9984938, DIVERSITY_HERFINDAHL: 0.9998305, COVERAGE_ITEM: 0.7109297, COVERAGE_ITEM_CORRECT: 0.0475149, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1347427, DIVERSITY_GINI: 0.4156910, SHANNON_ENTROPY: 13.6470374, 
SearchBayesianSkopt-CV: Config 18 is suboptimal. Config: {'topK': 33, 'shrink': 861, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.9732090820725995, 'asymmetric_alpha': 0.3000340328153002, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1415558, PRECISION: 0.0284078, PRECISION_RECALL_MIN_DEN: 0.1059441, RECALL: 0.1032391, MAP: 0.0482260, MRR: 0.1010202, NDCG: 0.0733634, F1: 0.0445543, HIT_RATE: 0.2840779, ARHR: 0.1135765, NOVELTY: 0.0054837, AVERAGE_POPULARITY: 0.0954122, DIVERSITY_MEAN_INTER_LIST: 0.9964389, DIVERSITY_HERFINDAHL: 0.9996250, COVERAGE_ITEM: 0.5800500, COVERAGE_ITEM_CORRECT: 0.0437113, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1469485, DIVERSITY_GINI: 0.2662521, SHANNON_ENTROPY: 12.8523061, 
SearchBayesianSkopt-CV: Config 19 is suboptimal. Config: {'topK': 360, 'shrink': 63, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6381735704488531, 'asymmetric_alpha': 0.9194693179742837, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1146437, PRECISION: 0.0248608, PRECISION_RECALL_MIN_DEN: 0.0888090, RECALL: 0.0860388, MAP: 0.0379772, MRR: 0.0808202, NDCG: 0.0592773, F1: 0.0385729, HIT_RATE: 0.2486079, ARHR: 0.0918397, NOVELTY: 0.0056477, AVERAGE_POPULARITY: 0.0663942, DIVERSITY_MEAN_INTER_LIST: 0.9984678, DIVERSITY_HERFINDAHL: 0.9998279, COVERAGE_ITEM: 0.7026756, COVERAGE_ITEM_CORRECT: 0.0438653, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1269662, DIVERSITY_GINI: 0.4106793, SHANNON_ENTROPY: 13.6278084, 
SearchBayesianSkopt-CV: Config 20 is suboptimal. Config: {'topK': 707, 'shrink': 408, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.8820862059251762, 'asymmetric_alpha': 0.8346359513677186, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1225806, PRECISION: 0.0268388, PRECISION_RECALL_MIN_DEN: 0.0946192, RECALL: 0.0916251, MAP: 0.0408772, MRR: 0.0871233, NDCG: 0.0635861, F1: 0.0415139, HIT_RATE: 0.2683875, ARHR: 0.0994972, NOVELTY: 0.0056764, AVERAGE_POPULARITY: 0.0635630, DIVERSITY_MEAN_INTER_LIST: 0.9984871, DIVERSITY_HERFINDAHL: 0.9998298, COVERAGE_ITEM: 0.7115072, COVERAGE_ITEM_CORRECT: 0.0474302, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1352208, DIVERSITY_GINI: 0.4160331, SHANNON_ENTROPY: 13.6462682, 
SearchBayesianSkopt-CV: Config 21 is suboptimal. Config: {'topK': 761, 'shrink': 171, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.23798886953056902, 'asymmetric_alpha': 0.25303026478321683, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1223452, PRECISION: 0.0265698, PRECISION_RECALL_MIN_DEN: 0.0943743, RECALL: 0.0916545, MAP: 0.0405648, MRR: 0.0866779, NDCG: 0.0634340, F1: 0.0411949, HIT_RATE: 0.2656975, ARHR: 0.0985292, NOVELTY: 0.0056985, AVERAGE_POPULARITY: 0.0615747, DIVERSITY_MEAN_INTER_LIST: 0.9984255, DIVERSITY_HERFINDAHL: 0.9998236, COVERAGE_ITEM: 0.6992801, COVERAGE_ITEM_CORRECT: 0.0475765, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1354473, DIVERSITY_GINI: 0.3989449, SHANNON_ENTROPY: 13.5882886, 
SearchBayesianSkopt-CV: Config 22 is suboptimal. Config: {'topK': 319, 'shrink': 950, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.8206172687453438, 'asymmetric_alpha': 0.8705136739951749, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1209321, PRECISION: 0.0264180, PRECISION_RECALL_MIN_DEN: 0.0919266, RECALL: 0.0889412, MAP: 0.0402125, MRR: 0.0858208, NDCG: 0.0623176, F1: 0.0407334, HIT_RATE: 0.2641801, ARHR: 0.0981813, NOVELTY: 0.0056959, AVERAGE_POPULARITY: 0.0615212, DIVERSITY_MEAN_INTER_LIST: 0.9985077, DIVERSITY_HERFINDAHL: 0.9998318, COVERAGE_ITEM: 0.7105910, COVERAGE_ITEM_CORRECT: 0.0474379, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1327797, DIVERSITY_GINI: 0.4153113, SHANNON_ENTROPY: 13.6496866, 
SearchBayesianSkopt-CV: Config 23 is suboptimal. Config: {'topK': 326, 'shrink': 89, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.5930896297232927, 'asymmetric_alpha': 1.0266129238660942, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1471538, PRECISION: 0.0301171, PRECISION_RECALL_MIN_DEN: 0.1126788, RECALL: 0.1100243, MAP: 0.0504440, MRR: 0.1053773, NDCG: 0.0773688, F1: 0.0472850, HIT_RATE: 0.3011708, ARHR: 0.1185611, NOVELTY: 0.0053563, AVERAGE_POPULARITY: 0.1313611, DIVERSITY_MEAN_INTER_LIST: 0.9864936, DIVERSITY_HERFINDAHL: 0.9986307, COVERAGE_ITEM: 0.5036073, COVERAGE_ITEM_CORRECT: 0.0357190, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1560589, DIVERSITY_GINI: 0.1888808, SHANNON_ENTROPY: 11.8694321, 
SearchBayesianSkopt-CV: Config 24 is suboptimal. Config: {'topK': 900, 'shrink': 818, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.6702269724327388, 'asymmetric_alpha': 1.0491245228839083, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1519775, PRECISION: 0.0311518, PRECISION_RECALL_MIN_DEN: 0.1197403, RECALL: 0.1171955, MAP: 0.0534904, MRR: 0.1087804, NDCG: 0.0816472, F1: 0.0492166, HIT_RATE: 0.3115179, ARHR: 0.1222313, NOVELTY: 0.0052810, AVERAGE_POPULARITY: 0.1527496, DIVERSITY_MEAN_INTER_LIST: 0.9776545, DIVERSITY_HERFINDAHL: 0.9977469, COVERAGE_ITEM: 0.4558383, COVERAGE_ITEM_CORRECT: 0.0353879, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1617969, DIVERSITY_GINI: 0.1481574, SHANNON_ENTROPY: 11.2949406, 
SearchBayesianSkopt-CV: Config 25 is suboptimal. Config: {'topK': 102, 'shrink': 167, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.4526671431501599, 'asymmetric_alpha': 0.08179235441448408, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1500998, PRECISION: 0.0305645, PRECISION_RECALL_MIN_DEN: 0.1182319, RECALL: 0.1158368, MAP: 0.0528815, MRR: 0.1070304, NDCG: 0.0807313, F1: 0.0483642, HIT_RATE: 0.3056450, ARHR: 0.1202650, NOVELTY: 0.0054068, AVERAGE_POPULARITY: 0.1116634, DIVERSITY_MEAN_INTER_LIST: 0.9930971, DIVERSITY_HERFINDAHL: 0.9992909, COVERAGE_ITEM: 0.5049471, COVERAGE_ITEM_CORRECT: 0.0448893, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1589782, DIVERSITY_GINI: 0.1952637, SHANNON_ENTROPY: 12.2222044, 
SearchBayesianSkopt-CV: Config 26 is suboptimal. Config: {'topK': 185, 'shrink': 299, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.9357536688364597, 'asymmetric_alpha': 1.9820267635194222, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1046702, PRECISION: 0.0229804, PRECISION_RECALL_MIN_DEN: 0.0796006, RECALL: 0.0767436, MAP: 0.0342505, MRR: 0.0745462, NDCG: 0.0533982, F1: 0.0353686, HIT_RATE: 0.2298038, ARHR: 0.0849951, NOVELTY: 0.0056515, AVERAGE_POPULARITY: 0.0656136, DIVERSITY_MEAN_INTER_LIST: 0.9984338, DIVERSITY_HERFINDAHL: 0.9998245, COVERAGE_ITEM: 0.7017979, COVERAGE_ITEM_CORRECT: 0.0416477, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1162703, DIVERSITY_GINI: 0.4162699, SHANNON_ENTROPY: 13.6483364, 
SearchBayesianSkopt-CV: Config 27 is suboptimal. Config: {'topK': 912, 'shrink': 690, 'similarity': 'asymmetric', 'normalize': True, 'icm_weight': 0.25454567751302265, 'asymmetric_alpha': 0.03313190843103243, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1518760, PRECISION: 0.0307987, PRECISION_RECALL_MIN_DEN: 0.1194251, RECALL: 0.1168292, MAP: 0.0532009, MRR: 0.1082471, NDCG: 0.0811915, F1: 0.0487439, HIT_RATE: 0.3079866, ARHR: 0.1212854, NOVELTY: 0.0052422, AVERAGE_POPULARITY: 0.1609749, DIVERSITY_MEAN_INTER_LIST: 0.9722791, DIVERSITY_HERFINDAHL: 0.9972095, COVERAGE_ITEM: 0.4018787, COVERAGE_ITEM_CORRECT: 0.0344793, COVERAGE_USER: 0.6639990, COVERAGE_USER_CORRECT: 0.1611677, DIVERSITY_GINI: 0.1162014, SHANNON_ENTROPY: 10.8908939, 
